Date,UCG.MI
2015-08-24,20.109722137451172
2015-08-25,21.495962142944336
2015-08-26,21.403545379638672
2015-08-27,21.810176849365234
2015-08-28,21.606861114501953
2015-08-31,21.551410675048828
2015-09-01,20.812082290649414
2015-09-02,21.03388023376465
2015-09-03,21.754724502563477
2015-09-04,20.682703018188477
2015-09-07,20.886016845703125
2015-09-08,21.03388023376465
2015-09-09,21.366580963134766
2015-09-10,21.200233459472656
2015-09-11,21.070846557617188
2015-09-14,21.070846557617188
2015-09-15,21.58837890625
2015-09-16,21.495962142944336
2015-09-17,21.514446258544922
2015-09-18,21.10781478881836
2015-09-21,21.14478302001953
2015-09-22,20.571802139282227
2015-09-23,20.33152198791504
2015-09-24,20.017305374145508
2015-09-25,20.886016845703125
2015-09-28,19.90640640258789
2015-09-29,19.924888610839844
2015-09-30,20.59028434753418
2015-10-01,20.664216995239258
2015-10-02,20.90450096130371
2015-10-05,21.477479934692383
2015-10-06,21.625343322753906
2015-10-07,21.458993911743164
2015-10-08,21.514446258544922
2015-10-09,21.68079376220703
2015-10-12,21.625343322753906
2015-10-13,21.477479934692383
2015-10-14,21.126296997070312
2015-10-15,21.495962142944336
2015-10-16,21.495962142944336
2015-10-19,21.477479934692383
2015-10-20,22.068939208984375
2015-10-21,22.290740966796875
2015-10-22,22.660404205322266
2015-10-23,22.420122146606445
2015-10-26,22.290740966796875
2015-10-27,22.03197479248047
2015-10-28,22.290740966796875
2015-10-29,21.79169273376465
2015-10-30,21.736242294311523
2015-11-02,21.773210525512695
2015-11-03,21.532926559448242
2015-11-04,21.58837890625
2015-11-05,21.569894790649414
2015-11-06,21.995006561279297
2015-11-09,21.569894790649414
2015-11-10,21.88410758972168
2015-11-11,21.865625381469727
2015-11-12,20.664216995239258
2015-11-13,20.5163516998291
2015-11-16,20.33152198791504
2015-11-17,20.775115966796875
2015-11-18,20.3869686126709
2015-11-19,20.423933029174805
2015-11-20,19.998823165893555
2015-11-23,20.2945556640625
2015-11-24,19.998823165893555
2015-11-25,20.442419052124023
2015-11-26,20.64573097229004
2015-11-27,20.49786949157715
2015-11-30,20.534835815429688
2015-12-01,20.423933029174805
2015-12-02,20.22062110900879
2015-12-03,19.74005889892578
2015-12-04,19.83247184753418
2015-12-07,19.86944007873535
2015-12-08,19.148597717285156
2015-12-09,19.148597717285156
2015-12-10,18.926795959472656
2015-12-11,18.760448455810547
2015-12-14,18.157894134521484
2015-12-15,19.05617904663086
2015-12-16,18.945280075073242
2015-12-17,19.241010665893555
2015-12-18,18.889829635620117
2015-12-21,18.926795959472656
2015-12-22,18.963764190673828
2015-12-23,19.074663162231445
2015-12-28,18.926795959472656
2015-12-29,19.2225284576416
2015-12-30,18.982248306274414
2015-12-31,18.982248306274414
