Date,AGN.AS
2015-08-24,3.1457579135894775
2015-08-25,3.252897024154663
2015-08-26,3.2183945178985596
2015-08-27,3.3085849285125732
2015-08-28,3.34853458404541
2015-08-31,3.320690155029297
2015-09-01,3.2413957118988037
2015-09-02,3.2347378730773926
2015-09-03,3.304953098297119
2015-09-04,3.1784443855285645
2015-09-07,3.181471586227417
2015-09-08,3.277108907699585
2015-09-09,3.3630611896514893
2015-09-10,3.2722668647766113
2015-09-11,3.1911559104919434
2015-09-14,3.2159738540649414
2015-09-15,3.2716610431671143
2015-09-16,3.3067681789398193
2015-09-17,3.332191228866577
2015-09-18,3.128204584121704
2015-09-21,3.1269936561584473
2015-09-22,3.0507256984710693
2015-09-23,3.044672727584839
2015-09-24,2.9732470512390137
2015-09-25,3.1493897438049316
2015-09-28,3.0271193981170654
2015-09-29,3.011986017227173
2015-09-30,3.1082301139831543
2015-10-01,3.0422520637512207
2015-10-02,3.0852274894714355
2015-10-05,3.209315299987793
2015-10-06,3.1893398761749268
2015-10-07,3.2789251804351807
2015-10-08,3.3231117725372314
2015-10-09,3.3594303131103516
2015-10-12,3.3527719974517822
2015-10-13,3.2898201942443848
2015-10-14,3.245028257369995
2015-10-15,3.25592303276062
2015-10-16,3.313427209854126
2015-10-19,3.3110060691833496
2015-10-20,3.229290008544922
2015-10-21,3.1929714679718018
2015-10-22,3.2958734035491943
2015-10-23,3.3570094108581543
2015-10-26,3.3491404056549072
2015-10-27,3.284978151321411
2015-10-28,3.3436925411224365
2015-10-29,3.377589225769043
2015-10-30,3.3921170234680176
2015-11-02,3.477463722229004
2015-11-03,3.4671740531921387
2015-11-04,3.458699941635132
2015-11-05,3.4193553924560547
2015-11-06,3.541020631790161
2015-11-09,3.522861957550049
2015-11-10,3.4568841457366943
2015-11-11,3.4720165729522705
2015-11-12,3.087043523788452
2015-11-13,3.1070189476013184
2015-11-16,3.0828065872192383
2015-11-17,3.1851024627685547
2015-11-18,3.249870538711548
2015-11-19,3.329164743423462
2015-11-20,3.337033748626709
2015-11-23,3.3503506183624268
2015-11-24,3.3521664142608643
2015-11-25,3.475043296813965
2015-11-26,3.541020631790161
2015-11-27,3.510756492614746
2015-11-30,3.5083346366882324
2015-12-01,3.5168087482452393
2015-12-02,3.4835171699523926
2015-12-03,3.3279545307159424
2015-12-04,3.2898201942443848
2015-12-07,3.2789251804351807
2015-12-08,3.242002010345459
2015-12-09,3.2589495182037354
2015-12-10,3.2371585369110107
2015-12-11,3.1185197830200195
2015-12-14,2.983537197113037
2015-12-15,3.0222766399383545
2015-12-16,3.0010910034179688
2015-12-17,3.096728801727295
2015-12-18,3.084017276763916
2015-12-21,3.0749380588531494
2015-12-22,3.088254928588867
2015-12-23,3.196603775024414
2015-12-24,3.180866241455078
2015-12-28,3.1736021041870117
2015-12-29,3.208709955215454
2015-12-30,3.1778388023376465
2016-01-04,3.07554292678833
2016-01-05,3.0543575286865234
2016-01-06,3.0428571701049805
2016-01-07,2.927243709564209
2016-01-08,2.879425048828125
2016-01-11,2.930875778198242
2016-01-12,2.996853828430176
2016-01-13,3.2867937088012695
2016-01-14,3.2795298099517822
2016-01-15,3.200840711593628
2016-01-18,3.087043523788452
2016-01-19,3.13667893409729
2016-01-20,3.0083539485931396
2016-01-21,3.062225818634033
2016-01-22,3.1778388023376465
2016-01-25,3.1173086166381836
2016-01-26,3.153022050857544
2016-01-27,3.133652687072754
2016-01-28,3.082200765609741
2016-01-29,3.148179769515991
2016-02-01,3.115493059158325
2016-02-02,2.9859580993652344
2016-02-03,2.878214120864868
2016-02-04,2.939954996109009
2016-02-05,2.919981002807617
2016-02-08,2.8291845321655273
2016-02-09,2.574352264404297
2016-02-10,2.6566731929779053
2016-02-11,2.466003179550171
2016-02-12,2.493847370147705
2016-02-15,2.566483497619629
2016-02-16,2.562851905822754
2016-02-17,2.707519292831421
2016-02-18,2.718414545059204
2016-02-19,2.6040120124816895
2016-02-22,2.72688889503479
2016-02-23,2.71478271484375
2016-02-24,2.6639368534088135
2016-02-25,2.690570592880249
2016-02-26,2.7686543464660645
2016-02-29,2.801340341567993
2016-03-01,2.8878986835479736
2016-03-02,2.947824239730835
2016-03-03,2.9520609378814697
2016-03-04,2.9738528728485107
2016-03-07,2.95145583152771
2016-03-08,2.9230072498321533
2016-03-09,2.95145583152771
2016-03-10,2.9460086822509766
2016-03-11,3.0791749954223633
2016-03-14,3.0779645442962646
2016-03-15,3.0295400619506836
2016-03-16,3.071910858154297
2016-03-17,3.0894646644592285
2016-03-18,3.105203628540039
2016-03-21,3.077359199523926
2016-03-22,3.0634372234344482
2016-03-23,3.0616211891174316
2016-03-24,2.975062370300293
2016-03-29,2.9877736568450928
2016-03-30,2.968404769897461
2016-03-31,2.9260332584381104
2016-04-01,2.8540024757385254
2016-04-04,2.8854782581329346
2016-04-05,2.791656732559204
2016-04-06,2.7977092266082764
2016-04-07,2.783787250518799
2016-04-08,2.854607582092285
2016-04-11,2.93874454498291
2016-04-12,2.9720358848571777
2016-04-13,3.116098165512085
2016-04-14,3.136073350906372
2016-04-15,3.105203628540039
2016-04-18,3.122756242752075
2016-04-19,3.1142826080322266
2016-04-20,3.1748130321502686
2016-04-21,3.243817090988159
2016-04-22,3.2595558166503906
2016-04-25,3.097334146499634
