Date,HDFCGROWTH.NS
2024-06-24,112.54000091552734
2024-06-25,112.75
2024-06-26,112.69000244140625
2024-06-27,112.9800033569336
2024-06-28,113.5199966430664
2024-07-01,114.31999969482422
2024-07-02,113.91000366210938
2024-07-03,114.66000366210938
2024-07-04,115.41999816894531
2024-07-05,115.73999786376953
2024-07-08,115.63999938964844
2024-07-09,117.4800033569336
2024-07-10,116.88999938964844
2024-07-11,117.1500015258789
2024-07-12,119.37999725341797
2024-07-15,120.16999816894531
2024-07-16,120.30000305175781
2024-07-18,121.44000244140625
2024-07-19,122.18000030517578
2024-07-22,121.83999633789062
2024-07-23,124.58999633789062
2024-07-24,124.31999969482422
2024-07-25,127.16999816894531
2024-07-26,131.8000030517578
2024-07-29,128.39999389648438
2024-07-30,126.26000213623047
2024-07-31,126.5999984741211
2024-08-01,126.27999877929688
2024-08-02,124.77999877929688
2024-08-05,122.0999984741211
2024-08-06,122.0
2024-08-07,123.19999694824219
2024-08-08,123.05999755859375
2024-08-09,122.05999755859375
2024-08-12,123.9800033569336
2024-08-13,123.75
2024-08-14,124.23999786376953
2024-08-16,126.11000061035156
2024-08-19,126.79000091552734
2024-08-20,126.9000015258789
2024-08-21,127.66000366210938
2024-08-22,127.80000305175781
2024-08-23,127.5999984741211
2024-08-26,128.05999755859375
2024-08-28,129.02000427246094
2024-08-29,130.82000732421875
2024-08-30,130.25
2024-09-02,130.32000732421875
2024-09-03,130.05999755859375
2024-09-04,129.89999389648438
2024-09-05,130.10000610351562
2024-09-06,129.16000366210938
2024-09-09,129.5500030517578
2024-09-10,130.9600067138672
2024-09-11,130.47000122070312
2024-09-12,132.05999755859375
2024-09-13,131.82000732421875
2024-09-16,131.75
2024-09-17,131.38999938964844
2024-09-18,130.47999572753906
2024-09-19,132.2100067138672
2024-09-20,130.74000549316406
2024-09-23,131.25
2024-09-24,132.60000610351562
2024-09-25,131.41000366210938
2024-09-26,131.57000732421875
2024-09-27,132.57000732421875
2024-09-30,131.58999633789062
2024-10-01,131.72000122070312
2024-10-03,131.3000030517578
2024-10-04,129.6300048828125
2024-10-07,129.64999389648438
2024-10-08,129.52999877929688
2024-10-09,129.25999450683594
2024-10-10,128.30999755859375
2024-10-11,128.58999633789062
2024-10-14,129.22000122070312
2024-10-15,128.6199951171875
2024-10-16,127.88999938964844
2024-10-17,126.56999969482422
2024-10-18,125.95999908447266
2024-10-21,126.33999633789062
2024-10-22,125.6500015258789
2024-10-23,123.23999786376953
2024-10-24,121.97000122070312
2024-10-25,122.19000244140625
2024-10-28,123.51000213623047
2024-10-29,122.06999969482422
2024-10-31,120.12999725341797
2024-11-01,121.69000244140625
2024-11-04,119.76000213623047
2024-11-06,122.36000061035156
2024-11-07,121.37999725341797
2024-11-08,122.22000122070312
2024-11-11,122.52999877929688
2024-11-12,121.52999877929688
2024-11-13,120.5
2024-11-14,119.76000213623047
2024-11-18,118.94000244140625
2024-11-19,119.44000244140625
2024-11-21,119.0
2024-11-22,122.91000366210938
2024-11-25,123.0
2024-11-26,123.2699966430664
2024-11-27,123.68000030517578
2024-11-28,121.31999969482422
2024-11-29,122.12000274658203
2024-12-02,123.22000122070312
2024-12-03,123.62999725341797
2024-12-04,123.5
2024-12-05,124.6500015258789
2024-12-06,124.94999694824219
2024-12-09,124.12999725341797
2024-12-10,124.33999633789062
2024-12-11,124.5199966430664
2024-12-12,123.43000030517578
2024-12-13,125.19000244140625
2024-12-16,124.72000122070312
2024-12-17,122.7300033569336
2024-12-18,124.0
2024-12-19,122.77999877929688
2024-12-20,120.63999938964844
2024-12-23,121.06999969482422
2024-12-24,121.62999725341797
2024-12-26,121.87999725341797
2024-12-27,122.44000244140625
2024-12-30,122.33000183105469
2024-12-31,121.70999908447266
2025-01-01,122.18000030517578
2025-01-02,124.70999908447266
2025-01-03,123.9800033569336
2025-01-06,121.9800033569336
2025-01-07,122.91000366210938
2025-01-08,123.55999755859375
2025-01-09,123.0999984741211
2025-01-10,124.13999938964844
2025-01-13,123.2699966430664
2025-01-14,122.22000122070312
2025-01-15,121.86000061035156
2025-01-16,121.18000030517578
2025-01-17,120.5999984741211
2025-01-20,120.0999984741211
2025-01-21,119.37999725341797
2025-01-22,120.98999786376953
2025-01-23,121.62000274658203
2025-01-24,120.87000274658203
2025-01-27,119.1500015258789
2025-01-28,118.72000122070312
2025-01-29,119.9800033569336
2025-01-30,119.5
2025-01-31,121.87999725341797
2025-02-01,122.16999816894531
