Date,HFD.L
2015-08-24,497.07537841796875
2015-08-25,511.50494384765625
2015-08-26,505.0365295410156
2015-08-27,517.9735107421875
2015-08-28,518.470947265625
2015-09-01,507.5244140625
2015-09-02,463.9371032714844
2015-09-03,464.23553466796875
2015-09-04,458.0657043457031
2015-09-07,455.87640380859375
2015-09-08,457.7671203613281
2015-09-09,456.37396240234375
2015-09-10,451.9952392578125
2015-09-11,449.308349609375
2015-09-14,450.1044616699219
2015-09-15,450.3035583496094
2015-09-16,455.67730712890625
2015-09-17,459.5583801269531
2015-09-18,453.88604736328125
2015-09-21,449.8059387207031
2015-09-22,447.8156433105469
2015-09-23,450.8011169433594
2015-09-24,440.8496398925781
2015-09-25,451.1991271972656
2015-09-28,454.18463134765625
2015-09-29,453.4880065917969
2015-09-30,459.5583801269531
2015-10-01,456.4734802246094
2015-10-02,447.2185974121094
2015-10-05,456.2743835449219
2015-10-06,456.6724548339844
2015-10-07,446.7209777832031
2015-10-08,443.2380065917969
2015-10-09,443.5364990234375
2015-10-12,439.9541015625
2015-10-13,439.0584411621094
2015-10-14,436.8690490722656
2015-10-15,433.6846008300781
2015-10-16,428.31072998046875
2015-10-19,429.4053649902344
2015-10-20,430.4005432128906
2015-10-21,434.8787841796875
2015-10-22,433.4855041503906
2015-10-23,433.8836364746094
2015-10-26,436.9685363769531
2015-10-27,426.320556640625
2015-10-28,437.3666687011719
2015-10-29,434.3811950683594
2015-10-30,432.7888488769531
2015-11-02,431.29620361328125
2015-11-03,429.80352783203125
2015-11-04,431.395751953125
2015-11-05,430.8981628417969
2015-11-06,429.0073547363281
2015-11-09,428.808349609375
2015-11-10,426.6190185546875
2015-11-11,427.9127197265625
2015-11-12,393.0826721191406
2015-11-13,388.10693359375
2015-11-16,383.4296875
2015-11-17,391.8884582519531
2015-11-18,383.92730712890625
2015-11-19,381.439453125
2015-11-20,379.84722900390625
2015-11-23,377.0607604980469
2015-11-24,362.133544921875
2015-11-25,358.6505432128906
2015-11-26,357.9539794921875
2015-11-27,369.2987365722656
2015-11-30,370.9903869628906
2015-12-01,369.79620361328125
2015-12-02,370.2937927246094
2015-12-03,375.8666687011719
2015-12-04,371.58746337890625
2015-12-07,364.223388671875
2015-12-08,351.2864685058594
2015-12-09,343.7233581542969
2015-12-10,345.61419677734375
2015-12-11,335.1651916503906
2015-12-14,341.53411865234375
2015-12-15,334.6676025390625
2015-12-16,336.0608215332031
2015-12-17,325.96490478515625
2015-12-18,320.5902404785156
2015-12-21,332.6336364746094
2015-12-22,324.2728576660156
2015-12-23,331.04107666015625
2015-12-24,334.0269470214844
2015-12-29,337.2119140625
2015-12-30,334.9226379394531
2015-12-31,333.827880859375
2016-01-04,322.4813537597656
2016-01-05,320.4906921386719
2016-01-06,320.0925598144531
2016-01-07,313.5235900878906
2016-01-08,323.47662353515625
2016-01-11,320.8887634277344
2016-01-12,323.576171875
2016-01-13,330.4438171386719
2016-01-14,331.8372497558594
2016-01-15,330.9415283203125
2016-01-18,327.4578857421875
2016-01-19,325.06915283203125
2016-01-20,323.47662353515625
2016-01-21,363.68731689453125
2016-01-22,366.7727355957031
2016-01-25,366.0760192871094
2016-01-26,368.26568603515625
2016-01-27,372.0478820800781
2016-01-28,373.7399597167969
2016-01-29,377.3231201171875
2016-02-01,377.9203186035156
2016-02-02,376.02911376953125
2016-02-03,374.2375183105469
2016-02-04,378.2189025878906
2016-02-05,383.69305419921875
2016-02-08,380.01043701171875
2016-02-09,371.9483947753906
2016-02-10,377.8207702636719
2016-02-11,370.4554138183594
2016-02-12,376.1286926269531
2016-02-15,383.7925720214844
2016-02-16,381.9015197753906
2016-02-17,386.181396484375
2016-02-18,387.8733215332031
2016-02-19,380.9061584472656
2016-02-22,388.570068359375
2016-02-23,380.01043701171875
2016-02-24,379.5127258300781
2016-02-25,382.2001037597656
2016-02-26,397.22930908203125
2016-02-29,396.4329833984375
2016-03-01,397.926025390625
2016-03-02,403.6988525390625
2016-03-03,402.00677490234375
2016-03-04,410.56646728515625
2016-03-07,402.1063537597656
2016-03-08,406.28668212890625
2016-03-09,404.7936706542969
2016-03-10,405.6895446777344
2016-03-11,400.414306640625
2016-03-14,405.0922546386719
2016-03-15,404.8931884765625
2016-03-16,410.06884765625
2016-03-17,412.9552307128906
2016-03-18,421.514892578125
2016-03-21,401.1110534667969
2016-03-22,399.5185852050781
2016-03-23,399.1204528808594
2016-03-24,390.16259765625
2016-03-29,388.271484375
2016-03-30,394.8405456542969
2016-03-31,394.24334716796875
2016-04-01,389.7644958496094
2016-04-04,387.57476806640625
2016-04-05,385.2855529785156
2016-04-06,383.59356689453125
2016-04-07,386.0817565917969
2016-04-08,384.38983154296875
2016-04-11,382.0010070800781
2016-04-12,384.1907043457031
2016-04-13,421.3157958984375
2016-04-14,412.4576110839844
2016-04-15,418.52899169921875
2016-04-18,419.0267333984375
2016-04-19,419.0267333984375
2016-04-20,417.73272705078125
2016-04-21,419.126220703125
2016-04-22,425.19769287109375
2016-04-25,424.3017578125
2016-04-26,426.49151611328125
2016-04-27,424.7994384765625
2016-04-28,424.4013671875
2016-04-29,420.1214599609375
2016-05-03,418.72808837890625
2016-05-04,413.25384521484375
2016-05-05,413.25384521484375
2016-05-06,415.54302978515625
2016-05-09,414.6473083496094
2016-05-10,413.9505310058594
2016-05-11,414.0501708984375
2016-05-12,410.56646728515625
2016-05-13,408.7749328613281
2016-05-16,412.0594787597656
2016-05-17,421.017333984375
2016-05-18,423.3064880371094
2016-05-19,423.0079345703125
2016-05-20,428.3825988769531
2016-05-23,430.2736511230469
2016-05-24,443.909423828125
2016-05-25,446.5968933105469
2016-05-26,442.5160217285156
2016-05-27,446.9949035644531
2016-05-31,436.54412841796875
2016-06-01,404.99267578125
2016-06-02,412.35809326171875
2016-06-03,406.38616943359375
2016-06-06,408.0782775878906
2016-06-07,410.6659851074219
2016-06-08,406.087646484375
2016-06-09,408.476318359375
2016-06-10,404.1964416503906
2016-06-13,392.2527160644531
2016-06-14,383.99169921875
2016-06-15,386.0817565917969
2016-06-16,377.5220642089844
2016-06-17,385.98223876953125
2016-06-20,402.305419921875
2016-06-21,399.7176818847656
2016-06-22,398.0256042480469
2016-06-23,400.8124084472656
2016-06-24,340.098388671875
2016-06-27,311.532958984375
2016-06-28,318.20147705078125
2016-06-29,320.0925598144531
2016-06-30,319.9930725097656
2016-07-01,330.7424011230469
2016-07-04,318.00244140625
2016-07-05,305.1629943847656
2016-07-06,308.5470275878906
2016-07-07,304.1675720214844
2016-07-08,314.5188293457031
2016-07-11,327.85601806640625
2016-07-12,339.89935302734375
2016-07-13,333.3302917480469
2016-07-14,329.0504150390625
2016-07-15,329.6475524902344
2016-07-18,331.4391174316406
2016-07-19,330.6429138183594
2016-07-20,332.53399658203125
2016-07-21,338.6054382324219
2016-07-22,334.0269470214844
2016-07-25,339.401611328125
2016-07-26,335.8184814453125
2016-07-27,352.8383483886719
2016-07-28,354.2318420410156
2016-07-29,350.8477478027344
2016-08-01,347.76220703125
2016-08-02,348.8571472167969
2016-08-03,351.34539794921875
2016-08-04,340.3068542480469
2016-08-05,351.2586975097656
2016-08-08,350.9601135253906
2016-08-09,354.6439208984375
2016-08-10,359.2238464355469
2016-08-11,358.4273681640625
2016-08-12,365.8946228027344
2016-08-15,362.4099426269531
2016-08-16,357.5312805175781
2016-08-17,356.4360656738281
2016-08-18,360.219482421875
2016-08-19,360.4185791015625
2016-08-22,358.8255310058594
2016-08-23,362.8080749511719
2016-08-24,365.99420166015625
2016-08-25,360.219482421875
2016-08-26,365.1976318359375
2016-08-30,358.0290222167969
2016-08-31,346.18115234375
2016-09-01,357.1329650878906
2016-09-02,363.30596923828125
2016-09-05,370.3749084472656
2016-09-06,370.3749084472656
2016-09-07,370.3749084472656
2016-09-08,369.27972412109375
2016-09-09,362.01165771484375
2016-09-12,347.4753723144531
2016-09-13,350.4622802734375
2016-09-14,343.4928283691406
2016-09-15,348.8692321777344
2016-09-16,355.34088134765625
2016-09-19,351.5574645996094
2016-09-20,350.76092529296875
2016-09-21,351.4578552246094
2016-09-22,352.851806640625
2016-09-23,353.4491882324219
2016-09-26,346.7784118652344
2016-09-27,338.1164245605469
2016-09-28,343.5924377441406
2016-09-29,342.29803466796875
2016-09-30,349.06842041015625
2016-10-03,350.2631530761719
2016-10-04,356.0378723144531
2016-10-05,349.96441650390625
2016-10-06,346.18115234375
2016-10-07,328.95660400390625
2016-10-10,319.9959411621094
2016-10-11,330.84832763671875
2016-10-12,333.0386657714844
2016-10-13,328.4588623046875
2016-10-14,333.8351745605469
2016-10-17,327.562744140625
2016-10-18,340.50592041015625
2016-10-19,341.5015563964844
2016-10-20,342.7958984375
2016-10-21,343.4928283691406
2016-10-24,341.80023193359375
2016-10-25,343.5924377441406
2016-10-26,343.4928283691406
2016-10-27,337.5190734863281
2016-10-28,344.2893981933594
2016-10-31,337.71820068359375
2016-11-01,337.8177185058594
