Date,NESF.L
2015-08-24,103.23169708251953
2015-08-25,104.96875
2015-08-26,104.5965347290039
2015-08-27,105.71322631835938
2015-08-28,105.46507263183594
2015-09-01,105.21692657470703
2015-09-02,104.84468841552734
2015-09-03,103.97615051269531
2015-09-04,103.60392761230469
2015-09-07,101.9909439086914
2015-09-08,102.48723602294922
2015-09-09,102.73539733886719
2015-09-10,101.9909439086914
2015-09-11,102.48723602294922
2015-09-14,103.23169708251953
2015-09-15,102.6113052368164
2015-09-16,102.85946655273438
2015-09-17,102.98355865478516
2015-09-18,102.73539733886719
2015-09-21,102.73539733886719
2015-09-22,101.9909439086914
2015-09-23,102.23907470703125
2015-09-24,102.23907470703125
2015-09-25,102.85946655273438
2015-09-28,102.85946655273438
2015-09-29,102.6113052368164
2015-09-30,102.98355865478516
2015-10-01,102.98355865478516
2015-10-02,103.23169708251953
2015-10-05,103.7280044555664
2015-10-06,102.98355865478516
2015-10-07,102.98355865478516
2015-10-08,103.47984313964844
2015-10-09,103.47984313964844
2015-10-12,103.7280044555664
2015-10-13,103.7280044555664
2015-10-14,103.97615051269531
2015-10-15,103.47984313964844
2015-10-16,103.7280044555664
2015-10-19,103.23169708251953
2015-10-20,103.47984313964844
2015-10-21,102.85946655273438
2015-10-22,103.7280044555664
2015-10-23,103.47984313964844
2015-10-26,103.7280044555664
2015-10-27,102.73539733886719
2015-10-28,102.73539733886719
2015-10-29,102.23907470703125
2015-10-30,101.74278259277344
2015-11-02,101.74278259277344
2015-11-03,101.74278259277344
2015-11-04,102.23907470703125
2015-11-05,101.9909439086914
2015-11-06,101.9909439086914
2015-11-09,102.23907470703125
2015-11-10,102.73539733886719
2015-11-11,102.23907470703125
2015-11-12,102.48723602294922
2015-11-13,102.23907470703125
2015-11-16,102.48723602294922
2015-11-17,102.48723602294922
2015-11-18,102.98355865478516
2015-11-19,103.23169708251953
2015-11-20,103.23169708251953
2015-11-23,103.23169708251953
2015-11-24,103.23169708251953
2015-11-25,102.98355865478516
2015-11-26,103.23169708251953
2015-11-27,103.23169708251953
2015-11-30,103.97615051269531
2015-12-01,104.22431945800781
2015-12-02,104.22431945800781
2015-12-03,100.03548431396484
2015-12-04,98.54609680175781
2015-12-07,97.5531997680664
2015-12-08,97.05673217773438
2015-12-09,97.80143737792969
2015-12-10,97.5531997680664
2015-12-11,97.80143737792969
2015-12-14,98.0496597290039
2015-12-15,98.79432678222656
2015-12-16,100.78014373779297
2015-12-17,101.77306365966797
2015-12-18,100.03548431396484
2015-12-21,102.26950073242188
2015-12-22,102.76600646972656
2015-12-23,101.77306365966797
2015-12-24,102.26950073242188
2015-12-29,102.51773834228516
2015-12-30,104.00711822509766
2015-12-31,103.75887298583984
2016-01-04,103.75887298583984
2016-01-05,103.13829803466797
2016-01-06,103.75887298583984
2016-01-07,103.01421356201172
2016-01-08,102.26950073242188
2016-01-11,102.51773834228516
2016-01-12,102.26950073242188
2016-01-13,102.26950073242188
2016-01-14,101.02840423583984
2016-01-15,99.04255676269531
2016-01-18,96.80853271484375
2016-01-19,96.31204986572266
2016-01-20,92.83692169189453
2016-01-21,96.0638427734375
2016-01-22,95.81561279296875
2016-01-25,95.0709228515625
2016-01-26,94.82269287109375
2016-01-27,95.0709228515625
2016-01-28,92.83692169189453
2016-01-29,92.83692169189453
2016-02-01,93.82979583740234
2016-02-02,93.08512115478516
2016-02-03,92.09220886230469
2016-02-04,93.08512115478516
2016-02-05,93.58158111572266
2016-02-08,93.33334350585938
2016-02-09,92.3404312133789
2016-02-10,92.83692169189453
2016-02-11,92.3404312133789
2016-02-12,91.59576416015625
2016-02-15,91.84398651123047
2016-02-16,92.588623046875
2016-02-17,91.84398651123047
2016-02-18,92.09220886230469
2016-02-19,92.09220886230469
2016-02-22,92.3404312133789
2016-02-23,92.3404312133789
2016-02-24,91.59576416015625
2016-02-25,92.09220886230469
2016-02-26,92.46456146240234
2016-02-29,91.84398651123047
2016-03-01,92.3404312133789
2016-03-02,92.09220886230469
2016-03-03,93.08512115478516
2016-03-04,94.32626342773438
2016-03-07,95.56739807128906
2016-03-08,96.0638427734375
2016-03-09,97.30497741699219
2016-03-10,97.5531997680664
2016-03-11,97.05673217773438
2016-03-14,95.69149017333984
2016-03-15,95.81561279296875
2016-03-16,96.0638427734375
2016-03-17,95.56739807128906
2016-03-18,97.5531997680664
2016-03-21,96.560302734375
2016-03-22,97.05673217773438
2016-03-23,96.80853271484375
2016-03-24,96.0638427734375
2016-03-29,97.30497741699219
2016-03-30,96.560302734375
2016-03-31,97.05673217773438
2016-04-01,97.30497741699219
2016-04-04,97.67731475830078
2016-04-05,97.05673217773438
2016-04-06,98.29788208007812
2016-04-07,98.0496597290039
2016-04-08,98.0496597290039
2016-04-11,98.0496597290039
2016-04-12,98.29788208007812
2016-04-13,98.54609680175781
2016-04-14,97.5531997680664
2016-04-15,97.5531997680664
2016-04-18,97.05673217773438
2016-04-19,97.42908477783203
2016-04-20,97.5531997680664
2016-04-21,97.80143737792969
2016-04-22,97.42908477783203
2016-04-25,97.80143737792969
2016-04-26,97.5531997680664
2016-04-27,98.0496597290039
2016-04-28,97.80143737792969
2016-04-29,98.91846466064453
2016-05-03,101.27659606933594
2016-05-04,100.53194427490234
2016-05-05,100.03548431396484
2016-05-06,99.53903198242188
2016-05-09,100.03548431396484
2016-05-10,100.28368377685547
2016-05-11,100.28368377685547
2016-05-12,100.28368377685547
2016-05-13,100.28368377685547
2016-05-16,98.54609680175781
2016-05-17,97.30497741699219
2016-05-18,96.31204986572266
