Date,DCC.L
2015-08-24,4607.81982421875
2015-08-25,4740.46923828125
2015-08-26,4658.6865234375
2015-08-27,4772.3857421875
2015-08-28,4846.1904296875
2015-09-01,4781.361328125
2015-09-02,4882.095703125
2015-09-03,4877.10791015625
2015-09-04,4816.26904296875
2015-09-07,4837.21484375
2015-09-08,4854.17041015625
2015-09-09,4888.07861328125
2015-09-10,4875.11376953125
2015-09-11,4807.29296875
2015-09-14,4792.33203125
2015-09-15,4779.3671875
2015-09-16,4787.34619140625
2015-09-17,4792.33203125
2015-09-18,4819.26025390625
2015-09-21,4820.259765625
2015-09-22,4667.662109375
2015-09-23,4761.41357421875
2015-09-24,4764.40625
2015-09-25,4897.0556640625
2015-09-28,4833.22412109375
2015-09-29,4829.2353515625
2015-09-30,4975.84765625
2015-10-01,5001.77978515625
2015-10-02,5001.77978515625
2015-10-05,5076.580078125
2015-10-06,5081.5673828125
2015-10-07,4959.88916015625
2015-10-08,4964.87646484375
2015-10-09,4917.99951171875
2015-10-12,4854.17041015625
2015-10-13,4795.3251953125
2015-10-14,4778.369140625
2015-10-15,4966.8701171875
2015-10-16,5186.29052734375
2015-10-19,5141.40869140625
2015-10-20,5196.26416015625
2015-10-21,5251.1201171875
2015-10-22,5226.185546875
2015-10-23,5236.15869140625
2015-10-26,5226.185546875
2015-10-27,5216.21142578125
2015-10-28,5206.23828125
2015-10-29,5261.09375
2015-10-30,5191.27685546875
2015-11-02,5236.15869140625
2015-11-03,5320.93505859375
2015-11-04,5345.8681640625
2015-11-05,5325.92236328125
2015-11-06,5360.830078125
2015-11-09,5340.8818359375
2015-11-10,5779.72265625
2015-11-11,5744.81494140625
2015-11-12,5764.76220703125
2015-11-13,5724.86767578125
2015-11-16,5719.88037109375
2015-11-17,5774.73583984375
2015-11-18,5759.77685546875
2015-11-19,5844.88525390625
2015-11-20,5814.962890625
2015-11-23,5879.794921875
2015-11-24,5844.88525390625
2015-11-25,5874.8076171875
2015-11-26,5924.6796875
2015-11-27,5914.70458984375
2015-11-30,5954.60205078125
2015-12-01,5939.64111328125
2015-12-02,5979.53759765625
2015-12-03,5934.6533203125
2015-12-04,5954.60205078125
2015-12-07,5869.8203125
2015-12-08,5819.94970703125
2015-12-09,5824.9375
2015-12-10,5819.94970703125
2015-12-11,5735.17041015625
2015-12-14,5650.38818359375
2015-12-15,5635.427734375
2015-12-16,5600.517578125
2015-12-17,5575.5810546875
2015-12-18,5485.81396484375
2015-12-21,5525.7109375
2015-12-22,5560.62060546875
2015-12-23,5620.46533203125
2015-12-24,5605.50390625
2015-12-29,5655.3759765625
2015-12-30,5675.32373046875
2015-12-31,5645.40185546875
2016-01-04,5475.84130859375
2016-01-05,5580.568359375
2016-01-06,5535.685546875
2016-01-07,5396.0458984375
2016-01-08,5361.13671875
2016-01-11,5331.21484375
2016-01-12,5306.27783203125
2016-01-13,5326.2275390625
2016-01-14,5216.51025390625
2016-01-15,5126.7421875
2016-01-18,4992.09033203125
2016-01-19,5046.94970703125
2016-01-20,4960.17333984375
2016-01-21,4946.21044921875
2016-01-22,5022.01416015625
2016-01-25,5071.88427734375
2016-01-26,5121.75439453125
2016-01-27,5231.4716796875
2016-01-28,5256.40771484375
2016-01-29,5391.05908203125
2016-02-01,5351.16259765625
2016-02-02,5281.3427734375
2016-02-03,5191.57470703125
2016-02-04,5186.58740234375
2016-02-05,5071.88427734375
2016-02-08,4766.673828125
2016-02-09,4822.52978515625
2016-02-10,5002.0654296875
2016-02-11,5216.51025390625
2016-02-12,5341.18798828125
2016-02-15,5371.11083984375
2016-02-16,5465.86572265625
2016-02-17,5660.36328125
2016-02-18,5605.50390625
2016-02-19,5670.337890625
2016-02-22,5635.427734375
2016-02-23,5645.40185546875
2016-02-24,5605.50390625
2016-02-25,5690.28515625
2016-02-26,5710.2333984375
2016-02-29,5625.453125
2016-03-01,5790.02685546875
2016-03-02,5730.181640625
2016-03-03,5690.28515625
2016-03-04,5700.26025390625
2016-03-07,5635.427734375
2016-03-08,5595.53076171875
2016-03-09,5695.27294921875
2016-03-10,5645.40185546875
2016-03-11,5720.2080078125
2016-03-14,5844.88525390625
2016-03-15,5874.8076171875
2016-03-16,5894.75634765625
2016-03-17,5914.70458984375
2016-03-18,5854.8603515625
2016-03-21,5869.8203125
2016-03-22,5969.56298828125
2016-03-23,6084.26611328125
2016-03-24,6024.42138671875
2016-03-29,6114.189453125
2016-03-30,6174.0341796875
2016-03-31,6134.13623046875
2016-04-01,6114.189453125
2016-04-04,6203.95654296875
2016-04-05,6203.95654296875
2016-04-06,6258.8154296875
2016-04-07,6144.1123046875
2016-04-08,6253.828125
2016-04-11,6273.7763671875
2016-04-12,6308.68603515625
2016-04-13,6378.505859375
2016-04-14,6258.8154296875
2016-04-15,6179.02099609375
2016-04-18,6268.78857421875
2016-04-19,6253.828125
2016-04-20,6154.0859375
2016-04-21,6094.24072265625
2016-04-22,6064.31884765625
2016-04-25,6024.42138671875
2016-04-26,6019.43310546875
2016-04-27,6104.21484375
2016-04-28,6124.1630859375
2016-04-29,6044.369140625
2016-05-03,6089.25341796875
2016-05-04,6104.21484375
2016-05-05,6164.060546875
2016-05-06,6198.96923828125
2016-05-09,6228.89208984375
2016-05-10,6248.841796875
2016-05-11,6278.763671875
2016-05-12,6263.802734375
2016-05-13,6144.1123046875
2016-05-16,6134.13623046875
2016-05-17,6368.53173828125
2016-05-18,6433.36328125
2016-05-19,6358.55859375
2016-05-20,6468.27294921875
2016-05-23,6597.93896484375
2016-05-24,6677.73193359375
2016-05-25,6493.20947265625
2016-05-26,6329.25927734375
2016-05-27,6244.46826171875
2016-05-31,6274.39501953125
2016-06-01,6344.2216796875
2016-06-02,6264.4208984375
2016-06-03,6269.4072265625
2016-06-06,6309.30810546875
2016-06-07,6414.04833984375
2016-06-08,6394.09765625
2016-06-09,6349.208984375
2016-06-10,6304.3212890625
2016-06-13,6244.46826171875
2016-06-14,6129.75439453125
2016-06-15,6194.59375
2016-06-16,6074.89208984375
2016-06-17,6194.59375
2016-06-20,6399.08544921875
2016-06-21,6429.009765625
2016-06-22,6443.97265625
2016-06-23,6533.74853515625
2016-06-24,6164.66845703125
2016-06-27,6010.052734375
2016-06-28,6119.779296875
2016-06-29,6389.1103515625
2016-06-30,6568.66357421875
2016-07-01,6633.5009765625
2016-07-04,6473.89892578125
2016-07-05,6558.6884765625
2016-07-06,6493.849609375
2016-07-07,6548.712890625
2016-07-08,6598.58984375
2016-07-11,6728.265625
2016-07-12,6608.5634765625
2016-07-13,6678.39013671875
2016-07-14,6653.45166015625
2016-07-15,6673.40283203125
2016-07-18,6763.1796875
2016-07-19,6793.10498046875
2016-07-20,6798.09228515625
2016-07-21,6733.2529296875
2016-07-22,6718.291015625
2016-07-25,6738.24169921875
2016-07-26,6778.14208984375
2016-07-27,6728.265625
2016-07-28,6723.27880859375
2016-07-29,6728.265625
2016-08-01,6758.19091796875
2016-08-02,6778.14208984375
2016-08-03,6713.30419921875
2016-08-04,6783.12939453125
2016-08-05,6773.15380859375
2016-08-08,6793.10498046875
2016-08-09,6833.0048828125
2016-08-10,6862.931640625
2016-08-11,7022.53466796875
2016-08-12,6952.70751953125
