Date,TROW
2015-08-03,54.38249969482422
2015-08-04,54.24872970581055
2015-08-05,53.84741973876953
2015-08-06,53.4320182800293
2015-08-07,53.396812438964844
2015-08-10,54.13605880737305
2015-08-11,53.636192321777344
2015-08-12,53.13627624511719
2015-08-13,53.38975143432617
2015-08-14,53.55874252319336
2015-08-17,53.67139434814453
2015-08-18,53.748836517333984
2015-08-19,53.13627624511719
2015-08-20,52.05202102661133
2015-08-21,50.75653839111328
2015-08-24,49.038597106933594
2015-08-25,48.109222412109375
2015-08-26,49.855316162109375
2015-08-27,51.32683181762695
2015-08-28,50.97478485107422
2015-08-31,50.60867691040039
2015-09-01,48.84849166870117
2015-09-02,49.22167205810547
2015-09-03,49.538482666015625
2015-09-04,48.8907470703125
2015-09-08,50.094703674316406
2015-09-09,49.60186004638672
2015-09-10,49.932762145996094
2015-09-11,50.358341217041016
2015-09-14,50.0604362487793
2015-09-15,50.3228645324707
2015-09-16,50.840641021728516
2015-09-17,50.40087890625
2015-09-18,49.34407424926758
2015-09-21,49.80509948730469
2015-09-22,48.98234939575195
2015-09-23,48.84758758544922
2015-09-24,48.48586654663086
2015-09-25,49.02490234375
2015-09-28,49.01072692871094
2015-09-29,48.42201614379883
2015-09-30,49.2944221496582
2015-10-01,48.648983001708984
2015-10-02,48.755374908447266
2015-10-05,50.18100357055664
2015-10-06,50.095909118652344
2015-10-07,51.05342483520508
2015-10-08,51.09598922729492
2015-10-09,50.71296691894531
2015-10-12,49.819278717041016
2015-10-13,49.046180725097656
2015-10-14,48.925601959228516
2015-10-15,49.79091262817383
2015-10-16,50.216487884521484
2015-10-19,49.8334846496582
2015-10-20,50.03915786743164
2015-10-21,49.39373779296875
2015-10-22,52.66347885131836
2015-10-23,52.762760162353516
2015-10-26,52.62092971801758
2015-10-27,52.45068359375
2015-10-28,53.36565399169922
2015-10-29,53.46494674682617
2015-10-30,53.63518142700195
2015-11-02,54.03947448730469
2015-11-03,54.38700485229492
2015-11-04,54.03947448730469
2015-11-05,54.37990951538086
2015-11-06,54.5643310546875
2015-11-09,53.571353912353516
2015-11-10,54.01818084716797
2015-11-11,54.17422103881836
2015-11-12,53.37273406982422
2015-11-13,52.741485595703125
2015-11-16,53.43657302856445
2015-11-17,53.01101303100586
2015-11-18,54.252235412597656
2015-11-19,54.17422103881836
2015-11-20,54.16713333129883
2015-11-23,54.011077880859375
2015-11-24,53.63518142700195
2015-11-25,53.91178894042969
2015-11-27,53.86922073364258
2015-11-30,54.011077880859375
2015-12-01,54.252235412597656
2015-12-02,53.57843780517578
2015-12-03,53.316009521484375
2015-12-04,53.92596435546875
2015-12-07,53.30890655517578
2015-12-08,52.56416702270508
2015-12-09,51.897457122802734
2015-12-10,52.018028259277344
2015-12-11,50.216487884521484
2015-12-14,50.044986724853516
2015-12-15,50.99531173706055
2015-12-16,51.53834533691406
2015-12-17,50.73808288574219
2015-12-18,49.952117919921875
2015-12-21,50.295082092285156
2015-12-22,50.66664505004883
2015-12-23,51.981353759765625
2015-12-24,51.76699447631836
2015-12-28,51.95990753173828
2015-12-29,52.23142623901367
2015-12-30,51.509761810302734
2015-12-31,51.08103561401367
2016-01-04,50.15218734741211
2016-01-05,50.35939025878906
2016-01-06,49.230445861816406
2016-01-07,47.91571807861328
2016-01-08,46.70103454589844
2016-01-11,46.450958251953125
2016-01-12,47.6656494140625
2016-01-13,46.350929260253906
2016-01-14,46.858245849609375
2016-01-15,46.408084869384766
2016-01-19,46.84394836425781
2016-01-20,46.508113861083984
2016-01-21,46.84394836425781
2016-01-22,48.18010330200195
2016-01-25,46.736778259277344
2016-01-26,47.622772216796875
2016-01-27,47.32267379760742
2016-01-28,48.88747787475586
2016-01-29,50.69519805908203
2016-02-01,50.1307373046875
2016-02-02,48.62309646606445
2016-02-03,49.0446662902832
2016-02-04,49.85920333862305
2016-02-05,49.0446662902832
2016-02-08,47.13689422607422
2016-02-09,47.50844192504883
2016-02-10,47.579898834228516
2016-02-11,46.78678512573242
2016-02-12,48.265838623046875
2016-02-16,48.92320251464844
2016-02-17,50.20219802856445
2016-02-18,49.6091423034668
2016-02-19,49.201866149902344
2016-02-22,49.937808990478516
2016-02-23,49.01607894897461
2016-02-24,49.273311614990234
2016-02-25,49.75920104980469
2016-02-26,49.816349029541016
2016-02-29,49.380496978759766
2016-03-01,51.0167350769043
2016-03-02,51.209659576416016
2016-03-03,51.68840408325195
2016-03-04,52.00278091430664
2016-03-07,51.845584869384766
2016-03-08,51.42401885986328
2016-03-09,51.10249710083008
2016-03-10,50.95242691040039
2016-03-11,51.89561462402344
2016-03-14,51.59324264526367
2016-03-15,50.82298278808594
2016-03-16,51.3412971496582
2016-03-17,52.70185852050781
2016-03-18,52.939414978027344
2016-03-21,52.809852600097656
2016-03-22,52.6154670715332
2016-03-23,52.62266540527344
2016-03-24,52.197940826416016
2016-03-28,52.406715393066406
2016-03-29,53.198577880859375
2016-03-30,53.198577880859375
2016-03-31,52.88181686401367
2016-04-01,53.234561920166016
2016-04-04,52.57228088378906
2016-04-05,52.075565338134766
2016-04-06,52.802635192871094
2016-04-07,51.456485748291016
2016-04-08,51.68683624267578
2016-04-11,51.96759796142578
2016-04-12,53.29936218261719
2016-04-13,55.070255279541016
2016-04-14,55.14943313598633
2016-04-15,55.09182357788086
2016-04-18,55.14221954345703
2016-04-19,55.948486328125
2016-04-20,56.39480972290039
2016-04-21,55.883705139160156
2016-04-22,55.84770202636719
2016-04-25,55.40857696533203
2016-04-26,55.804508209228516
2016-04-27,55.76132583618164
