Date,WSM
2015-08-03,33.11585235595703
2015-08-04,33.449249267578125
2015-08-05,33.68067169189453
2015-08-06,33.260986328125
2015-08-07,33.3472785949707
2015-08-10,33.89639663696289
2015-08-11,33.75912094116211
2015-08-12,33.93953323364258
2015-08-13,34.04543685913086
2015-08-14,34.31999969482422
2015-08-17,34.716148376464844
2015-08-18,34.77890396118164
2015-08-19,34.35530090332031
2015-08-20,33.817955017089844
2015-08-21,32.67656707763672
2015-08-24,31.695995330810547
2015-08-25,31.797969818115234
2015-08-26,32.602046966552734
2015-08-27,30.08392333984375
2015-08-28,29.73484230041504
2015-08-31,29.821134567260742
2015-09-01,29.275941848754883
2015-09-02,29.687780380249023
2015-09-03,29.923118591308594
2015-09-04,29.81329345703125
2015-09-08,30.711502075195312
2015-09-09,30.01725196838379
2015-09-10,29.876047134399414
2015-09-11,29.746618270874023
2015-09-14,29.703472137451172
2015-09-15,29.562267303466797
2015-09-16,29.99371337890625
2015-09-17,30.3937931060791
2015-09-18,30.19376564025879
2015-09-21,30.205530166625977
2015-09-22,30.63697624206543
2015-09-23,31.080190658569336
2015-09-24,30.68011474609375
2015-09-25,30.5742130279541
2015-09-28,29.801532745361328
2015-09-29,29.703472137451172
2015-09-30,29.9466552734375
2015-10-01,29.938814163208008
2015-10-02,30.185914993286133
2015-10-05,30.90761947631836
2015-10-06,30.731115341186523
2015-10-07,30.856618881225586
2015-10-08,30.789947509765625
2015-10-09,30.664432525634766
2015-10-12,30.2172908782959
2015-10-13,29.66425132751465
2015-10-14,29.338695526123047
2015-10-15,29.581880569458008
2015-10-16,29.958419799804688
2015-10-19,29.950563430786133
2015-10-20,29.876047134399414
2015-10-21,29.33086395263672
2015-10-22,28.985687255859375
2015-10-23,28.406368255615234
2015-10-26,28.958105087280273
2015-10-27,28.56401824951172
2015-10-28,28.985698699951172
2015-10-29,28.796524047851562
2015-10-30,29.064502716064453
2015-11-02,29.41920280456543
2015-11-03,29.490129470825195
2015-11-04,29.37584686279297
2015-11-05,29.789640426635742
2015-11-06,29.572891235351562
2015-11-09,29.395538330078125
2015-11-10,28.58765411376953
2015-11-11,28.162029266357422
2015-11-12,27.882226943969727
2015-11-13,26.522598266601562
2015-11-16,26.762998580932617
2015-11-17,25.70682716369629
2015-11-18,26.301902770996094
2015-11-19,26.093036651611328
2015-11-20,25.19843864440918
2015-11-23,25.076263427734375
2015-11-24,25.29302215576172
2015-11-25,25.226024627685547
2015-11-27,25.576772689819336
2015-11-30,24.958044052124023
2015-12-01,25.206314086914062
2015-12-02,25.028972625732422
2015-12-03,24.871334075927734
2015-12-04,25.032917022705078
2015-12-07,24.772811889648438
2015-12-08,24.898927688598633
2015-12-09,24.694000244140625
2015-12-10,24.682172775268555
2015-12-11,24.02797508239746
2015-12-14,23.27131462097168
2015-12-15,23.799402236938477
2015-12-16,24.094972610473633
2015-12-17,23.618112564086914
2015-12-18,22.987564086914062
2015-12-21,23.038793563842773
2015-12-22,23.251611709594727
2015-12-23,23.25554656982422
2015-12-24,23.066383361816406
2015-12-28,23.243728637695312
2015-12-29,23.480188369750977
2015-12-30,23.2082576751709
2015-12-31,23.019094467163086
2016-01-04,22.648639678955078
2016-01-05,22.656524658203125
2016-01-06,21.93927574157715
2016-01-07,22.262432098388672
2016-01-08,21.545169830322266
2016-01-11,21.048614501953125
2016-01-12,21.06043815612793
2016-01-13,20.555999755859375
2016-01-14,20.33924102783203
2016-01-15,19.88209342956543
2016-01-19,19.70869255065918
2016-01-20,19.30671501159668
2016-01-21,19.988502502441406
2016-01-22,20.75041961669922
2016-01-25,20.361526489257812
2016-01-26,20.47263526916504
2016-01-27,20.13532257080078
2016-01-28,19.64325714111328
2016-01-29,20.50041389465332
2016-02-01,20.50041389465332
2016-02-02,20.27422332763672
2016-02-03,19.89325714111328
2016-02-04,20.436920166015625
2016-02-05,20.702800750732422
2016-02-08,20.877410888671875
2016-02-09,20.67898941040039
2016-02-10,20.536136627197266
2016-02-11,20.34168243408203
2016-02-12,20.663122177124023
2016-02-16,21.496471405029297
2016-02-17,22.881418228149414
2016-02-18,22.980621337890625
2016-02-19,22.278228759765625
2016-02-22,22.552047729492188
2016-02-23,22.341726303100586
2016-02-24,22.544105529785156
2016-02-25,21.171056747436523
2016-02-26,21.81393051147461
2016-02-29,20.67898941040039
2016-03-01,21.496471405029297
2016-03-02,21.571868896484375
2016-03-03,22.139341354370117
2016-03-04,22.306007385253906
2016-03-07,22.794113159179688
2016-03-08,22.766332626342773
2016-03-09,22.520296096801758
2016-03-10,22.976654052734375
2016-03-11,22.964754104614258
2016-03-14,22.905221939086914
2016-03-15,23.099672317504883
2016-03-16,23.595714569091797
2016-03-17,22.119497299194336
2016-03-18,22.51236343383789
2016-03-21,22.520296096801758
2016-03-22,22.087751388549805
2016-03-23,21.94886016845703
2016-03-24,21.516307830810547
2016-03-28,21.524250030517578
2016-03-29,21.571868896484375
2016-03-30,22.115528106689453
2016-03-31,21.7226619720459
2016-04-01,21.746475219726562
2016-04-04,21.472654342651367
2016-04-05,22.18695640563965
2016-04-06,22.309978485107422
2016-04-07,21.98457145690918
2016-04-08,21.936960220336914
2016-04-11,22.151243209838867
2016-04-12,22.69093894958496
2016-04-13,23.484600067138672
2016-04-14,23.952863693237305
2016-04-15,24.17112159729004
2016-04-18,23.913188934326172
2016-04-19,23.686986923217773
2016-04-20,23.508413314819336
2016-04-21,23.294126510620117
2016-04-22,23.61952781677246
2016-04-25,23.294126510620117
2016-04-26,24.190963745117188
2016-04-27,24.57425308227539
