Date,ALPL30IETF.NS
2020-08-18,11.920000076293945
2020-08-19,11.980999946594238
2020-08-20,11.88700008392334
2020-08-21,11.987000465393066
2020-08-24,12.020999908447266
2020-08-25,11.913999557495117
2020-08-26,11.954999923706055
2020-08-27,11.95300006866455
2020-08-28,11.920999526977539
2020-08-31,11.600000381469727
2020-09-01,11.604999542236328
2020-09-02,11.75
2020-09-03,11.862000465393066
2020-09-04,11.847999572753906
2020-09-07,11.654000282287598
2020-09-08,11.699999809265137
2020-09-09,11.670999526977539
2020-09-10,11.800000190734863
2020-09-11,11.859999656677246
2020-09-14,11.949999809265137
2020-09-15,12.053999900817871
2020-09-16,12.119000434875488
2020-09-17,12.15999984741211
2020-09-18,12.279000282287598
2020-09-21,11.989999771118164
2020-09-22,11.934000015258789
2020-09-23,11.920000076293945
2020-09-24,11.732999801635742
2020-09-25,11.944999694824219
2020-09-28,12.001999855041504
2020-09-29,12.039999961853027
2020-09-30,12.085000038146973
2020-10-01,12.170000076293945
2020-10-05,12.210000038146973
2020-10-06,12.281999588012695
2020-10-07,12.263999938964844
2020-10-08,12.380000114440918
2020-10-09,12.444999694824219
2020-10-12,12.399999618530273
2020-10-13,12.435999870300293
2020-10-14,12.310999870300293
2020-10-15,12.197999954223633
2020-10-16,12.27299976348877
2020-10-19,12.29800033569336
2020-10-20,12.28600025177002
2020-10-21,12.25
2020-10-22,12.208000183105469
2020-10-23,12.305000305175781
2020-10-26,12.149999618530273
2020-10-27,12.390000343322754
2020-10-28,12.310999870300293
2020-10-29,12.3149995803833
2020-10-30,12.307000160217285
2020-11-02,12.1899995803833
2020-11-03,12.281000137329102
2020-11-04,12.359999656677246
2020-11-05,12.432999610900879
2020-11-06,12.5
2020-11-09,12.675000190734863
2020-11-10,12.329999923706055
2020-11-11,12.475000381469727
2020-11-12,12.552000045776367
2020-11-13,12.633999824523926
2020-11-14,12.673999786376953
2020-11-17,12.609999656677246
2020-11-18,12.588000297546387
2020-11-19,12.663999557495117
2020-11-20,12.704999923706055
2020-11-23,12.847999572753906
2020-11-24,12.916999816894531
2020-11-25,12.795999526977539
2020-11-26,12.73900032043457
2020-11-27,12.947999954223633
2020-12-01,13.0
2020-12-02,13.081000328063965
2020-12-03,13.196000099182129
2020-12-04,13.180000305175781
2020-12-07,13.34000015258789
2020-12-08,13.3100004196167
2020-12-09,13.378999710083008
2020-12-10,13.413000106811523
2020-12-11,13.399999618530273
2020-12-14,13.510000228881836
2020-12-15,13.470000267028809
