Date,TATACONSUM.NS
2015-08-03,126.00282287597656
2015-08-04,128.19454956054688
2015-08-05,127.16577911376953
2015-08-06,128.5971221923828
2015-08-07,126.98687744140625
2015-08-10,124.30309295654297
2015-08-11,123.18486785888672
2015-08-12,119.02501678466797
2015-08-13,116.29653930664062
2015-08-14,118.1751708984375
2015-08-17,117.1911392211914
2015-08-18,120.00906372070312
2015-08-19,119.69599151611328
2015-08-20,118.89082336425781
2015-08-21,116.65435791015625
2015-08-24,102.74351501464844
2015-08-25,105.1589126586914
2015-08-26,104.93524932861328
2015-08-27,104.08539581298828
2015-08-28,105.6956787109375
2015-08-31,106.99281311035156
2015-09-01,103.05661010742188
2015-09-02,106.32186126708984
2015-09-03,111.06317138671875
2015-09-04,107.5295639038086
2015-09-07,107.75321197509766
2015-09-08,108.20050048828125
2015-09-09,110.61589050292969
2015-09-10,110.70535278320312
2015-09-11,110.258056640625
2015-09-14,110.9737319946289
2015-09-15,112.18142700195312
2015-09-16,110.12386322021484
2015-09-18,112.22615814208984
2015-09-21,112.27088165283203
2015-09-22,110.83954620361328
2015-09-23,111.8235855102539
2015-09-24,111.10791778564453
2015-09-28,113.70221710205078
2015-09-29,113.25492858886719
2015-09-30,114.32843017578125
2015-10-01,116.34126281738281
2015-10-05,117.95152282714844
2015-10-06,116.78856658935547
2015-10-07,119.02501678466797
2015-10-08,119.29341125488281
2015-10-09,120.50111389160156
2015-10-12,120.36689758300781
2015-10-13,118.3541030883789
2015-10-14,119.8748779296875
2015-10-15,120.50111389160156
2015-10-16,119.8748779296875
2015-10-19,120.50111389160156
2015-10-20,124.70565032958984
2015-10-21,123.05069732666016
2015-10-23,123.27430725097656
2015-10-26,124.25837707519531
2015-10-27,121.48514556884766
2015-10-28,121.30624389648438
2015-10-29,121.57461547851562
2015-10-30,119.38285064697266
2015-11-02,118.66719818115234
2015-11-03,117.86205291748047
2015-11-04,117.86205291748047
2015-11-05,114.50735473632812
2015-11-06,112.58399963378906
2015-11-09,115.22303009033203
2015-11-10,112.44979858398438
2015-11-13,114.50735473632812
2015-11-16,114.64154815673828
2015-11-17,118.53300476074219
2015-11-18,115.17829895019531
2015-11-19,117.10163879394531
2015-11-20,119.69599151611328
2015-11-23,118.9355697631836
2015-11-24,120.18798065185547
2015-11-26,120.72474670410156
2015-11-27,122.5139389038086
2015-11-30,123.05069732666016
2015-12-01,121.88770294189453
2015-12-02,121.84298706054688
2015-12-03,120.68000793457031
2015-12-04,119.5617904663086
2015-12-07,121.08259582519531
2015-12-08,120.76947021484375
2015-12-09,118.21987915039062
2015-12-10,121.03787231445312
2015-12-11,119.15921020507812
2015-12-14,120.18798065185547
2015-12-15,119.74073028564453
2015-12-16,122.15609741210938
2015-12-17,127.21051025390625
2015-12-18,126.94214630126953
2015-12-21,127.83672332763672
2015-12-22,126.31592559814453
2015-12-23,127.03160858154297
2015-12-24,129.5364227294922
2015-12-28,128.86549377441406
2015-12-29,126.94214630126953
2015-12-30,130.92308044433594
2015-12-31,130.7888641357422
2016-01-01,130.9677734375
2016-01-04,128.55238342285156
2016-01-05,132.71224975585938
2016-01-06,129.93899536132812
2016-01-07,125.28714752197266
2016-01-08,129.2233428955078
2016-01-11,126.94214630126953
2016-01-12,124.7951431274414
2016-01-13,121.30624389648438
2016-01-14,119.91962432861328
2016-01-15,114.95465087890625
2016-01-18,109.00563049316406
2016-01-19,113.07601928710938
2016-01-20,109.63185119628906
2016-01-21,108.91616821289062
2016-01-22,112.31561279296875
2016-01-25,111.1973876953125
2016-01-27,111.33155822753906
2016-01-28,110.16861724853516
2016-01-29,113.16548156738281
2016-02-01,113.25492858886719
2016-02-02,111.15264892578125
2016-02-03,108.91616821289062
2016-02-04,108.78199005126953
2016-02-05,109.58711242675781
2016-02-08,110.83954620361328
2016-02-09,108.02159118652344
2016-02-10,105.87458038330078
2016-02-11,94.15546417236328
2016-02-12,93.30561065673828
2016-02-15,94.8263931274414
2016-02-16,91.82952880859375
2016-02-17,93.03723907470703
2016-02-18,93.52925109863281
2016-02-19,95.98937225341797
2016-02-22,97.59962463378906
2016-02-23,95.40788269042969
2016-02-24,95.4526138305664
2016-02-25,95.00531768798828
2016-02-26,93.70816802978516
2016-02-29,92.6346664428711
2016-03-01,97.42071533203125
2016-03-02,98.31529235839844
2016-03-03,97.95746612548828
2016-03-04,101.31217193603516
2016-03-08,103.45918273925781
2016-03-09,104.53269958496094
2016-03-10,104.17485046386719
2016-03-11,103.63809967041016
2016-03-14,103.45918273925781
2016-03-15,103.28026580810547
2016-03-16,102.96715545654297
2016-03-17,103.59336853027344
2016-03-18,106.3666000366211
2016-03-21,107.26117706298828
2016-03-22,108.60307312011719
2016-03-23,106.85861206054688
2016-03-28,106.81389617919922
2016-03-29,106.72444152832031
2016-03-30,108.60307312011719
2016-03-31,108.46888732910156
2016-04-01,109.63185119628906
2016-04-04,108.42415618896484
2016-04-05,105.78511047363281
2016-04-06,106.32186126708984
2016-04-07,106.18767547607422
2016-04-08,105.2930908203125
2016-04-11,106.90335083007812
2016-04-12,105.87458038330078
2016-04-13,107.93213653564453
2016-04-18,107.35065460205078
2016-04-20,109.00563049316406
2016-04-21,107.44010162353516
2016-04-22,107.57428741455078
2016-04-25,108.42415618896484
2016-04-26,108.96090698242188
2016-04-27,109.4976577758789
2016-04-28,107.61902618408203
2016-04-29,107.39537811279297
2016-05-02,108.33468627929688
2016-05-03,106.85861206054688
2016-05-04,104.62216186523438
2016-05-05,104.08539581298828
2016-05-06,105.65092468261719
