Date,BA.L
2015-08-24,430.45306396484375
2015-08-25,443.3069152832031
2015-08-26,435.23590087890625
2015-08-27,444.3033142089844
2015-08-28,450.58074951171875
2015-09-01,443.0079345703125
2015-09-02,443.8050842285156
2015-09-03,451.1785583496094
2015-09-04,441.3140563964844
2015-09-07,438.9225769042969
2015-09-08,442.2108459472656
2015-09-09,448.0896911621094
2015-09-10,441.61297607421875
2015-09-11,450.0825500488281
2015-09-14,448.88677978515625
2015-09-15,451.7764587402344
2015-09-16,450.18218994140625
2015-09-17,442.5097961425781
2015-09-18,438.82305908203125
2015-09-21,436.53125
2015-09-22,423.97637939453125
2015-09-23,429.8552551269531
2015-09-24,427.4638977050781
2015-09-25,438.42437744140625
2015-09-28,442.9083251953125
2015-09-29,435.3354797363281
2015-09-30,446.0968322753906
2015-10-01,442.0115051269531
2015-10-02,443.6058654785156
2015-10-05,457.7549743652344
2015-10-06,459.4488830566406
2015-10-07,461.1427001953125
2015-10-08,465.6266784667969
2015-10-09,467.3205871582031
2015-10-12,461.242431640625
2015-10-13,458.6517639160156
2015-10-14,448.88677978515625
2015-10-15,451.4775085449219
2015-10-16,453.2710876464844
2015-10-19,449.2854919433594
2015-10-20,447.3922119140625
2015-10-21,451.4775085449219
2015-10-22,446.07989501953125
2015-10-23,452.4581604003906
2015-10-26,452.2588195800781
2015-10-27,439.8013000488281
2015-10-28,440.9972839355469
2015-10-29,437.50909423828125
2015-10-30,438.8047180175781
2015-11-02,442.3924560546875
2015-11-03,442.49212646484375
2015-11-04,446.1795959472656
2015-11-05,436.41290283203125
2015-11-06,443.48870849609375
2015-11-09,439.70172119140625
2015-11-10,436.5124816894531
2015-11-11,436.8115234375
2015-11-12,453.4548034667969
2015-11-13,452.0595397949219
2015-11-16,463.1217956542969
2015-11-17,472.19085693359375
2015-11-18,474.9814147949219
2015-11-19,482.4559631347656
2015-11-20,490.32916259765625
2015-11-23,495.31219482421875
2015-11-24,498.80035400390625
2015-11-25,505.7765197753906
2015-11-26,517.237548828125
2015-11-27,517.7357177734375
2015-11-30,514.745849609375
2015-12-01,513.7493286132812
2015-12-02,511.7560729980469
2015-12-03,507.27142333984375
2015-12-04,506.7731018066406
2015-12-07,506.7731018066406
2015-12-08,500.295166015625
2015-12-09,500.295166015625
2015-12-10,497.00640869140625
2015-12-11,488.834228515625
2015-12-14,481.7584228515625
2015-12-15,488.3359375
2015-12-16,490.727783203125
2015-12-17,494.6144714355469
2015-12-18,490.827392578125
2015-12-21,491.724365234375
2015-12-22,491.9237365722656
2015-12-23,497.2056579589844
2015-12-24,495.61114501953125
2015-12-29,505.2782287597656
2015-12-30,503.7832336425781
2015-12-31,497.9033203125
2016-01-04,491.8240661621094
2016-01-05,492.32232666015625
2016-01-06,510.759521484375
2016-01-07,503.7832336425781
2016-01-08,517.7357177734375
2016-01-11,524.7119140625
2016-01-12,519.72900390625
2016-01-13,522.71875
2016-01-14,516.7393188476562
2016-01-15,511.7560729980469
2016-01-18,507.27142333984375
2016-01-19,504.2815246582031
2016-01-20,488.3359375
2016-01-21,477.5726318359375
2016-01-22,491.0267639160156
2016-01-25,494.1162414550781
2016-01-26,500.79345703125
2016-01-27,505.2782287597656
2016-01-28,503.7832336425781
2016-01-29,514.2476806640625
2016-02-01,507.27142333984375
2016-02-02,499.2984924316406
2016-02-03,484.6484680175781
2016-02-04,488.1365966796875
2016-02-05,477.3732604980469
2016-02-08,465.912353515625
2016-02-09,468.3041687011719
2016-02-10,468.9020690917969
2016-02-11,458.1388244628906
2016-02-12,465.51373291015625
2016-02-15,480.06414794921875
2016-02-16,486.3426818847656
2016-02-17,497.6043395996094
2016-02-18,503.2850341796875
2016-02-19,503.7832336425781
2016-02-22,508.2679443359375
2016-02-23,506.7731018066406
2016-02-24,501.79010009765625
2016-02-25,510.759521484375
