Date,MARICO.NS
2015-08-21,184.0713348388672
2015-08-24,169.38748168945312
2015-08-25,170.58445739746094
2015-08-26,171.58901977539062
2015-08-27,175.3080596923828
2015-08-28,175.7355194091797
2015-08-31,173.36300659179688
2015-09-01,173.06381225585938
2015-09-02,173.10658264160156
2015-09-03,173.3416748046875
2015-09-04,171.73863220214844
2015-09-07,169.49436950683594
2015-09-08,164.0654296875
2015-09-09,168.85317993164062
2015-09-10,168.55393981933594
2015-09-11,173.27755737304688
2015-09-14,174.49588012695312
2015-09-15,172.4439697265625
2015-09-16,173.89736938476562
2015-09-18,173.0424346923828
2015-09-21,172.63632202148438
2015-09-22,168.29745483398438
2015-09-23,166.92953491210938
2015-09-24,169.024169921875
2015-09-28,170.0287322998047
2015-09-29,169.4730224609375
2015-09-30,172.7859344482422
2015-10-01,170.92640686035156
2015-10-05,172.2515869140625
2015-10-06,171.82412719726562
2015-10-07,172.3371124267578
2015-10-08,171.73863220214844
2015-10-09,171.0332794189453
2015-10-12,168.91729736328125
2015-10-13,167.25013732910156
2015-10-14,168.70355224609375
2015-10-15,170.84092712402344
2015-10-16,170.86228942871094
2015-10-19,171.46080017089844
2015-10-20,168.361572265625
2015-10-21,167.9768524169922
2015-10-23,164.83486938476562
2015-10-26,166.11732482910156
2015-10-27,167.2928924560547
2015-10-28,168.29745483398438
2015-10-29,167.5921173095703
2015-10-30,165.51885986328125
2015-11-02,164.98451232910156
2015-11-03,166.92953491210938
2015-11-04,170.7340545654297
2015-11-05,172.37985229492188
2015-11-06,172.16610717773438
2015-11-09,173.6044464111328
2015-11-10,173.30381774902344
2015-11-13,170.74928283691406
2015-11-16,168.19471740722656
2015-11-17,172.573974609375
2015-11-18,179.87281799316406
2015-11-19,180.9890899658203
2015-11-20,179.9801483154297
2015-11-23,184.44529724121094
2015-11-24,185.79769897460938
2015-11-26,184.33795166015625
2015-11-27,180.75294494628906
2015-11-30,181.8048553466797
2015-12-01,182.2341766357422
2015-12-02,185.45423889160156
2015-12-03,182.53466796875
2015-12-04,182.10533142089844
2015-12-07,182.87818908691406
2015-12-08,183.00697326660156
2015-12-09,181.89068603515625
2015-12-10,182.16978454589844
2015-12-11,184.101806640625
2015-12-14,184.83168029785156
2015-12-15,185.8621063232422
2015-12-16,186.99989318847656
2015-12-17,193.5902557373047
2015-12-18,195.17886352539062
2015-12-21,198.7852783203125
2015-12-22,189.94088745117188
2015-12-23,191.44354248046875
2015-12-24,194.14840698242188
2015-12-28,192.602783203125
2015-12-29,191.91583251953125
2015-12-30,193.6331787109375
2015-12-31,194.1913299560547
2016-01-01,195.05001831054688
2016-01-04,193.4614715576172
2016-01-05,197.19674682617188
2016-01-06,194.7924041748047
2016-01-07,192.08753967285156
2016-01-08,195.95166015625
2016-01-11,190.19842529296875
2016-01-12,189.81204223632812
2016-01-13,193.4614715576172
2016-01-14,193.3326416015625
2016-01-15,193.2897491455078
2016-01-18,188.60989379882812
2016-01-19,192.34518432617188
2016-01-20,194.14840698242188
2016-01-21,188.78163146972656
2016-01-22,188.3093719482422
2016-01-25,184.57408142089844
2016-01-27,183.41488647460938
2016-01-28,183.02845764160156
2016-01-29,190.3272705078125
2016-02-01,194.06253051757812
2016-02-02,191.27182006835938
2016-02-03,189.8979034423828
2016-02-04,193.2897491455078
2016-02-05,197.050048828125
2016-02-08,201.63162231445312
2016-02-09,199.08148193359375
2016-02-10,197.4390869140625
2016-02-11,197.3094024658203
2016-02-12,197.3094024658203
2016-02-15,198.08738708496094
2016-02-16,191.38790893554688
2016-02-17,196.48817443847656
2016-02-18,199.98916625976562
2016-02-19,201.4586944580078
2016-02-22,208.460693359375
2016-02-23,205.30552673339844
2016-02-24,204.3978271484375
2016-02-25,208.37428283691406
2016-02-26,205.34869384765625
2016-02-29,204.6571502685547
2016-03-01,203.79273986816406
2016-03-02,204.83006286621094
2016-03-03,206.77503967285156
2016-03-04,205.0894317626953
2016-03-08,206.040283203125
2016-03-09,206.42930603027344
2016-03-10,205.4351806640625
2016-03-11,212.6964874267578
2016-03-14,216.8458251953125
2016-03-15,209.97349548339844
2016-03-16,207.63951110839844
2016-03-17,213.1083221435547
2016-03-18,215.01795959472656
2016-03-21,214.7141876220703
2016-03-22,212.7176513671875
2016-03-23,209.0283966064453
2016-03-28,206.4242706298828
2016-03-29,208.5943603515625
2016-03-30,214.58395385742188
2016-03-31,212.06661987304688
