Date,MRF.NS
2015-08-21,42735.7578125
2015-08-24,38205.31640625
2015-08-25,39282.69921875
2015-08-26,39466.83203125
2015-08-27,40292.33203125
2015-08-28,40390.58203125
2015-08-31,39784.44140625
2015-09-01,39087.3828125
2015-09-02,39657.53515625
2015-09-03,39653.00390625
2015-09-04,38096.125
2015-09-07,37433.359375
2015-09-08,38736.84765625
2015-09-09,38931.9140625
2015-09-10,40002.90625
2015-09-11,39926.26953125
2015-09-14,40201.46875
2015-09-15,39634.52734375
2015-09-16,39273.49609375
2015-09-18,39562.13671875
2015-09-21,40795.53515625
2015-09-22,40818.98046875
2015-09-23,40319.51953125
2015-09-24,40641.34375
2015-09-28,40622.37890625
2015-09-29,40948.50390625
2015-09-30,41304.953125
2015-10-01,41003.46875
2015-10-05,42232.5859375
2015-10-06,41909.43359375
2015-10-07,41947.00390625
2015-10-08,41265.51953125
2015-10-09,40751.265625
2015-10-12,40486.16796875
2015-10-13,40560.8828125
2015-10-14,40634.0078125
2015-10-15,41219.21875
2015-10-16,41268.57421875
2015-10-19,41284.125
2015-10-20,41538.34375
2015-10-21,41590.50390625
2015-10-23,41989.65234375
2015-10-26,41601.66796875
2015-10-27,40952.7890625
2015-10-28,40627.41015625
2015-10-29,40048.0546875
2015-10-30,39153.2890625
2015-11-02,38766.5859375
2015-11-03,39133.78515625
2015-11-04,38432.75
2015-11-05,37976.2734375
2015-11-06,37932.875
2015-11-09,38380.39453125
2015-11-10,37532.4296875
2015-11-13,37803.41015625
2015-11-16,37448.6015625
2015-11-17,38938.265625
2015-11-18,38349.26171875
2015-11-19,38744.21875
2015-11-20,38792.32421875
2015-11-23,38587.9375
2015-11-24,38370.44140625
2015-11-26,38085.86328125
2015-11-27,38840.44921875
2015-11-30,38268.390625
2015-12-01,38649.9921875
2015-12-02,38693.72265625
2015-12-03,38565.18359375
2015-12-04,39037.50390625
2015-12-07,38584.7421875
2015-12-08,38627.97265625
2015-12-09,38461.078125
2015-12-10,38852.51953125
2015-12-11,38824.34375
2015-12-14,38024.74609375
2015-12-15,38209.88671875
2015-12-16,38152.75390625
2015-12-17,38557.94140625
2015-12-18,38576.65234375
2015-12-21,38625.9609375
2015-12-22,38588.83203125
2015-12-23,38699.6875
2015-12-24,38947.6640625
2015-12-28,39066.03125
2015-12-29,39189.2890625
2015-12-30,39196.63671875
2015-12-31,39280.50390625
2016-01-01,39945.0546875
2016-01-04,39899.453125
2016-01-05,39985.55859375
2016-01-06,39814.09375
2016-01-07,38481.40625
2016-01-08,38060.11328125
2016-01-11,38395.109375
2016-01-12,38293.95703125
