Date,L
2015-08-03,35.318729400634766
2015-08-04,35.71867370605469
2015-08-05,35.89960479736328
2015-08-06,36.15670394897461
2015-08-07,36.128135681152344
2015-08-10,37.18513107299805
2015-08-11,37.16608810424805
2015-08-12,36.94706726074219
2015-08-13,36.95659255981445
2015-08-14,37.127986907958984
2015-08-17,36.96610641479492
2015-08-18,36.91850280761719
2015-08-19,36.61378860473633
2015-08-20,35.98530578613281
2015-08-21,35.309207916259766
2015-08-24,34.38554000854492
2015-08-25,33.67135238647461
2015-08-26,34.080810546875
2015-08-27,34.83726501464844
2015-08-28,34.84681701660156
2015-08-31,34.77050018310547
2015-09-01,34.07413864135742
2015-09-02,34.398468017578125
2015-09-03,34.79912185668945
2015-09-04,34.42708206176758
2015-09-08,34.923133850097656
2015-09-09,34.42708206176758
2015-09-10,34.57017517089844
2015-09-11,34.63694381713867
2015-09-14,34.436622619628906
2015-09-15,34.694183349609375
2015-09-16,34.87542724609375
2015-09-17,34.59878921508789
2015-09-18,34.15999984741211
2015-09-21,34.56063461303711
2015-09-22,34.22675704956055
2015-09-23,34.04550552368164
2015-09-24,34.07413864135742
2015-09-25,34.3126220703125
2015-09-28,33.76887512207031
2015-09-29,34.00735855102539
2015-09-30,34.474788665771484
2015-10-01,33.740264892578125
2015-10-02,33.91197204589844
2015-10-05,34.95173645019531
2015-10-06,35.047149658203125
2015-10-07,34.86589813232422
2015-10-08,35.08529281616211
2015-10-09,34.61787796020508
2015-10-12,34.65602111816406
2015-10-13,34.36985778808594
2015-10-14,33.99782180786133
2015-10-15,34.35075759887695
2015-10-16,34.512943267822266
2015-10-19,34.4461669921875
2015-10-20,34.75141525268555
2015-10-21,34.5797119140625
2015-10-22,34.904048919677734
2015-10-23,35.008968353271484
2015-10-26,34.93266677856445
2015-10-27,34.45570373535156
2015-10-28,35.15206527709961
2015-10-29,35.10435485839844
2015-10-30,34.7800407409668
2015-11-02,35.84843444824219
2015-11-03,35.55270767211914
2015-11-04,35.314239501953125
2015-11-05,35.52409744262695
2015-11-06,36.058292388916016
2015-11-09,35.89612579345703
2015-11-10,36.08690643310547
2015-11-11,35.80073165893555
2015-11-12,35.32377624511719
2015-11-13,35.256988525390625
2015-11-16,35.83889389038086
2015-11-17,35.7625732421875
2015-11-18,36.22045135498047
2015-11-19,36.11552810668945
2015-11-20,36.16321563720703
2015-11-23,36.02013397216797
2015-11-24,36.11552810668945
2015-11-25,36.089725494384766
2015-11-27,36.04195022583008
2015-11-30,36.204410552978516
2015-12-01,36.60572052001953
2015-12-02,36.54837417602539
2015-12-03,35.83174133300781
2015-12-04,36.701255798339844
2015-12-07,36.62482452392578
2015-12-08,36.328617095947266
2015-12-09,35.54508590698242
2015-12-10,36.11839294433594
