Date,IG.MI
2016-11-07,2.588735342025757
2016-11-08,2.5013575553894043
2016-11-09,2.3279058933258057
2016-11-10,2.1648871898651123
2016-11-11,2.1727118492126465
2016-11-14,2.0931589603424072
2016-11-15,2.061859130859375
2016-11-16,2.0866382122039795
2016-11-17,2.044905424118042
2016-11-18,2.0605554580688477
2016-11-21,2.0436012744903564
2016-11-22,2.104896306991577
2016-11-23,2.1296753883361816
2016-11-24,2.145325183868408
2016-11-25,2.179232597351074
2016-11-28,2.1727118492126465
2016-11-29,2.200099468231201
2016-11-30,2.2014031410217285
2016-12-01,2.1779286861419678
2016-12-02,2.1322834491729736
2016-12-05,2.0983753204345703
2016-12-06,2.223573923110962
2016-12-07,2.291389226913452
2016-12-08,2.3318183422088623
2016-12-09,2.297910690307617
2016-12-12,2.237919330596924
2016-12-13,2.3005189895629883
2016-12-14,2.304431200027466
2016-12-15,2.3709428310394287
2016-12-16,2.3461639881134033
2016-12-19,2.395721435546875
2016-12-20,2.4557125568389893
2016-12-21,2.3970260620117188
2016-12-22,2.3800718784332275
2016-12-23,2.3944172859191895
2016-12-27,2.421804428100586
2016-12-28,2.410067319869995
2016-12-29,2.430933713912964
2016-12-30,2.4374542236328125
2017-01-02,2.4870119094848633
2017-01-03,2.450495481491089
2017-01-04,2.49092435836792
2017-01-05,2.4870119094848633
2017-01-06,2.49092435836792
2017-01-09,2.445279359817505
2017-01-10,2.4661459922790527
2017-01-11,2.4322376251220703
2017-01-12,2.440062999725342
2017-01-13,2.4778831005096436
2017-01-16,2.436150312423706
2017-01-17,2.4322376251220703
2017-01-18,2.433541774749756
2017-01-19,2.4570164680480957
2017-01-20,2.488316059112549
2017-01-23,2.4178919792175293
2017-01-24,2.450495481491089
2017-01-25,2.4348461627960205
2017-01-26,2.412675619125366
2017-01-27,2.3565969467163086
2017-01-30,2.275739908218384
2017-01-31,2.295302152633667
2017-02-01,2.312256097793579
2017-02-02,2.381375789642334
2017-02-03,2.4087629318237305
2017-02-06,2.3800718784332275
2017-02-07,2.393113374710083
2017-02-08,2.4491918087005615
2017-02-09,2.46744966506958
2017-02-10,2.4661459922790527
2017-02-13,2.473970413208008
2017-02-14,2.4844038486480713
2017-02-15,2.4635372161865234
2017-02-16,2.49092435836792
2017-02-17,2.4844038486480713
2017-02-20,2.4726667404174805
2017-02-21,2.4870119094848633
2017-02-22,2.4713621139526367
2017-02-23,2.445279359817505
2017-02-24,2.445279359817505
2017-02-27,2.4726667404174805
2017-02-28,2.4478871822357178
2017-03-01,2.4844038486480713
2017-03-02,2.496140718460083
2017-03-03,2.4974453449249268
2017-03-06,2.5157034397125244
2017-03-07,2.531352996826172
2017-03-08,2.514399290084839
2017-03-09,2.536569833755493
2017-03-10,2.5274407863616943
2017-03-13,2.548307180404663
2017-03-14,2.550915002822876
2017-03-15,2.5378735065460205
2017-03-16,2.586127519607544
2017-03-17,2.576998233795166
2017-03-20,2.597865104675293
2017-03-21,2.6043851375579834
2017-03-22,2.5730860233306885
2017-03-23,2.576998233795166
2017-03-24,2.66959285736084
2017-03-27,2.68393874168396
2017-03-28,2.698284387588501
2017-03-29,2.648726463317871
2017-03-30,2.6474220752716064
2017-03-31,2.681330442428589
2017-04-03,2.674809694290161
2017-04-04,2.63438081741333
2017-04-05,2.643509864807129
2017-04-06,2.6956756114959717
2017-04-07,2.6995882987976074
2017-04-10,2.6787216663360596
2017-04-11,2.734800100326538
2017-04-12,2.772620677947998
2017-04-13,2.7543625831604004
2017-04-18,2.712629795074463
2017-04-19,2.700892210006714
2017-04-20,2.7021965980529785
2017-04-21,2.6617679595947266
2017-04-24,2.7830538749694824
2017-04-25,2.7452330589294434
2017-04-26,2.6930675506591797
2017-04-27,2.7191507816314697
2017-04-28,2.706108808517456
2017-05-02,2.749145984649658
2017-05-03,2.7543625831604004
2017-05-04,2.7778375148773193
2017-05-05,2.8352198600769043
2017-05-08,2.8404364585876465
2017-05-09,2.887385845184326
2017-05-10,2.896514654159546
2017-05-11,2.853477954864502
2017-05-12,2.9147727489471436
2017-05-15,3.008671522140503
2017-05-16,3.020408868789673
2017-05-17,2.96824312210083
2017-05-18,3.0073671340942383
2017-05-19,3.058229446411133
2017-05-22,3.098853826522827
2017-05-23,3.1559133529663086
2017-05-24,3.096137285232544
2017-05-25,3.138251781463623
2017-05-26,3.090702772140503
2017-05-29,2.9765844345092773
2017-05-30,3.134176254272461
2017-05-31,3.2007453441619873
2017-06-01,3.2496531009674072
2017-06-02,3.2876925468444824
2017-06-05,3.230633020401001
2017-06-06,3.245577812194824
2017-06-07,3.2224817276000977
2017-06-08,3.251011610031128
2017-06-09,3.187160015106201
2017-06-12,3.094778537750244
2017-06-13,3.113797903060913
2017-06-14,3.1993870735168457
2017-06-15,3.104288339614868
2017-06-16,3.1205906867980957
2017-06-19,3.157271146774292
2017-06-20,3.162705898284912
2017-06-21,3.1205906867980957
2017-06-22,3.1450448036193848
2017-06-23,3.157271146774292
2017-06-26,3.138251781463623
2017-06-27,3.0390777587890625
2017-06-28,3.028209686279297
2017-06-29,2.9670746326446533
2017-06-30,3.003755807876587
2017-07-03,3.036360740661621
2017-07-04,3.0200581550598145
2017-07-05,2.977942943572998
2017-07-06,2.9860942363739014
2017-07-07,2.9956037998199463
2017-07-10,3.096137285232544
2017-07-11,3.075758934020996
2017-07-12,3.104288339614868
2017-07-13,3.0839099884033203
2017-07-14,3.124666213989258
2017-07-17,3.1083641052246094
2017-07-18,3.104288339614868
2017-07-19,3.128741979598999
