Date,KIRLOSBROS.NS
2015-08-21,187.69056701660156
2015-08-24,179.12554931640625
2015-08-25,183.61643981933594
2015-08-26,186.7183380126953
2015-08-27,188.3387451171875
2015-08-28,189.35733032226562
2015-08-31,188.84803771972656
2015-09-01,185.05166625976562
2015-09-02,193.80189514160156
2015-09-03,191.20921325683594
2015-09-04,192.69073486328125
2015-09-07,194.45005798339844
2015-09-08,194.58892822265625
2015-09-09,199.4501953125
2015-09-10,194.45005798339844
2015-09-11,188.24620056152344
2015-09-14,190.14439392089844
2015-09-15,188.94064331054688
2015-09-16,190.51475524902344
2015-09-18,190.32957458496094
2015-09-21,190.9777374267578
2015-09-22,187.27392578125
2015-09-23,189.4962158203125
2015-09-24,188.61656188964844
2015-09-28,186.9498291015625
2015-09-29,189.31101989746094
2015-09-30,188.06101989746094
2015-10-01,184.9590301513672
2015-10-05,188.94064331054688
2015-10-06,189.58880615234375
2015-10-07,196.07044982910156
2015-10-08,196.85755920410156
2015-10-09,200.70022583007812
2015-10-12,201.95028686523438
2015-10-13,195.4686279296875
2015-10-14,190.0518035888672
2015-10-15,190.74623107910156
2015-10-16,185.46832275390625
2015-10-19,183.708984375
2015-10-20,180.93115234375
2015-10-21,180.46815490722656
2015-10-23,171.99571228027344
2015-10-26,165.6066436767578
2015-10-27,163.66212463378906
2015-10-28,167.69004821777344
2015-10-29,169.12527465820312
2015-10-30,163.38436889648438
2015-11-02,157.92124938964844
2015-11-03,161.0694580078125
2015-11-04,159.49534606933594
2015-11-05,156.9952850341797
2015-11-06,156.9952850341797
2015-11-09,155.60633850097656
2015-11-10,157.1804656982422
2015-11-13,154.35630798339844
2015-11-16,156.39337158203125
2015-11-17,156.5323028564453
2015-11-18,155.42117309570312
2015-11-19,157.1804656982422
2015-11-20,156.71746826171875
2015-11-23,154.07850646972656
2015-11-24,156.62490844726562
2015-11-26,156.8563995361328
2015-11-27,155.0044708251953
2015-11-30,156.34715270996094
2015-12-01,163.01397705078125
2015-12-02,162.04171752929688
2015-12-03,161.9954071044922
2015-12-04,162.412109375
2015-12-07,159.21754455566406
2015-12-08,159.63421630859375
2015-12-09,155.1433563232422
2015-12-10,154.77296447753906
2015-12-11,151.62472534179688
2015-12-14,149.49508666992188
2015-12-15,152.4580841064453
2015-12-16,152.96737670898438
2015-12-17,155.51373291015625
2015-12-18,154.40261840820312
2015-12-21,157.1804656982422
2015-12-22,155.6989288330078
2015-12-23,158.337890625
2015-12-24,160.32870483398438
2015-12-28,158.89349365234375
2015-12-29,155.83782958984375
2015-12-30,158.337890625
2015-12-31,163.38436889648438
2016-01-01,161.94911193847656
2016-01-04,155.56004333496094
2016-01-05,152.82850646972656
2016-01-06,150.74508666992188
2016-01-07,144.40234375
2016-01-08,137.36509704589844
2016-01-11,135.7446746826172
2016-01-12,129.91114807128906
2016-01-13,130.1426544189453
2016-01-14,129.21669006347656
2016-01-15,127.50370788574219
2016-01-18,118.5219497680664
2016-01-19,116.39225006103516
2016-01-20,115.60519409179688
2016-01-21,119.86457061767578
2016-01-22,131.25379943847656
2016-01-25,131.20748901367188
2016-01-27,122.27204895019531
2016-01-28,121.02201080322266
2016-01-29,118.66083526611328
2016-02-01,116.16075897216797
2016-02-02,114.07736206054688
2016-02-03,112.36434936523438
2016-02-04,113.15142059326172
2016-02-05,117.04042053222656
2016-02-08,116.80892944335938
2016-02-09,114.03108215332031
2016-02-10,111.43840789794922
2016-02-11,108.7994384765625
2016-02-12,107.45681762695312
2016-02-15,114.67922973632812
2016-02-16,110.28096008300781
2016-02-17,111.11431884765625
2016-02-18,110.5587387084961
2016-02-19,109.58648681640625
2016-02-22,112.919921875
2016-02-23,111.80878448486328
2016-02-24,111.06803131103516
2016-02-25,108.38275909423828
2016-02-26,109.3087158203125
2016-02-29,109.35499572753906
2016-03-01,109.72539520263672
2016-03-02,110.1420669555664
2016-03-03,111.29950714111328
2016-03-04,109.72539520263672
2016-03-08,110.18836975097656
2016-03-09,110.1420669555664
2016-03-10,109.49390411376953
2016-03-11,108.38275909423828
2016-03-14,108.7994384765625
2016-03-15,109.26240539550781
2016-03-16,108.6605453491211
2016-03-17,109.21611785888672
2016-03-18,108.19757080078125
2016-03-21,109.82494354248047
2016-03-22,110.56889343261719
2016-03-23,110.05742645263672
2016-03-28,108.0580825805664
2016-03-29,107.1746597290039
2016-03-30,108.10457611083984
2016-03-31,107.31414031982422
2016-04-01,108.3835678100586
2016-04-04,109.7319564819336
2016-04-05,108.3835678100586
2016-04-06,115.26504516601562
2016-04-07,121.77458190917969
2016-04-08,126.7032241821289
2016-04-11,123.82041931152344
2016-04-12,125.02933502197266
2016-04-13,124.65736389160156
2016-04-18,124.65736389160156
2016-04-20,124.88986206054688
2016-04-21,123.54145812988281
2016-04-22,125.54080200195312
2016-04-25,123.8669204711914
2016-04-26,124.93632507324219
2016-04-27,124.2389144897461
2016-04-28,122.14654541015625
2016-04-29,119.26375579833984
2016-05-02,121.12362670898438
2016-05-03,120.1937026977539
2016-05-04,118.42681884765625
2016-05-05,121.5420913696289
2016-05-06,118.19434356689453
2016-05-09,120.42617797851562
2016-05-10,123.6809310913086
2016-05-11,117.45039367675781
2016-05-12,125.0758285522461
2016-05-13,123.2624740600586
2016-05-16,125.49430084228516
2016-05-17,123.21597290039062
2016-05-18,124.05290222167969
2016-05-19,120.79814147949219
2016-05-20,118.51980590820312
2016-05-23,117.8223648071289
2016-05-24,118.47331237792969
2016-05-25,118.93828582763672
2016-05-26,119.0312728881836
2016-05-27,118.47331237792969
2016-05-30,116.2879867553711
2016-05-31,114.38162231445312
2016-06-01,115.54403686523438
2016-06-02,114.6141128540039
2016-06-03,114.52111053466797
2016-06-06,113.26569366455078
2016-06-07,112.7542495727539
2016-06-08,111.03385925292969
2016-06-09,111.35932922363281
2016-06-10,111.3128433227539
2016-06-13,112.61474609375
2016-06-14,117.12491607666016
2016-06-15,120.9841537475586
2016-06-16,123.21597290039062
2016-06-17,120.0542221069336
2016-06-20,121.63508605957031
2016-06-21,120.79814147949219
2016-06-22,119.07777404785156
2016-06-23,116.89242553710938
2016-06-24,117.8688735961914
2016-06-27,118.28733825683594
2016-06-28,116.05550384521484
2016-06-29,117.58987426757812
