Date,PHNX.L
2015-08-24,642.2041625976562
2015-08-25,658.9044799804688
2015-08-26,654.7294921875
2015-08-27,630.2534790039062
2015-08-28,640.5046997070312
2015-09-01,628.355224609375
2015-09-02,632.5317993164062
2015-09-03,636.7081298828125
2015-09-04,616.5853881835938
2015-09-07,621.1415405273438
2015-09-08,629.1146850585938
2015-09-09,636.7081298828125
2015-09-10,651.8948364257812
2015-09-11,654.5526733398438
2015-09-14,650.376220703125
2015-09-15,653.033935546875
2015-09-16,653.7932739257812
2015-09-17,656.83056640625
2015-09-18,649.6168212890625
2015-09-21,644.6810302734375
2015-09-22,627.9755249023438
2015-09-23,634.809814453125
2015-09-24,618.8635864257812
2015-09-25,631.7722778320312
2015-09-28,624.1788940429688
2015-09-29,614.6871337890625
2015-09-30,620.7618408203125
2015-10-01,621.1415405273438
2015-10-02,621.1415405273438
2015-10-05,631.3926391601562
2015-10-06,627.2164306640625
2015-10-07,627.595947265625
2015-10-08,626.0772705078125
2015-10-09,627.9755249023438
2015-10-12,625.6975708007812
2015-10-13,620.7618408203125
2015-10-14,612.4089965820312
2015-10-15,614.6871337890625
2015-10-16,621.90087890625
2015-10-19,622.280517578125
2015-10-20,623.7991943359375
2015-10-21,626.8366088867188
2015-10-22,634.05029296875
2015-10-23,645.4404296875
2015-10-26,646.5794067382812
2015-10-27,645.4404296875
2015-10-28,651.8948364257812
2015-10-29,651.5153198242188
2015-10-30,649.6168212890625
2015-11-02,654.1730346679688
2015-11-03,653.033935546875
2015-11-04,654.1730346679688
2015-11-05,658.728759765625
2015-11-06,660.2476196289062
2015-11-09,659.4883422851562
2015-11-10,660.2476196289062
2015-11-11,664.8036499023438
2015-11-12,654.932373046875
2015-11-13,651.1355590820312
2015-11-16,653.033935546875
2015-11-17,663.6646118164062
2015-11-18,668.2206420898438
2015-11-19,673.5360107421875
2015-11-20,679.2312622070312
2015-11-23,673.9158325195312
2015-11-24,674.6751708984375
2015-11-25,681.5090942382812
2015-11-26,687.5839233398438
2015-11-27,691.0009765625
2015-11-30,694.7976684570312
2015-12-01,694.41796875
2015-12-02,691.380615234375
2015-12-03,683.02783203125
2015-12-04,684.9262084960938
2015-12-07,693.6588134765625
2015-12-08,691.0009765625
2015-12-09,694.0385131835938
2015-12-10,692.8992919921875
2015-12-11,690.6212768554688
2015-12-14,679.6110229492188
2015-12-15,681.8887329101562
2015-12-16,683.02783203125
2015-12-17,691.0009765625
2015-12-18,689.1025390625
2015-12-21,687.5839233398438
2015-12-22,684.9262084960938
2015-12-23,694.41796875
2015-12-24,695.5571899414062
2015-12-29,698.21484375
2015-12-30,700.1130981445312
2015-12-31,696.3165893554688
2016-01-04,687.9636840820312
2016-01-05,686.8245849609375
2016-01-06,678.4718627929688
2016-01-07,670.8784790039062
2016-01-08,667.841064453125
2016-01-11,664.0442504882812
2016-01-12,667.0818481445312
2016-01-13,667.46142578125
2016-01-14,662.1459350585938
2016-01-15,651.8948364257812
2016-01-18,641.643798828125
2016-01-19,658.728759765625
2016-01-20,632.1519775390625
2016-01-21,640.1249389648438
2016-01-22,648.8574829101562
2016-01-25,645.4404296875
2016-01-26,645.0608520507812
2016-01-27,644.3013916015625
2016-01-28,643.9216918945312
2016-01-29,656.450927734375
2016-02-01,649.6168212890625
2016-02-02,639.3656005859375
2016-02-03,624.9382934570312
2016-02-04,629.4942626953125
2016-02-05,617.7243041992188
2016-02-08,607.0936279296875
2016-02-09,596.462890625
2016-02-10,609.3717651367188
2016-02-11,595.7035522460938
2016-02-12,602.5377197265625
2016-02-15,616.965087890625
2016-02-16,613.5480346679688
2016-02-17,627.595947265625
2016-02-18,631.0130004882812
