Date,BAR.BR
2015-08-24,6.046370506286621
2015-08-25,6.100576877593994
2015-08-26,6.153655052185059
2015-08-27,6.267716884613037
2015-08-28,6.250776767730713
2015-08-31,6.244000434875488
2015-09-01,6.234966278076172
2015-09-02,6.224802017211914
2015-09-03,6.294820308685303
2015-09-04,6.334346771240234
2015-09-07,6.362578868865967
2015-09-08,6.397589206695557
2015-09-09,6.380649089813232
2015-09-10,6.354674339294434
2015-09-11,6.350157260894775
2015-09-14,6.342252254486084
2015-09-15,6.351285934448242
2015-09-16,6.382905960083008
2015-09-17,6.396458625793457
2015-09-18,6.451796054840088
2015-09-21,6.4495368003845215
2015-09-22,6.439373016357422
2015-09-23,6.44163179397583
2015-09-24,6.393070220947266
2015-09-25,6.431467533111572
2015-09-28,6.4156575202941895
2015-09-29,6.361449718475342
2015-09-30,6.520684242248535
2015-10-01,6.424691677093506
2015-10-02,6.490192413330078
2015-10-05,6.634745121002197
2015-10-06,6.553433895111084
2015-10-07,6.58053731918335
2015-10-08,6.582796096801758
2015-10-09,6.594089508056641
2015-10-12,6.620063304901123
2015-10-13,6.643779277801514
2015-10-14,6.5624680519104
2015-10-15,6.617804050445557
2015-10-16,6.565856456756592
2015-10-19,6.630227565765381
2015-10-20,6.6324872970581055
2015-10-21,6.44840669631958
2015-10-22,6.533106803894043
2015-10-23,6.537624359130859
2015-10-26,6.493579864501953
2015-10-27,6.662977695465088
2015-10-28,6.729608058929443
2015-10-29,6.7183146476745605
2015-10-30,6.748805999755859
2015-11-02,6.818824291229248
2015-11-03,6.865126132965088
2015-11-04,6.910297870635986
2015-11-05,6.884324550628662
2015-11-06,6.858349323272705
2015-11-09,6.860608100891113
2015-11-10,6.870771884918213
2015-11-11,6.808659553527832
2015-11-12,6.764617443084717
2015-11-13,6.770262718200684
2015-11-16,6.727349758148193
2015-11-17,6.747677803039551
2015-11-18,6.778167247772217
2015-11-19,6.799625873565674
2015-11-20,6.798496723175049
2015-11-23,6.748805999755859
2015-11-24,6.725090503692627
2015-11-25,6.727349758148193
2015-11-26,6.739771842956543
2015-11-27,6.775909900665283
2015-11-30,6.6697540283203125
2015-12-01,6.826729774475098
2015-12-02,6.833505630493164
2015-12-03,6.791720390319824
2015-12-04,6.769134521484375
2015-12-07,6.725090503692627
2015-12-08,6.697988033294678
2015-12-09,6.721703052520752
2015-12-10,6.57037353515625
2015-12-11,6.572633266448975
2015-12-14,6.585055351257324
2015-12-15,6.597476959228516
2015-12-16,6.6324872970581055
2015-12-17,6.6708831787109375
2015-12-18,6.823340892791748
2015-12-21,6.775909900665283
2015-12-22,6.813178539276123
2015-12-23,6.927238464355469
2015-12-24,6.9227213859558105
2015-12-28,6.947566032409668
2015-12-29,6.973540782928467
2015-12-30,6.973540782928467
2016-01-04,6.893359184265137
2016-01-05,6.793979167938232
2016-01-06,6.781557083129883
2016-01-07,6.711539268493652
2016-01-08,6.781557083129883
2016-01-11,6.818824291229248
2016-01-12,6.838022232055664
2016-01-13,6.807530879974365
2016-01-14,6.6776580810546875
2016-01-15,6.662977695465088
2016-01-18,6.489063739776611
2016-01-19,6.598607063293457
2016-01-20,6.420173645019531
2016-01-21,6.386295318603516
2016-01-22,6.493579864501953
2016-01-25,6.469865322113037
2016-01-26,6.597476959228516
2016-01-27,6.627968788146973
2016-01-28,6.5127787590026855
2016-01-29,6.546658515930176
2016-02-01,6.606511116027832
2016-02-02,6.411139965057373
2016-02-03,6.339993000030518
2016-02-04,6.337733745574951
2016-02-05,6.341122627258301
2016-02-08,6.236094951629639
2016-02-09,6.197699069976807
2016-02-10,6.289173603057861
2016-02-11,6.2123799324035645
2016-02-12,6.140102386474609
2016-02-15,6.4156575202941895
2016-02-16,6.347898483276367
2016-02-17,6.414527893066406
2016-02-18,6.556821346282959
2016-02-19,6.606511116027832
2016-02-22,6.693469524383545
2016-02-23,6.710408687591553
2016-02-24,6.777039051055908
2016-02-25,6.831246376037598
2016-02-26,6.870771884918213
2016-02-29,6.987092971801758
2016-03-01,7.024360656738281
2016-03-02,7.018712520599365
2016-03-03,7.015326023101807
2016-03-04,7.05711030960083
2016-03-07,7.075179100036621
2016-03-08,6.996126651763916
2016-03-09,6.971282482147217
2016-03-10,7.013066291809082
2016-03-11,7.085343837738037
2016-03-14,7.168912410736084
2016-03-15,7.102283477783203
2016-03-16,7.105671405792236
2016-03-17,7.107929706573486
2016-03-18,7.111317157745361
2016-03-21,7.103412628173828
2016-03-22,7.130517482757568
2016-03-23,7.115834712982178
2016-03-24,7.070662021636963
2016-03-29,7.0864715576171875
2016-03-30,7.136160850524902
2016-03-31,7.150844573974609
2016-04-01,7.1147050857543945
2016-04-04,7.09889554977417
2016-04-05,6.959988117218018
2016-04-06,6.959988117218018
2016-04-07,7.0424299240112305
2016-04-08,7.068403720855713
2016-04-11,7.044687747955322
2016-04-12,7.060498237609863
2016-04-13,7.100024223327637
2016-04-14,7.068403720855713
2016-04-15,7.0424299240112305
2016-04-18,6.950953960418701
2016-04-19,6.98483419418335
2016-04-20,7.0943779945373535
2016-04-21,7.079695701599121
2016-04-22,7.032264709472656
2016-04-25,6.944177627563477
2016-04-26,6.945307731628418
2016-04-27,6.957728862762451
2016-04-28,6.945307731628418
2016-04-29,6.8877129554748535
2016-05-02,6.819952964782715
2016-05-03,6.781557083129883
2016-05-04,6.8323750495910645
2016-05-05,6.85044527053833
2016-05-06,6.848186016082764
2016-05-09,6.863997459411621
2016-05-10,6.9116716384887695
2016-05-11,6.722135543823242
2016-05-12,6.9535322189331055
