Date,HCA
2015-08-03,86.6202163696289
2015-08-04,87.70204162597656
2015-08-05,86.0420150756836
2015-08-06,85.2213134765625
2015-08-07,85.29591369628906
2015-08-10,85.26795196533203
2015-08-11,84.36331939697266
2015-08-12,84.75502014160156
2015-08-13,84.72703552246094
2015-08-14,85.23994445800781
2015-08-17,85.16534423828125
2015-08-18,84.3819808959961
2015-08-19,83.76643371582031
2015-08-20,81.18315124511719
2015-08-21,80.43707275390625
2015-08-24,78.6277847290039
2015-08-25,77.50867462158203
2015-08-26,81.08988952636719
2015-08-27,82.85248565673828
2015-08-28,82.8338394165039
2015-08-31,80.78211975097656
2015-09-01,78.63712310791016
2015-09-02,79.70963287353516
2015-09-03,80.57693481445312
2015-09-04,79.65370178222656
2015-09-08,81.5281753540039
2015-09-09,80.1759262084961
2015-09-10,79.5324478149414
2015-09-11,78.98220825195312
2015-09-14,79.25265502929688
2015-09-15,80.05467987060547
2015-09-16,79.45782470703125
2015-09-17,80.2225570678711
2015-09-18,76.92115783691406
2015-09-21,76.69731140136719
2015-09-22,77.12629699707031
2015-09-23,78.4879150390625
2015-09-24,76.3802261352539
2015-09-25,74.09534454345703
2015-09-28,69.0406494140625
2015-09-29,69.08727264404297
2015-09-30,72.14620208740234
2015-10-01,71.8944091796875
2015-10-02,72.64048767089844
2015-10-05,73.53580474853516
2015-10-06,71.99700164794922
2015-10-07,72.32340240478516
2015-10-08,71.49339294433594
2015-10-09,72.65914916992188
2015-10-12,72.54721069335938
2015-10-13,70.74730682373047
2015-10-14,70.8965072631836
2015-10-15,67.34329986572266
2015-10-16,68.0334243774414
2015-10-19,68.55569458007812
2015-10-20,67.53913879394531
2015-10-21,66.40137481689453
2015-10-22,61.62644577026367
2015-10-23,64.33097839355469
2015-10-26,64.42424011230469
2015-10-27,64.16312408447266
2015-10-28,64.33097839355469
2015-10-29,63.13725662231445
2015-10-30,64.15377807617188
2015-11-02,65.04911804199219
2015-11-03,64.16312408447266
