Date,AEE
2015-08-03,30.809234619140625
2015-08-04,30.37958335876465
2015-08-05,30.63886070251465
2015-08-06,30.883319854736328
2015-08-07,31.201845169067383
2015-08-10,30.979612350463867
2015-08-11,31.187036514282227
2015-08-12,31.594472885131836
2015-08-13,31.572250366210938
2015-08-14,31.661142349243164
2015-08-17,32.15005111694336
2015-08-18,32.00190353393555
2015-08-19,32.261173248291016
2015-08-20,32.083396911621094
2015-08-21,31.490751266479492
2015-08-24,30.135128021240234
2015-08-25,29.461013793945312
2015-08-26,30.038835525512695
2015-08-27,30.38698959350586
2015-08-28,30.42403793334961
2015-08-31,29.846214294433594
2015-09-01,28.97950553894043
2015-09-02,28.949865341186523
2015-09-03,29.0757999420166
2015-09-04,28.564659118652344
2015-09-08,29.186113357543945
2015-09-09,28.796783447265625
2015-09-10,28.774314880371094
2015-09-11,29.066326141357422
2015-09-14,29.186113357543945
2015-09-15,29.350852966308594
2015-09-16,29.717723846435547
2015-09-17,30.354167938232422
2015-09-18,30.226882934570312
2015-09-21,30.56381607055664
2015-09-22,30.3242130279541
2015-09-23,30.548839569091797
2015-09-24,30.73602294921875
2015-09-25,30.97562026977539
2015-09-28,31.102916717529297
2015-09-29,31.21522331237793
2015-09-30,31.649497985839844
2015-10-01,31.282604217529297
2015-10-02,31.68694305419922
2015-10-05,31.911558151245117
2015-10-06,31.679447174072266
2015-10-07,31.604576110839844
2015-10-08,32.28593063354492
2015-10-09,32.28593063354492
2015-10-12,32.73518753051758
2015-10-13,32.682769775390625
2015-10-14,32.48808670043945
2015-10-15,32.89990234375
2015-10-16,33.01970291137695
2015-10-19,33.16196060180664
2015-10-20,33.18442916870117
2015-10-21,33.05713653564453
2015-10-22,33.31919860839844
2015-10-23,32.937347412109375
2015-10-26,33.25181579589844
2015-10-27,33.31171417236328
2015-10-28,32.967288970947266
2015-10-29,32.50306701660156
2015-10-30,32.705230712890625
2015-11-02,32.884918212890625
2015-11-03,32.84749221801758
2015-11-04,33.102054595947266
2015-11-05,32.95980453491211
2015-11-06,31.859153747558594
2015-11-09,32.300899505615234
2015-11-10,32.80256652832031
2015-11-11,33.10954666137695
2015-11-12,32.57044982910156
2015-11-13,32.29342269897461
2015-11-16,32.89240646362305
2015-11-17,32.09126281738281
2015-11-18,32.360809326171875
2015-11-19,32.720211029052734
2015-11-20,33.02718734741211
2015-11-23,32.450660705566406
2015-11-24,32.360809326171875
2015-11-25,32.315879821777344
2015-11-27,32.428199768066406
2015-11-30,32.7651252746582
2015-12-01,32.81754684448242
2015-12-02,32.06880569458008
2015-12-03,31.634519577026367
2015-12-04,32.450660705566406
2015-12-07,32.49223709106445
2015-12-08,32.31832504272461
2015-12-09,32.19733810424805
2015-12-10,31.539480209350586
2015-12-11,31.54704475402832
2015-12-14,31.607524871826172
2015-12-15,31.713376998901367
2015-12-16,32.51493453979492
2015-12-17,33.29377746582031
2015-12-18,32.666160583496094
2015-12-21,32.409080505371094
2015-12-22,32.666160583496094
2015-12-23,33.15766143798828
2015-12-24,33.02911376953125
2015-12-28,33.301334381103516
2015-12-29,33.361820220947266
2015-12-30,33.271095275878906
2015-12-31,32.688846588134766
2016-01-04,32.537601470947266
2016-01-05,32.923255920410156
2016-01-06,33.13497543334961
2016-01-07,33.15766143798828
2016-01-08,32.90057373046875
2016-01-11,32.90813064575195
2016-01-12,32.80227279663086
2016-01-13,32.620784759521484
2016-01-14,33.05180358886719
2016-01-15,32.90057373046875
2016-01-19,32.85520935058594
2016-01-20,32.00830078125
2016-01-21,31.85706901550293
2016-01-22,32.47711944580078
2016-01-25,32.265384674072266
2016-01-26,32.33345031738281
2016-01-27,32.666160583496094
2016-01-28,33.15766143798828
2016-01-29,33.96675109863281
2016-02-01,34.52631759643555
2016-02-02,35.07075119018555
2016-02-03,35.78911209106445
2016-02-04,35.18416976928711
2016-02-05,35.153926849365234
2016-02-08,34.91196060180664
2016-02-09,34.84389877319336
2016-02-10,34.93464660644531
2016-02-11,34.30702590942383
2016-02-12,34.216278076171875
2016-02-16,34.465824127197266
2016-02-17,34.261661529541016
2016-02-18,34.99513244628906
2016-02-19,34.48094940185547
2016-02-22,34.95732879638672
2016-02-23,35.17661666870117
2016-02-24,35.90252685546875
2016-02-25,36.39402770996094
2016-02-26,35.153926849365234
2016-02-29,35.50175857543945
2016-03-01,35.486637115478516
2016-03-02,35.50932312011719
2016-03-03,35.53956985473633
2016-03-04,35.80423355102539
2016-03-07,35.960655212402344
2016-03-08,36.51001739501953
2016-03-09,36.83047103881836
2016-03-10,36.57868576049805
2016-03-11,36.79232406616211
2016-03-14,36.868621826171875
2016-03-15,36.76179885864258
2016-03-16,36.95255661010742
2016-03-17,37.311180114746094
2016-03-18,37.37221145629883
2016-03-21,37.2196044921875
2016-03-22,37.28828048706055
2016-03-23,37.37983703613281
2016-03-24,37.57822036743164
2016-03-28,37.540077209472656
2016-03-29,38.066551208496094
2016-03-30,37.95973205566406
2016-03-31,38.226776123046875
2016-04-01,38.562496185302734
2016-04-04,38.783782958984375
2016-04-05,37.784236907958984
2016-04-06,37.8071174621582
2016-04-07,37.509552001953125
2016-04-08,37.2196044921875
2016-04-11,37.1432991027832
2016-04-12,37.166194915771484
2016-04-13,36.85336685180664
2016-04-14,36.891502380371094
2016-04-15,37.18145751953125
2016-04-18,37.448509216308594
2016-04-19,37.479034423828125
2016-04-20,36.31162643432617
2016-04-21,35.457054138183594
2016-04-22,35.51810836791992
2016-04-25,35.83856201171875
2016-04-26,35.71648025512695
2016-04-27,36.05982971191406
