Date,CRDA.L
2015-08-24,3024.07421875
2015-08-25,3175.35791015625
2015-08-26,3082.195068359375
2015-08-27,3125.297607421875
2015-08-28,3171.354736328125
2015-09-01,3125.297607421875
2015-09-02,3126.356689453125
2015-09-03,3131.8623046875
2015-09-04,3069.39453125
2015-09-07,3088.029541015625
2015-09-08,3118.7333984375
2015-09-09,3115.451171875
2015-09-10,3105.498779296875
2015-09-11,3091.311279296875
2015-09-14,3057.32470703125
2015-09-15,3047.478271484375
2015-09-16,3049.59521484375
2015-09-17,3014.550048828125
2015-09-18,2955.36376953125
2015-09-21,3006.82080078125
2015-09-22,2925.71875
2015-09-23,2949.859130859375
2015-09-24,2949.859130859375
2015-09-25,3014.550048828125
2015-09-28,2947.63525390625
2015-09-29,2912.5888671875
2015-09-30,2970.716552734375
2015-10-01,3002.47998046875
2015-10-02,2979.398681640625
2015-10-05,3033.184326171875
2015-10-06,3045.254638671875
2015-10-07,2983.845703125
2015-10-08,3043.03125
2015-10-09,3085.80615234375
2015-10-12,3029.902587890625
2015-10-13,3005.7626953125
2015-10-14,2998.032958984375
2015-10-15,3043.03125
2015-10-16,3038.690185546875
2015-10-19,3055.100830078125
2015-10-20,3070.453369140625
2015-10-21,3108.886474609375
2015-10-22,3142.87353515625
2015-10-23,3193.271728515625
2015-10-26,3177.919677734375
2015-10-27,3161.508056640625
2015-10-28,3183.425048828125
2015-10-29,3204.282470703125
2015-10-30,3177.919677734375
2015-11-02,3166.90771484375
2015-11-03,3169.1318359375
2015-11-04,3147.215087890625
2015-11-05,3129.63916015625
2015-11-06,3134.0859375
2015-11-09,3071.512451171875
2015-11-10,3067.17138671875
2015-11-11,3119.792724609375
2015-11-12,3054.042236328125
2015-11-13,3034.242431640625
2015-11-16,3014.550048828125
2015-11-17,3068.22998046875
2015-11-18,3058.383544921875
2015-11-19,3108.886474609375
2015-11-20,3131.8623046875
2015-11-23,3109.945556640625
2015-11-24,3026.619873046875
2015-11-25,3052.8779296875
2015-11-26,3055.100830078125
2015-11-27,3037.525634765625
2015-11-30,3144.9912109375
2015-12-01,3152.719970703125
2015-12-02,3168.072265625
2015-12-03,3136.203125
2015-12-04,3104.4404296875
2015-12-07,3188.93017578125
2015-12-08,3261.245361328125
2015-12-09,3250.339111328125
