Date,QUINENCO.SN
2015-08-24,700.4337158203125
2015-08-25,690.0568237304688
2015-08-26,695.2453002929688
2015-08-27,726.3756713867188
2015-08-28,742.8228759765625
2015-08-31,742.8228759765625
2015-09-01,741.9408569335938
2015-09-02,741.9408569335938
2015-09-03,726.3756713867188
2015-09-04,705.6221313476562
2015-09-07,710.810302734375
2015-09-08,721.1871948242188
2015-09-09,731.5640258789062
2015-09-10,726.3756713867188
2015-09-11,726.3756713867188
2015-09-14,720.4608764648438
2015-09-15,705.8814086914062
2015-09-16,715.9987182617188
2015-09-17,708.2161254882812
2015-09-21,710.810302734375
2015-09-22,705.673828125
2015-09-23,705.6221313476562
2015-09-24,708.2161254882812
2015-09-25,705.6221313476562
2015-09-28,705.6221313476562
2015-09-29,707.3342895507812
2015-09-30,726.3756713867188
2015-10-01,726.3756713867188
2015-10-02,726.3756713867188
2015-10-05,726.3756713867188
2015-10-06,715.9987182617188
2015-10-07,707.2822875976562
2015-10-08,739.3466186523438
2015-10-09,733.12060546875
2015-10-13,726.3756713867188
2015-10-14,707.2822875976562
2015-10-15,726.3756713867188
2015-10-16,731.5640258789062
2015-10-19,726.3756713867188
2015-10-20,726.3756713867188
2015-10-21,726.3756713867188
2015-10-22,726.3756713867188
2015-10-23,726.3756713867188
2015-10-26,731.5640258789062
2015-10-27,727.257568359375
2015-10-28,726.6868896484375
2015-10-29,726.6868896484375
2015-10-30,710.810302734375
2015-11-02,708.1643676757812
2015-11-03,685.5948486328125
2015-11-04,700.3817138671875
2015-11-05,684.7646484375
2015-11-06,680.14697265625
2015-11-09,684.868408203125
2015-11-10,684.868408203125
2015-11-11,684.868408203125
2015-11-12,685.9061889648438
2015-11-13,684.868408203125
2015-11-16,674.4916381835938
2015-11-17,674.439697265625
2015-11-18,669.8221435546875
2015-11-19,673.9727172851562
2015-11-20,669.3031616210938
2015-11-23,674.4916381835938
2015-11-24,667.5910034179688
2015-11-25,661.5206298828125
2015-11-26,674.4916381835938
2015-11-27,687.462646484375
2015-11-30,669.4588012695312
2015-12-01,669.4588012695312
2015-12-02,664.1149291992188
2015-12-03,674.439697265625
2015-12-04,674.439697265625
2015-12-07,674.439697265625
2015-12-09,673.9727172851562
2015-12-10,679.6799926757812
2015-12-11,674.4916381835938
2015-12-14,674.4916381835938
2015-12-15,674.4916381835938
2015-12-16,664.996826171875
2015-12-17,672.3124389648438
2015-12-18,664.1149291992188
2015-12-21,645.9553833007812
2015-12-22,638.0171508789062
2015-12-23,639.98876953125
2015-12-24,645.4365844726562
2015-12-28,639.2105102539062
2015-12-29,648.5496215820312
2015-12-30,648.6015625
2015-12-31,648.6015625
2016-01-04,648.6015625
2016-01-05,654.7757568359375
2016-01-06,654.7757568359375
2016-01-07,683.9864501953125
2016-01-08,661.5206298828125
2016-01-11,643.361328125
2016-01-12,628.6780395507812
2016-01-13,622.607666015625
2016-01-14,627.6922607421875
2016-01-15,594.6421508789062
2016-01-18,622.607666015625
2016-01-19,622.607666015625
2016-01-20,607.0425415039062
2016-01-21,607.0425415039062
2016-01-22,622.607666015625
2016-01-25,622.607666015625
2016-01-26,606.6273803710938
2016-01-27,596.7693481445312
2016-01-28,609.6366577148438
2016-01-29,658.9263916015625
2016-02-01,632.9844970703125
2016-02-02,632.9844970703125
2016-02-03,648.5496215820312
2016-02-04,612.0233154296875
2016-02-05,651.507080078125
2016-02-08,648.5496215820312
2016-02-09,651.1957397460938
2016-02-10,648.5496215820312
2016-02-11,648.5496215820312
2016-02-12,674.4916381835938
2016-02-15,674.4916381835938
2016-02-16,674.4916381835938
2016-02-17,674.4916381835938
2016-02-18,674.4916381835938
2016-02-19,664.0628662109375
2016-02-22,666.7091674804688
2016-02-23,666.7091674804688
2016-02-24,658.9263916015625
2016-02-25,658.9263916015625
2016-02-26,661.5206298828125
2016-02-29,676.10009765625
2016-03-01,658.9263916015625
2016-03-02,658.9263916015625
2016-03-03,658.9263916015625
2016-03-04,652.2852783203125
2016-03-07,652.2852783203125
2016-03-08,648.5496215820312
2016-03-09,653.789794921875
2016-03-10,648.5496215820312
2016-03-11,645.9553833007812
2016-03-14,645.9553833007812
2016-03-15,627.796142578125
2016-03-16,638.1728515625
2016-03-17,653.7379150390625
2016-03-18,646.6299438476562
2016-03-21,648.8091430664062
2016-03-22,648.6015625
2016-03-23,648.5496215820312
2016-03-24,663.595947265625
2016-03-28,658.9263916015625
2016-03-29,648.6015625
2016-03-30,635.5786743164062
2016-03-31,638.1728515625
2016-04-01,638.1728515625
2016-04-04,638.1728515625
2016-04-05,648.5496215820312
2016-04-06,648.5496215820312
2016-04-07,661.8837280273438
2016-04-08,674.4916381835938
2016-04-11,648.5496215820312
2016-04-12,648.5496215820312
2016-04-13,648.5496215820312
2016-04-14,648.5496215820312
2016-04-15,648.5496215820312
2016-04-18,648.5496215820312
2016-04-19,651.143798828125
2016-04-20,651.143798828125
2016-04-21,648.5496215820312
2016-04-22,673.71337890625
2016-04-25,673.71337890625
2016-04-26,665.25634765625
2016-04-27,656.3323364257812
2016-04-28,656.3323364257812
2016-04-29,674.4916381835938
2016-05-02,674.439697265625
2016-05-03,674.439697265625
2016-05-04,674.439697265625
2016-05-05,674.439697265625
2016-05-06,677.8751220703125
2016-05-09,678.4010620117188
2016-05-10,677.8751220703125
2016-05-11,666.4105834960938
2016-05-12,666.3054809570312
2016-05-13,666.3054809570312
2016-05-16,683.134033203125
2016-05-17,659.9947509765625
2016-05-18,665.2537231445312
2016-05-19,673.1420288085938
2016-05-20,673.1420288085938
