Date,BEI.DE
2015-08-24,64.18236541748047
2015-08-25,66.666259765625
2015-08-26,65.99894714355469
2015-08-27,68.34379577636719
2015-08-28,68.48281860351562
2015-08-31,68.38087463378906
2015-09-01,67.5560073852539
2015-09-02,67.98233795166016
2015-09-03,68.93697357177734
2015-09-04,67.19453430175781
2015-09-07,67.5096664428711
2015-09-08,67.98233795166016
2015-09-09,68.30672454833984
2015-09-10,67.4169692993164
2015-09-11,67.17601776123047
2015-09-14,67.10186004638672
2015-09-15,67.63014221191406
2015-09-16,68.93697357177734
2015-09-17,68.66817474365234
2015-09-18,67.63941955566406
2015-09-21,69.21501159667969
2015-09-22,68.31599426269531
2015-09-23,69.21501159667969
2015-09-24,68.72380828857422
2015-09-25,71.04085540771484
2015-09-28,71.51353454589844
2015-09-29,70.83695220947266
2015-09-30,73.37643432617188
2015-10-01,71.9676742553711
2015-10-02,72.8388671875
2015-10-05,74.64619445800781
2015-10-06,75.48959350585938
2015-10-07,74.59059143066406
2015-10-08,75.63787841796875
2015-10-09,76.16616821289062
2015-10-12,75.61934661865234
2015-10-13,75.10960388183594
2015-10-14,74.84081268310547
2015-10-15,76.27738189697266
2015-10-16,76.00862121582031
2015-10-19,76.99104309082031
2015-10-20,75.71202087402344
2015-10-21,76.56470489501953
2015-10-22,78.06615447998047
2015-10-23,79.57687377929688
2015-10-26,79.15052795410156
2015-10-27,78.7798080444336
2015-10-28,79.60466766357422
2015-10-29,80.52223205566406
2015-10-30,80.10516357421875
2015-11-02,79.82711791992188
2015-11-03,78.90029907226562
2015-11-04,81.18954467773438
2015-11-05,81.97734832763672
2015-11-06,81.36564636230469
2015-11-09,80.22563934326172
2015-11-10,80.07735443115234
2015-11-11,80.87442779541016
2015-11-12,80.12369537353516
2015-11-13,79.48418426513672
2015-11-16,80.02174377441406
2015-11-17,82.48709106445312
2015-11-18,82.2831802368164
2015-11-19,82.32026672363281
2015-11-20,82.25538635253906
2015-11-23,82.54269409179688
2015-11-24,80.64270782470703
2015-11-25,82.60757446289062
2015-11-26,82.20903015136719
2015-11-27,82.31100463867188
2015-11-30,81.69003295898438
2015-12-01,81.60661315917969
2015-12-02,82.05148315429688
2015-12-03,78.52957153320312
2015-12-04,77.5934829711914
2015-12-07,79.66028594970703
2015-12-08,78.43688201904297
2015-12-09,77.05592346191406
2015-12-10,77.08373260498047
2015-12-11,76.0920181274414
2015-12-14,75.39689636230469
2015-12-15,78.37201690673828
2015-12-16,77.7232437133789
2015-12-17,78.62223815917969
2015-12-18,76.62957763671875
2015-12-21,75.59153747558594
2015-12-22,76.0920181274414
2015-12-23,77.26909637451172
2015-12-25,77.26909637451172
2015-12-28,76.9632339477539
2015-12-29,78.68712615966797
2015-12-30,78.00128173828125
2016-01-04,75.18375396728516
2016-01-05,75.99934387207031
2016-01-06,75.50811767578125
2016-01-07,73.66376495361328
2016-01-08,73.47838592529297
2016-01-11,72.82962036132812
2016-01-12,75.02616882324219
2016-01-13,75.49887084960938
2016-01-14,73.7378921508789
2016-01-15,72.71839904785156
2016-01-18,73.22814178466797
2016-01-19,74.92424011230469
2016-01-20,72.8203353881836
2016-01-21,73.5803451538086
2016-01-22,75.46178436279297
2016-01-25,76.04569244384766
2016-01-26,76.573974609375
2016-01-27,77.49153137207031
2016-01-28,76.24959564208984
2016-01-29,78.85395812988281
2016-02-01,78.7798080444336
2016-02-02,79.29882049560547
2016-02-03,78.69640350341797
2016-02-04,76.84275817871094
2016-02-05,75.14667510986328
2016-02-08,73.18180847167969
2016-02-09,73.39498138427734
2016-02-10,73.44132232666016
2016-02-11,71.615478515625
2016-02-12,72.65351104736328
2016-02-15,75.20227813720703
2016-02-16,75.5451889038086
2016-02-17,73.33937072753906
2016-02-18,72.39401245117188
2016-02-19,73.58960723876953
2016-02-22,74.2383804321289
2016-02-23,74.67398071289062
2016-02-24,73.14474487304688
2016-02-25,74.63690185546875
2016-02-26,74.54423522949219
2016-02-29,74.09935760498047
2016-03-01,75.91593933105469
2016-03-02,74.52569580078125
2016-03-03,73.7101058959961
2016-03-04,74.56277465820312
2016-03-07,73.66376495361328
2016-03-08,73.9881362915039
2016-03-09,74.51644134521484
2016-03-10,72.98716735839844
2016-03-11,74.6925277709961
2016-03-14,75.16520690917969
2016-03-15,74.87789154052734
2016-03-16,74.3310546875
2016-03-17,74.14569854736328
2016-03-18,75.35057830810547
2016-03-21,75.23008728027344
2016-03-22,75.15592956542969
2016-03-23,75.51739501953125
2016-03-24,73.7008285522461
2016-03-29,74.1827621459961
2016-03-30,74.65545654296875
2016-03-31,73.53399658203125
2016-04-01,73.03841400146484
2016-04-04,73.14127349853516
2016-04-05,72.11268615722656
2016-04-06,72.20619201660156
2016-04-07,71.42073822021484
2016-04-08,71.88826751708984
2016-04-11,71.56099700927734
2016-04-12,72.22490692138672
2016-04-13,72.80464172363281
2016-04-14,73.69296264648438
2016-04-15,73.79582214355469
2016-04-18,74.17919921875
2016-04-19,76.90025329589844
2016-04-20,76.62908172607422
2016-04-21,75.50699615478516
2016-04-22,74.17919921875
2016-04-25,74.32880401611328
2016-04-26,73.9921875
2016-04-27,74.26335906982422
2016-04-28,74.6280288696289
2016-04-29,73.27218627929688
2016-05-02,73.6181640625
2016-05-03,74.23531341552734
2016-05-04,72.94490051269531
2016-05-05,72.94490051269531
2016-05-06,73.15061950683594
2016-05-09,74.4316635131836
2016-05-10,75.01141357421875
2016-05-11,74.23531341552734
2016-05-12,73.8519287109375
2016-05-13,74.10440063476562
2016-05-17,73.12256622314453
