Date,ACI.NS
2022-11-21,451.5956115722656
2022-11-22,448.3428649902344
2022-11-23,458.05194091796875
2022-11-24,495.21258544921875
2022-11-25,526.3605346679688
2022-11-28,531.8310546875
2022-11-29,531.4369506835938
2022-11-30,509.0123291015625
2022-12-01,523.2554931640625
2022-12-02,514.48291015625
2022-12-05,512.0187377929688
2022-12-06,497.6768493652344
2022-12-07,507.38592529296875
2022-12-08,520.3477783203125
2022-12-09,513.7435913085938
2022-12-12,526.311279296875
2022-12-13,522.861328125
2022-12-14,509.8994140625
2022-12-15,505.8088073730469
2022-12-16,501.32391357421875
2022-12-19,502.9995422363281
2022-12-20,503.1474304199219
2022-12-21,491.9598083496094
2022-12-22,488.3127136230469
2022-12-23,479.5400695800781
2022-12-26,485.4542236328125
2022-12-27,509.3572998046875
2022-12-28,516.6514282226562
2022-12-29,519.01708984375
2022-12-30,518.7213745117188
2023-01-02,517.7357177734375
2023-01-03,517.932861328125
2023-01-04,525.3255004882812
2023-01-05,550.7564086914062
2023-01-06,554.2556762695312
2023-01-09,554.4528198242188
2023-01-10,551.1507568359375
2023-01-11,561.9440307617188
2023-01-12,564.211181640625
2023-01-13,606.7931518554688
2023-01-16,619.7550659179688
2023-01-17,601.0761108398438
2023-01-18,608.5673828125
2023-01-19,593.781982421875
2023-01-20,596.6405029296875
2023-01-23,608.961669921875
2023-01-24,613.89013671875
2023-01-25,629.90771484375
2023-01-27,612.41162109375
2023-01-30,617.9315185546875
2023-01-31,641.14453125
2023-02-01,623.7962646484375
2023-02-02,639.0745849609375
2023-02-03,642.6231079101562
2023-02-06,651.1493530273438
2023-02-07,655.239990234375
2023-02-08,624.1414184570312
2023-02-09,616.0093994140625
2023-02-10,635.9696655273438
2023-02-13,666.9697875976562
2023-02-14,631.041259765625
2023-02-15,645.1859130859375
2023-02-16,626.5563354492188
2023-02-17,629.3162841796875
2023-02-20,614.4322509765625
2023-02-21,612.5101928710938
2023-02-22,615.8615112304688
2023-02-23,623.4021606445312
2023-02-24,625.2255859375
2023-02-27,620.1985473632812
2023-02-28,620.6914672851562
2023-03-01,625.8170166015625
2023-03-02,638.9267578125
2023-03-03,639.5181884765625
2023-03-06,634.8853759765625
2023-03-08,621.3814697265625
2023-03-09,612.756591796875
2023-03-10,626.802734375
2023-03-13,631.8297119140625
2023-03-14,630.3511352539062
2023-03-15,630.2526245117188
2023-03-16,620.8391723632812
2023-03-17,613.3480224609375
2023-03-20,614.0873413085938
2023-03-21,613.6929321289062
2023-03-22,619.9520874023438
2023-03-23,638.532470703125
2023-03-24,644.2001342773438
2023-03-27,649.227294921875
2023-03-28,642.376708984375
2023-03-29,633.899658203125
2023-03-31,641.14453125
2023-04-03,629.8583984375
2023-04-05,621.824951171875
2023-04-06,611.179443359375
2023-04-10,601.6182861328125
2023-04-11,603.4417724609375
2023-04-12,602.4561157226562
2023-04-13,575.0537719726562
2023-04-17,542.3287963867188
2023-04-18,537.6466674804688
2023-04-19,522.1220703125
2023-04-20,522.3684692382812
2023-04-21,535.9710693359375
2023-04-24,546.6657104492188
2023-04-25,552.777099609375
2023-04-26,545.6800537109375
2023-04-27,536.7595825195312
2023-04-28,542.969482421875
2023-05-02,536.9567260742188
2023-05-03,537.1045532226562
2023-05-04,532.0774536132812
2023-05-05,541.14599609375
2023-05-08,543.1173095703125
2023-05-09,537.35107421875
2023-05-10,538.4352416992188
2023-05-11,534.2953491210938
2023-05-12,540.7515869140625
2023-05-15,520.1998901367188
2023-05-16,531.14111328125
2023-05-17,533.6052856445312
2023-05-18,527.5925903320312
2023-05-19,532.2747192382812
2023-05-22,535.0839233398438
2023-05-23,529.9583129882812
2023-05-24,532.0282592773438
2023-05-25,524.8820190429688
2023-05-26,524.1920166015625
2023-05-29,538.9281616210938
2023-05-30,536.069580078125
2023-05-31,537.8438110351562
2023-06-01,536.858154296875
2023-06-02,537.1045532226562
2023-06-05,545.5816040039062
2023-06-06,577.9615478515625
2023-06-07,588.8041381835938
2023-06-08,574.5609741210938
2023-06-09,574.8565673828125
2023-06-12,571.8502807617188
2023-06-13,561.3527221679688
2023-06-14,556.5721435546875
2023-06-15,555.7341918945312
2023-06-16,558.0999145507812
2023-06-19,547.405029296875
2023-06-20,523.4034423828125
2023-06-21,529.6625366210938
2023-06-22,532.1762084960938
2023-06-23,527.4447631835938
2023-06-26,525.7691040039062
2023-06-27,532.3732299804688
2023-06-28,532.7182006835938
2023-06-30,528.5783081054688
2023-07-03,537.35107421875
2023-07-04,530.2047729492188
2023-07-05,528.7754516601562
2023-07-06,531.091796875
2023-07-07,526.9026489257812
2023-07-10,530.2047729492188
2023-07-11,526.8533325195312
2023-07-12,531.14111328125
2023-07-13,526.0155029296875
2023-07-14,522.3684692382812
2023-07-17,524.783447265625
2023-07-18,522.9598999023438
2023-07-19,523.6991577148438
2023-07-20,522.2206420898438
2023-07-21,524.7955932617188
2023-07-24,523.3595581054688
2023-07-25,519.4475708007812
2023-07-26,519.6951904296875
2023-07-27,517.1697998046875
2023-07-28,518.06103515625
2023-07-31,515.5355834960938
2023-08-01,507.66217041015625
2023-08-02,496.81768798828125
2023-08-03,503.6017150878906
2023-08-04,510.58380126953125
2023-08-07,512.366455078125
2023-08-08,513.6043701171875
2023-08-09,513.5054321289062
2023-08-10,506.671875
2023-08-11,514.5947265625
2023-08-14,533.95654296875
2023-08-16,542.2755126953125
2023-08-17,557.8738403320312
2023-08-18,553.1696166992188
2023-08-21,552.7734375
2023-08-22,576.0470581054688
2023-08-23,584.1185913085938
