Date,PNBHOUSING.NS
2016-11-07,717.3764038085938
2016-11-08,787.25048828125
2016-11-09,742.3716430664062
2016-11-10,751.1461791992188
2016-11-11,747.7651977539062
2016-11-15,651.08447265625
2016-11-16,642.1490478515625
2016-11-17,651.3260498046875
2016-11-18,655.1901245117188
2016-11-21,643.678466796875
2016-11-22,650.641845703125
2016-11-23,663.642578125
2016-11-24,653.0970458984375
2016-11-25,699.9078369140625
2016-11-28,682.4393920898438
2016-11-29,718.382568359375
2016-11-30,730.014892578125
2016-12-01,729.3306274414062
2016-12-02,729.69287109375
2016-12-05,687.9938354492188
2016-12-06,696.8488159179688
2016-12-07,692.42138671875
2016-12-08,717.8995971679688
2016-12-09,704.9391479492188
2016-12-12,687.9938354492188
2016-12-13,689.08056640625
2016-12-14,686.2228393554688
2016-12-15,690.6100463867188
2016-12-16,700.3506469726562
2016-12-19,698.7808227539062
2016-12-20,689.764892578125
2016-12-21,706.1868286132812
2016-12-22,676.76416015625
2016-12-23,673.5037841796875
2016-12-26,652.4530639648438
2016-12-27,668.4322509765625
2016-12-28,665.4537963867188
2016-12-29,667.6676025390625
2016-12-30,676.2810668945312
2017-01-02,670.2435913085938
2017-01-03,668.5128173828125
2017-01-04,657.96728515625
2017-01-05,660.94580078125
2017-01-06,654.5460815429688
2017-01-09,655.7133178710938
2017-01-10,652.8153076171875
2017-01-11,653.7813110351562
2017-01-12,653.2177734375
2017-01-13,650.7222900390625
2017-01-16,646.6570434570312
2017-01-17,666.54052734375
2017-01-18,667.9091186523438
2017-01-19,670.3240356445312
2017-01-20,667.546875
2017-01-23,667.868896484375
2017-01-24,692.8641357421875
2017-01-25,756.096923828125
2017-01-27,745.2696533203125
2017-01-30,732.8323974609375
2017-01-31,728.2841796875
2017-02-01,736.4548950195312
2017-02-02,745.8734130859375
2017-02-03,756.660400390625
2017-02-06,791.7987060546875
2017-02-07,798.3594970703125
2017-02-08,848.3097534179688
2017-02-09,849.67822265625
2017-02-10,904.0157470703125
2017-02-13,879.1412353515625
2017-02-14,895.7242431640625
2017-02-15,885.62158203125
2017-02-16,903.4522705078125
2017-02-17,875.3980102539062
2017-02-20,894.073974609375
2017-02-21,897.5757446289062
2017-02-22,884.8567504882812
2017-02-23,883.1661987304688
2017-02-27,859.3382568359375
2017-02-28,863.886474609375
2017-03-01,844.2847290039062
2017-03-02,823.354736328125
2017-03-03,806.9326782226562
2017-03-06,806.2484130859375
2017-03-07,800.9353637695312
2017-03-08,788.2164916992188
2017-03-09,789.8666381835938
2017-03-10,775.8193969726562
2017-03-14,835.8724365234375
2017-03-15,874.6735229492188
2017-03-16,887.0704956054688
2017-03-17,886.3861694335938
2017-03-20,892.101806640625
2017-03-21,895.8048095703125
2017-03-22,873.184326171875
2017-03-23,890.0087890625
2017-03-24,890.4514770507812
2017-03-27,891.6187744140625
2017-03-28,937.7855834960938
2017-03-29,934.1630249023438
2017-03-30,917.2579956054688
2017-03-31,958.2728271484375
2017-04-03,974.1715698242188
2017-04-05,954.529541015625
2017-04-06,948.0090942382812
2017-04-07,949.6593017578125
2017-04-10,953.5233764648438
2017-04-11,972.5616455078125
2017-04-12,966.5240478515625
2017-04-13,1006.7338256835938
2017-04-17,1014.7033081054688
2017-04-18,1019.6138916015625
2017-04-19,999.4888305664062
2017-04-20,1031.2462158203125
2017-04-21,1048.875732421875
2017-04-24,1091.943115234375
2017-04-25,1116.2139892578125
2017-04-26,1106.5941162109375
2017-04-27,1095.3240966796875
2017-04-28,1115.8919677734375
2017-05-02,1090.333251953125
2017-05-03,1101.7642822265625
2017-05-04,1105.990478515625
2017-05-05,1063.72802734375
2017-05-08,1051.5321044921875
2017-05-09,1037.64599609375
2017-05-10,1072.5426025390625
2017-05-11,1054.309326171875
2017-05-12,1071.979248046875
2017-05-15,1082.162353515625
2017-05-16,1068.96044921875
2017-05-17,1064.0499267578125
2017-05-18,1047.9095458984375
2017-05-19,1021.4653930664062
2017-05-22,1000.5354614257812
2017-05-23,968.4158325195312
2017-05-24,1011.161376953125
2017-05-25,1043.8443603515625
2017-05-26,1060.2662353515625
2017-05-29,1068.7188720703125
2017-05-30,1100.0736083984375
2017-05-31,1122.5333251953125
2017-06-01,1123.21728515625
2017-06-02,1106.5941162109375
2017-06-05,1110.739990234375
2017-06-06,1121.7281494140625
2017-06-07,1190.1533203125
2017-06-08,1236.8031005859375
2017-06-09,1290.456298828125
2017-06-12,1333.4432373046875
2017-06-13,1354.0111083984375
2017-06-14,1323.7432861328125
2017-06-15,1340.004150390625
2017-06-16,1322.9783935546875
2017-06-19,1313.439208984375
2017-06-20,1309.534912109375
2017-06-21,1313.600341796875
2017-06-22,1269.8485107421875
2017-06-23,1233.3416748046875
2017-06-27,1202.1075439453125
2017-06-28,1224.6876220703125
2017-06-29,1259.624755859375
2017-06-30,1284.942138671875
2017-07-03,1258.578369140625
2017-07-04,1259.302734375
2017-07-05,1273.028076171875
2017-07-06,1224.0841064453125
2017-07-07,1224.2449951171875
2017-07-10,1222.232421875
2017-07-11,1199.65234375
2017-07-12,1237.8897705078125
2017-07-13,1262.321533203125
2017-07-14,1223.641357421875
2017-07-17,1214.2630615234375
2017-07-18,1204.3212890625
2017-07-19,1214.504638671875
2017-07-20,1205.6092529296875
2017-07-21,1210.19775390625
2017-07-24,1185.081787109375
2017-07-25,1217.5751953125
2017-07-26,1218.706787109375
2017-07-27,1227.5172119140625
2017-07-28,1217.1307373046875
2017-07-31,1213.8165283203125
2017-08-01,1202.419677734375
2017-08-02,1201.530517578125
