Date,STT
2015-08-03,58.1654052734375
2015-08-04,58.888797760009766
2015-08-05,58.85112762451172
2015-08-06,59.039493560791016
2015-08-07,59.16004180908203
2015-08-10,59.928672790527344
2015-08-11,59.09979248046875
2015-08-12,58.180458068847656
2015-08-13,58.43667984008789
2015-08-14,59.12992858886719
2015-08-17,58.87372589111328
2015-08-18,59.06209945678711
2015-08-19,58.738094329833984
2015-08-20,57.20841598510742
2015-08-21,55.671207427978516
2015-08-24,52.3405647277832
2015-08-25,51.308231353759766
2015-08-26,53.32769012451172
2015-08-27,54.9628791809082
2015-08-28,55.090980529785156
2015-08-31,54.19426727294922
2015-09-01,52.50634002685547
2015-09-02,53.36537551879883
2015-09-03,53.84010696411133
2015-09-04,52.77008056640625
2015-09-08,54.42034149169922
2015-09-09,53.69694519042969
2015-09-10,53.968204498291016
2015-09-11,53.89285659790039
2015-09-14,53.7270622253418
2015-09-15,54.20181655883789
2015-09-16,54.3223762512207
2015-09-17,53.87023162841797
2015-09-18,51.99394607543945
2015-09-21,52.62690734863281
2015-09-22,51.7000732421875
2015-09-23,51.66238784790039
2015-09-24,51.036949157714844
2015-09-25,51.79803466796875
2015-09-28,50.02722930908203
2015-09-29,50.458946228027344
2015-09-30,50.90581512451172
2015-10-01,50.830078125
2015-10-02,50.837642669677734
2015-10-05,52.01164627075195
2015-10-06,51.58750534057617
2015-10-07,52.27674865722656
2015-10-08,52.60242462158203
2015-10-09,52.087371826171875
2015-10-12,52.34489822387695
2015-10-13,51.284515380859375
2015-10-14,50.47409439086914
2015-10-15,51.89045333862305
2015-10-16,51.89045333862305
2015-10-19,51.36784744262695
2015-10-20,51.701107025146484
2015-10-21,50.89067840576172
2015-10-22,52.46607971191406
2015-10-23,50.85280227661133
2015-10-26,50.68616485595703
2015-10-27,51.102760314941406
2015-10-28,53.276519775390625
2015-10-29,52.85236358642578
2015-10-30,52.261592864990234
2015-11-02,53.261383056640625
2015-11-03,53.96576690673828
2015-11-04,53.98092269897461
2015-11-05,54.88223648071289
2015-11-06,55.7608528137207
2015-11-09,54.85195541381836
2015-11-10,54.10210037231445
2015-11-11,54.26874542236328
2015-11-12,53.48859405517578
2015-11-13,52.988712310791016
2015-11-16,53.465877532958984
2015-11-17,53.76128387451172
2015-11-18,55.20035171508789
2015-11-19,55.003421783447266
2015-11-20,55.124603271484375
2015-11-23,55.003421783447266
2015-11-24,54.79134750366211
2015-11-25,55.154911041259766
2015-11-27,55.13975524902344
2015-11-30,54.97314453125
2015-12-01,54.8595085144043
2015-12-02,54.806514739990234
2015-12-03,54.033931732177734
2015-12-04,55.813865661621094
2015-12-07,54.927677154541016
2015-12-08,53.746124267578125
2015-12-09,52.132835388183594
2015-12-10,52.299461364746094
2015-12-11,50.08023452758789
2015-12-14,49.78485107421875
2015-12-15,51.057308197021484
2015-12-16,51.96620559692383
2015-12-17,50.29232406616211
2015-12-18,49.027442932128906
2015-12-21,49.81514358520508
2015-12-22,50.29232406616211
2015-12-23,50.86796569824219
2015-12-24,50.85280227661133
2015-12-28,50.87552261352539
2015-12-29,51.23908615112305
2015-12-30,50.675758361816406
2015-12-31,50.515907287597656
2016-01-04,49.587196350097656
2016-01-05,49.66330337524414
2016-01-06,48.01142501831055
2016-01-07,45.841888427734375
2016-01-08,44.64674377441406
2016-01-11,44.48688507080078
2016-01-12,45.179603576660156
2016-01-13,43.246063232421875
2016-01-14,43.72563552856445
2016-01-15,41.845375061035156
2016-01-19,42.27928161621094
2016-01-20,41.9671745300293
2016-01-21,41.434303283691406
2016-01-22,42.50004577636719
2016-01-25,41.274444580078125
2016-01-26,42.5761604309082
2016-01-27,39.5159797668457
2016-01-28,39.56926345825195
2016-01-29,42.42392349243164
2016-02-01,41.70835876464844
2016-02-02,40.32289505004883
2016-02-03,40.93950271606445
2016-02-04,41.95195007324219
2016-02-05,41.42669677734375
2016-02-08,40.779640197753906
2016-02-09,40.65022659301758
2016-02-10,40.90143966674805
2016-02-11,39.8737678527832
2016-02-12,41.62461853027344
2016-02-16,43.11663818359375
2016-02-17,43.07096862792969
2016-02-18,42.30973434448242
2016-02-19,42.77408981323242
2016-02-22,43.25367736816406
2016-02-23,42.3477897644043
2016-02-24,41.243995666503906
2016-02-25,41.67029571533203
2016-02-26,42.1803092956543
2016-02-29,41.700740814208984
2016-03-01,43.49728012084961
2016-03-02,43.91594696044922
2016-03-03,44.18999099731445
2016-03-04,44.661964416503906
2016-03-07,44.53255844116211
2016-03-08,43.60383605957031
2016-03-09,43.38309097290039
2016-03-10,43.063358306884766
2016-03-11,44.1138801574707
2016-03-14,43.96923828125
2016-03-15,43.200382232666016
2016-03-16,43.2765007019043
2016-03-17,43.6951904296875
2016-03-18,44.95124435424805
2016-03-21,45.62873840332031
2016-03-22,45.18722152709961
2016-03-23,45.40036392211914
2016-03-24,44.72285842895508
2016-03-28,44.46403884887695
2016-03-29,44.524940490722656
2016-03-30,44.808250427246094
2016-03-31,44.808250427246094
2016-04-01,45.13749313354492
2016-04-04,45.022640228271484
2016-04-05,44.11146545410156
2016-04-06,44.56322479248047
2016-04-07,43.01654052734375
2016-04-08,43.085445404052734
2016-04-11,43.31514358520508
2016-04-12,44.019588470458984
2016-04-13,45.742401123046875
2016-04-14,46.00273132324219
2016-04-15,45.612205505371094
2016-04-18,45.85725402832031
2016-04-19,46.140541076660156
2016-04-20,47.28143310546875
2016-04-21,46.85264587402344
2016-04-22,47.38862991333008
2016-04-25,47.02109146118164
2016-04-26,47.84038162231445
2016-04-27,48.95063400268555
