Date,EDP.LS
2015-08-24,1.728804349899292
2015-08-25,1.7781985998153687
2015-08-26,1.761346459388733
2015-08-27,1.8258496522903442
2015-08-28,1.826430320739746
2015-08-31,1.8165514469146729
2015-09-01,1.7770360708236694
2015-09-02,1.761346459388733
2015-09-03,1.8072540760040283
2015-09-04,1.7811036109924316
2015-09-07,1.7770360708236694
2015-09-08,1.8095780611038208
2015-09-09,1.8212006092071533
2015-09-10,1.7758736610412598
2015-09-11,1.7700626850128174
2015-09-14,1.757278323173523
2015-09-15,1.737520694732666
2015-09-16,1.7793601751327515
2015-09-17,1.801443099975586
2015-09-18,1.78284752368927
2015-09-21,1.8002808094024658
2015-09-22,1.7601836919784546
2015-09-23,1.7781985998153687
2015-09-24,1.771225094795227
2015-09-25,1.8403773307800293
2015-09-28,1.835728645324707
2015-09-29,1.8427016735076904
2015-09-30,1.9008127450942993
2015-10-01,1.9048808813095093
2015-10-02,1.9409096240997314
2015-10-05,2.0007636547088623
2015-10-06,1.9763572216033936
2015-10-07,2.007736921310425
2015-10-08,2.0106425285339355
2015-10-09,2.031562328338623
2015-10-12,1.962991714477539
2015-10-13,1.954856276512146
2015-10-14,1.9292871952056885
2015-10-15,1.961248517036438
2015-10-16,1.9751949310302734
2015-10-19,1.965315580368042
2015-10-20,1.9728703498840332
2015-10-21,1.9461394548416138
2015-10-22,1.9664781093597412
2015-10-23,1.9827497005462646
2015-10-26,1.9920469522476196
2015-10-27,1.93916654586792
2015-10-28,1.93916654586792
2015-10-29,1.950788140296936
2015-10-30,1.9571800231933594
2015-11-02,1.9914661645889282
2015-11-03,2.0042500495910645
2015-11-04,2.0083184242248535
2015-11-05,1.9949525594711304
2015-11-06,1.9804251194000244
2015-11-09,1.8886091709136963
2015-11-10,1.8886091709136963
2015-11-11,1.8299169540405273
2015-11-12,1.820038080215454
2015-11-13,1.837471604347229
2015-11-16,1.8386335372924805
2015-11-17,1.8642029762268066
2015-11-18,1.8886091709136963
2015-11-19,1.9118541479110718
2015-11-20,1.9350981712341309
2015-11-23,1.9106913805007935
