Date,INDIGO.NS
2015-11-10,830.2215576171875
2015-11-13,950.2713012695312
2015-11-16,935.9334106445312
2015-11-17,981.31298828125
2015-11-18,989.5939331054688
2015-11-19,1082.4820556640625
2015-11-20,1046.140625
2015-11-23,990.7294311523438
2015-11-24,1031.3770751953125
2015-11-26,1029.8626708984375
2015-11-27,1032.0394287109375
2015-11-30,1049.547607421875
2015-12-01,1034.6422119140625
2015-12-02,1040.2730712890625
2015-12-03,1053.995849609375
2015-12-04,1021.8184204101562
2015-12-07,988.5528564453125
2015-12-08,963.520751953125
2015-12-09,958.4575805664062
2015-12-10,946.2491455078125
2015-12-11,979.5147705078125
2015-12-14,1034.4527587890625
2015-12-15,1121.8992919921875
2015-12-16,1128.7606201171875
2015-12-17,1127.0096435546875
2015-12-18,1078.176025390625
2015-12-21,1023.9951171875
2015-12-22,1102.3089599609375
2015-12-23,1119.6280517578125
2015-12-24,1102.0250244140625
2015-12-28,1130.1329345703125
2015-12-29,1122.845703125
2015-12-30,1129.28125
2015-12-31,1168.698486328125
2016-01-01,1271.4290771484375
2016-01-04,1194.440185546875
2016-01-05,1185.7806396484375
2016-01-06,1169.17138671875
2016-01-07,1183.5093994140625
2016-01-08,1203.9986572265625
2016-01-11,1171.7740478515625
2016-01-12,1183.6041259765625
2016-01-13,1162.9254150390625
2016-01-14,1135.669189453125
2016-01-15,1113.1925048828125
2016-01-18,1071.1256103515625
2016-01-19,1142.0574951171875
2016-01-20,1137.6568603515625
2016-01-21,1133.634521484375
2016-01-22,916.3905029296875
2016-01-25,854.3073120117188
2016-01-27,885.9639892578125
2016-01-28,854.9223022460938
2016-01-29,827.8082885742188
2016-02-01,834.7642822265625
2016-02-02,799.700439453125
2016-02-03,793.0284423828125
2016-02-04,762.176025390625
2016-02-05,792.0819702148438
2016-02-08,780.1575317382812
2016-02-09,745.898193359375
2016-02-10,730.0933837890625
2016-02-11,681.11767578125
2016-02-12,737.8538818359375
2016-02-15,794.0694580078125
2016-02-16,795.77294921875
2016-02-17,794.779296875
2016-02-18,803.6280517578125
2016-02-19,796.1515502929688
2016-02-22,775.946044921875
2016-02-23,766.6240844726562
2016-02-24,765.1098022460938
2016-02-25,748.6900024414062
2016-02-26,788.627685546875
2016-02-29,768.7062377929688
2016-03-01,781.4351806640625
2016-03-02,823.1235961914062
2016-03-03,806.088623046875
2016-03-04,826.0574951171875
2016-03-08,813.423095703125
2016-03-09,769.2266845703125
2016-03-10,763.4064331054688
2016-03-11,776.5612182617188
2016-03-14,761.5136108398438
2016-03-15,757.20751953125
2016-03-16,758.8637084960938
2016-03-17,763.6430053710938
2016-03-18,765.4411010742188
2016-03-21,803.4386596679688
2016-03-22,798.4229125976562
2016-03-23,850.3323974609375
2016-03-28,833.3919677734375
2016-03-29,842.0988159179688
2016-03-30,843.2344970703125
2016-03-31,826.388671875
2016-04-01,859.8436279296875
2016-04-04,915.20751953125
2016-04-05,921.264404296875
2016-04-06,940.286865234375
2016-04-07,937.6369018554688
2016-04-08,903.1409912109375
2016-04-11,932.8577270507812
2016-04-12,950.2239990234375
2016-04-13,975.6345825195312
2016-04-18,997.0703735351562
2016-04-20,964.609130859375
2016-04-21,947.384765625
2016-04-22,947.7633056640625
2016-04-25,960.5869140625
2016-04-26,974.7828369140625
2016-04-27,991.5338745117188
2016-04-28,1006.8656005859375
2016-04-29,1018.2694702148438
2016-05-02,970.3348388671875
2016-05-03,1002.41748046875
2016-05-04,1010.3671264648438
2016-05-05,1030.052001953125
2016-05-06,1017.84375
2016-05-09,1019.6890869140625
2016-05-10,1018.4114379882812
2016-05-11,1003.8843383789062
2016-05-12,988.9786987304688
2016-05-13,986.7073364257812
2016-05-16,975.2560424804688
2016-05-17,993.6632690429688
2016-05-18,970.61865234375
2016-05-19,954.3408203125
2016-05-20,910.9014282226562
2016-05-23,939.0092163085938
2016-05-24,927.7471923828125
2016-05-25,932.4791259765625
2016-05-26,940.6181030273438
2016-05-27,974.9248046875
2016-05-30,1003.8843383789062
2016-05-31,1007.2440795898438
2016-06-01,969.05712890625
2016-06-02,958.6468505859375
2016-06-03,939.482421875
2016-06-06,965.129638671875
2016-06-07,953.0631103515625
2016-06-08,939.2930908203125
2016-06-09,950.744384765625
2016-06-10,944.7822265625
2016-06-13,927.557861328125
2016-06-14,937.2584228515625
2016-06-15,957.1799926757812
2016-06-16,958.5048828125
2016-06-17,959.1201171875
2016-06-20,1014.2472534179688
2016-06-21,983.6316528320312
2016-06-22,970.3348388671875
2016-06-23,952.5899047851562
2016-06-24,950.6498413085938
2016-06-27,963.0948486328125
2016-06-28,965.2716064453125
2016-06-29,963.6154174804688
2016-06-30,960.918212890625
2016-07-01,958.1263427734375
2016-07-04,988.6474609375
2016-07-05,962.71630859375
2016-07-07,958.694091796875
2016-07-08,959.5459594726562
2016-07-11,954.6246948242188
2016-07-12,958.268310546875
2016-07-13,945.302734375
2016-07-14,938.5360107421875
2016-07-15,918.283203125
2016-07-18,899.3553466796875
2016-07-19,896.3270263671875
2016-07-20,900.3964233398438
2016-07-21,895.8065185546875
2016-07-22,902.809814453125
2016-07-25,905.2230834960938
2016-07-26,891.9736328125
2016-07-27,897.6519775390625
2016-07-28,898.0305786132812
2016-07-29,934.8450927734375
2016-08-01,919.5609130859375
2016-08-02,819.6220703125
2016-08-03,816.593505859375
2016-08-04,783.09130859375
2016-08-05,777.507568359375
2016-08-08,783.138671875
2016-08-09,769.3214111328125
2016-08-10,757.6806640625
2016-08-11,750.9613037109375
2016-08-12,757.8700561523438
