Date,CCEP.L
2019-03-28,4543.39453125
2019-03-29,4611.26708984375
2019-04-01,4576.33203125
2019-04-02,4581.32275390625
2019-04-03,4539.40234375
2019-04-04,4541.39892578125
2019-04-05,4564.35498046875
2019-04-08,4591.3037109375
2019-04-09,4591.3037109375
2019-04-10,4589.30712890625
2019-04-11,4556.37109375
2019-04-12,4556.37109375
2019-04-15,4599.28857421875
2019-04-16,4589.30712890625
2019-04-17,4624.2412109375
2019-04-18,4631.22802734375
2019-04-23,4679.1376953125
2019-04-24,4765.97216796875
2019-04-25,4744.0146484375
2019-04-26,4736.02978515625
2019-04-29,4770.9638671875
2019-04-30,4793.919921875
2019-05-01,4793.919921875
2019-05-02,4800.9072265625
2019-05-03,4873.7685546875
2019-05-07,4888.7412109375
2019-05-08,4873.7685546875
2019-05-09,4773.95751953125
2019-05-10,4815.87890625
2019-05-13,4855.80224609375
2019-05-14,4950.62353515625
2019-05-15,4983.56103515625
2019-05-16,5060.4169921875
2019-05-17,5105.3310546875
2019-05-20,5095.34912109375
2019-05-21,5090.35986328125
2019-05-22,5095.34912109375
2019-05-23,5054.0419921875
2019-05-24,5026.091796875
2019-05-28,5016.11083984375
2019-05-29,4951.22509765625
2019-05-30,4949.228515625
2019-05-31,4976.1806640625
2019-06-03,4761.560546875
2019-06-04,5016.11083984375
2019-06-05,4999.1396484375
2019-06-06,5061.02978515625
2019-06-07,5090.97705078125
2019-06-10,5071.01220703125
2019-06-11,5078.99853515625
2019-06-12,5095.96875
2019-06-13,5100.95947265625
2019-06-14,5044.06005859375
2019-06-17,5029.0869140625
2019-06-18,5110.94140625
2019-06-19,5049.05126953125
2019-06-20,5155.86279296875
2019-06-21,5100.95947265625
2019-06-24,5024.09619140625
2019-06-25,4991.154296875
2019-06-26,4966.19873046875
2019-06-27,4844.4140625
2019-06-28,4854.39697265625
2019-07-01,4964.203125
2019-07-02,5014.11328125
2019-07-03,5105.9501953125
2019-07-04,5076.0029296875
2019-07-05,5130.90771484375
2019-07-08,5175.82763671875
2019-07-09,5140.88916015625
2019-07-10,5105.9501953125
2019-07-11,5056.0400390625
2019-07-12,5044.06005859375
2019-07-15,5085.986328125
2019-07-16,5100.95947265625
2019-07-17,5076.0029296875
2019-07-18,5024.09619140625
2019-07-19,5083.98974609375
2019-07-22,5054.0419921875
2019-07-23,5135.8974609375
2019-07-24,5115.93310546875
2019-07-25,5059.033203125
2019-07-26,5125.916015625
2019-07-29,5120.923828125
2019-07-30,5095.96875
2019-07-31,5026.091796875
2019-08-01,5095.96875
2019-08-02,5026.091796875
2019-08-05,4936.25146484375
2019-08-06,4899.31640625
2019-08-07,4899.31640625
2019-08-08,4921.27734375
2019-08-09,5001.1357421875
2019-08-12,4946.23388671875
2019-08-13,4859.3876953125
2019-08-14,4886.33984375
2019-08-15,4904.30810546875
2019-08-16,4946.23388671875
2019-08-19,5006.12744140625
2019-08-20,4899.31640625
2019-08-21,4949.228515625
2019-08-22,4976.1806640625
2019-08-23,4936.25146484375
2019-08-27,4981.17236328125
2019-08-28,5011.119140625
2019-08-29,5056.0400390625
2019-08-30,5064.025390625
2019-09-02,5100.95947265625
2019-09-03,5095.96875
2019-09-04,5105.9501953125
2019-09-05,5064.025390625
2019-09-06,5044.06005859375
2019-09-09,4971.18994140625
2019-09-10,4904.30810546875
2019-09-11,4974.18408203125
2019-09-12,5036.07470703125
2019-09-13,5090.97705078125
2019-09-16,5014.11328125
2019-09-17,5001.1357421875
2019-09-18,5004.13134765625
2019-09-19,5061.02978515625
2019-09-20,5080.99462890625
2019-09-23,5074.0068359375
2019-09-24,5074.0068359375
2019-09-25,5024.09619140625
2019-09-26,5083.98974609375
2019-09-27,5064.025390625
2019-09-30,5078.99853515625
2019-10-01,5090.97705078125
2019-10-02,5069.01611328125
2019-10-03,5049.05126953125
2019-10-04,5085.986328125
2019-10-07,5095.96875
2019-10-08,5100.95947265625
2019-10-09,5054.0419921875
2019-10-10,5071.01220703125
2019-10-11,5090.97705078125
2019-10-14,5125.916015625
2019-10-15,5175.82763671875
2019-10-16,5195.7919921875
2019-10-17,5200.783203125
2019-10-18,5220.7470703125
2019-10-21,5225.73876953125
2019-10-22,5240.71142578125
2019-10-23,5235.72119140625
2019-10-24,5016.11083984375
2019-10-25,4864.37744140625
2019-10-28,4844.4140625
2019-10-29,4769.546875
2019-10-30,4809.47607421875
2019-10-31,4804.48486328125
2019-11-01,4824.44921875
2019-11-04,4699.67041015625
2019-11-05,4676.7109375
2019-11-06,4666.72900390625
2019-11-07,4659.74169921875
2019-11-08,4656.7470703125
2019-11-11,4639.77734375
2019-11-12,4664.732421875
2019-11-13,4696.67626953125
2019-11-14,4716.64013671875
2019-11-15,4706.65771484375
2019-11-18,4667.34326171875
2019-11-19,4652.3681640625
2019-11-20,4627.408203125
2019-11-21,4560.517578125
2019-11-22,4562.51513671875
2019-11-25,4575.49365234375
2019-11-26,4577.48974609375
2019-11-27,4600.45166015625
2019-11-28,4610.4365234375
2019-11-29,4602.44921875
2019-12-02,4572.49755859375
2019-12-03,4602.44921875
2019-12-04,4577.48974609375
2019-12-05,4577.48974609375
2019-12-06,4577.48974609375
2019-12-09,4577.48974609375
2019-12-10,4465.67333984375
2019-12-11,4465.67333984375
2019-12-12,4480.64892578125
2019-12-13,4457.68701171875
2019-12-16,4472.66259765625
2019-12-17,4465.67333984375
2019-12-18,4477.654296875
2019-12-19,4492.62890625
2019-12-20,4542.54736328125
2019-12-23,4542.54736328125
2019-12-24,4542.54736328125
2019-12-27,4512.5966796875
