Date,BRITANNIA.NS
2015-08-21,1397.5550537109375
2015-08-24,1311.4569091796875
2015-08-25,1300.38330078125
2015-08-26,1258.360595703125
2015-08-27,1285.2691650390625
2015-08-28,1299.029296875
2015-08-31,1279.87451171875
2015-09-01,1275.921142578125
2015-09-02,1303.1572265625
2015-09-03,1313.9906005859375
2015-09-04,1305.34130859375
2015-09-07,1265.65576171875
2015-09-08,1242.023681640625
2015-09-09,1258.033203125
2015-09-10,1251.24072265625
2015-09-11,1290.3145751953125
2015-09-14,1306.65185546875
2015-09-15,1343.214111328125
2015-09-16,1315.475830078125
2015-09-18,1309.556640625
2015-09-21,1308.5521240234375
2015-09-22,1267.010009765625
2015-09-23,1260.5450439453125
2015-09-24,1261.9427490234375
2015-09-28,1275.9866943359375
2015-09-29,1297.71875
2015-09-30,1346.293701171875
2015-10-01,1364.1160888671875
2015-10-05,1403.8017578125
2015-10-06,1421.6021728515625
2015-10-07,1413.58642578125
2015-10-08,1426.9969482421875
2015-10-09,1408.3665771484375
2015-10-12,1384.9306640625
2015-10-13,1360.7308349609375
2015-10-14,1389.7139892578125
2015-10-15,1388.5126953125
2015-10-16,1412.254150390625
2015-10-19,1443.268798828125
2015-10-20,1441.543212890625
2015-10-21,1435.689697265625
2015-10-23,1418.12939453125
2015-10-26,1399.3240966796875
2015-10-27,1390.9371337890625
2015-10-28,1394.802978515625
2015-10-29,1393.5360107421875
2015-10-30,1411.7735595703125
2015-11-02,1391.9638671875
2015-11-03,1387.9449462890625
2015-11-04,1389.6485595703125
2015-11-05,1388.5784912109375
2015-11-06,1367.2613525390625
2015-11-09,1329.9346923828125
2015-11-10,1325.9158935546875
2015-11-13,1271.771484375
2015-11-16,1243.2467041015625
2015-11-17,1257.22509765625
2015-11-18,1248.61962890625
2015-11-19,1286.2301025390625
2015-11-20,1296.1243896484375
2015-11-23,1301.890380859375
2015-11-24,1284.7449951171875
2015-11-26,1267.1629638671875
2015-11-27,1278.9134521484375
2015-11-30,1275.5279541015625
2015-12-01,1298.002685546875
2015-12-02,1293.066650390625
2015-12-03,1280.70458984375
2015-12-04,1282.495361328125
2015-12-07,1258.84130859375
2015-12-08,1257.3126220703125
2015-12-09,1221.9952392578125
2015-12-10,1252.1361083984375
2015-12-11,1214.7220458984375
2015-12-14,1235.3399658203125
2015-12-15,1258.076904296875
2015-12-16,1229.224609375
2015-12-17,1271.4874267578125
2015-12-18,1262.5545654296875
2015-12-21,1285.5751953125
2015-12-22,1274.174072265625
2015-12-23,1265.1534423828125
2015-12-24,1271.465576171875
2015-12-28,1268.6917724609375
2015-12-29,1300.7764892578125
2015-12-30,1300.0338134765625
2015-12-31,1295.753173828125
2016-01-01,1304.532958984375
2016-01-04,1298.5052490234375
2016-01-05,1295.9276123046875
2016-01-06,1311.216796875
2016-01-07,1287.1259765625
2016-01-08,1267.79638671875
2016-01-11,1275.2222900390625
2016-01-12,1282.779541015625
2016-01-13,1269.063232421875
2016-01-14,1265.7432861328125
2016-01-15,1248.947021484375
2016-01-18,1207.9515380859375
2016-01-19,1193.8419189453125
2016-01-20,1170.5589599609375
2016-01-21,1144.349609375
2016-01-22,1142.689697265625
2016-01-25,1136.8800048828125
2016-01-27,1157.4322509765625
2016-01-28,1166.43115234375
2016-01-29,1174.8182373046875
2016-02-01,1223.3275146484375
2016-02-02,1219.98583984375
2016-02-03,1235.362060546875
2016-02-04,1247.702392578125
2016-02-05,1250.41064453125
2016-02-08,1247.134521484375
2016-02-09,1215.726806640625
2016-02-10,1189.036865234375
2016-02-11,1150.5963134765625
2016-02-12,1124.8236083984375
2016-02-15,1164.5311279296875
2016-02-16,1147.05810546875
2016-02-17,1158.54638671875
2016-02-18,1202.796875
2016-02-19,1190.1287841796875
2016-02-22,1222.8253173828125
2016-02-23,1224.0919189453125
2016-02-24,1202.7530517578125
2016-02-25,1173.2894287109375
2016-02-26,1184.864990234375
2016-02-29,1203.997802734375
2016-03-01,1241.324462890625
2016-03-02,1250.5634765625
2016-03-03,1241.3902587890625
2016-03-04,1247.2218017578125
2016-03-08,1231.4305419921875
2016-03-09,1239.620849609375
2016-03-10,1238.2452392578125
2016-03-11,1230.1419677734375
