Date,BLUEDART.NS
2015-08-21,6912.97705078125
2015-08-24,6412.0458984375
2015-08-25,6307.412109375
2015-08-26,6319.15625
2015-08-27,6531.55126953125
2015-08-28,6721.37451171875
2015-08-31,6571.3544921875
2015-09-01,6653.65625
2015-09-02,6926.7431640625
2015-09-03,6895.21875
2015-09-04,6878.70947265625
2015-09-07,6839.05029296875
2015-09-08,6672.71533203125
2015-09-09,6828.125
2015-09-10,6799.5361328125
2015-09-11,6723.78076171875
2015-09-14,6719.833984375
2015-09-15,6723.68408203125
2015-09-16,6582.376953125
2015-09-18,6809.16162109375
2015-09-21,6808.72900390625
2015-09-22,6838.376953125
2015-09-23,6831.78271484375
2015-09-24,6847.95458984375
2015-09-28,6921.3037109375
2015-09-29,6979.58935546875
2015-09-30,7210.369140625
2015-10-01,7072.76708984375
2015-10-05,7063.42919921875
2015-10-06,7159.64013671875
2015-10-07,7100.05615234375
2015-10-08,7218.744140625
2015-10-09,7200.2138671875
2015-10-12,7201.9951171875
2015-10-13,7165.80126953125
2015-10-14,7084.3671875
2015-10-15,7141.88134765625
2015-10-16,7065.54736328125
2015-10-19,7256.140625
2015-10-20,7276.64404296875
2015-10-21,7294.16259765625
2015-10-23,7350.95458984375
2015-10-26,7405.1005859375
2015-10-27,7392.9248046875
2015-10-28,7355.8642578125
2015-10-29,7339.8369140625
2015-10-30,7323.47314453125
2015-11-02,7388.111328125
2015-11-03,7312.78857421875
2015-11-04,7325.447265625
2015-11-05,7216.52978515625
2015-11-06,7165.3193359375
2015-11-09,7095.58154296875
2015-11-10,6984.978515625
2015-11-13,6843.43017578125
2015-11-16,6581.07666015625
2015-11-17,6663.85986328125
2015-11-18,6529.19384765625
2015-11-19,6656.97705078125
2015-11-20,6604.46728515625
2015-11-23,6642.63427734375
2015-11-24,6780.91064453125
2015-11-26,6877.12060546875
2015-11-27,6923.6630859375
2015-11-30,7086.5810546875
2015-12-01,7113.14794921875
2015-12-02,7066.79931640625
2015-12-03,6873.751953125
2015-12-04,6895.31396484375
2015-12-07,6882.1259765625
2015-12-08,6815.51513671875
2015-12-09,6885.25537109375
2015-12-10,6738.701171875
2015-12-11,6705.49072265625
2015-12-14,6715.88720703125
2015-12-15,6665.2548828125
2015-12-16,6607.7890625
2015-12-17,6557.68603515625
2015-12-18,6599.125
2015-12-21,6591.80908203125
2015-12-22,6504.6474609375
2015-12-23,6477.3583984375
2015-12-24,6459.8857421875
2015-12-28,6514.802734375
2015-12-29,6526.01708984375
2015-12-30,6436.15869140625
2015-12-31,6528.71240234375
2016-01-01,6518.21923828125
2016-01-04,6483.42236328125
2016-01-05,6468.59814453125
2016-01-06,6486.11767578125
2016-01-07,6449.68359375
2016-01-08,6393.7080078125
2016-01-11,6318.0009765625
2016-01-12,6085.67919921875
2016-01-13,6161.099609375
2016-01-14,6077.88330078125
2016-01-15,6119.61181640625
2016-01-18,5836.369140625
2016-01-19,6037.1181640625
2016-01-20,5776.49609375
2016-01-21,6035.4814453125
2016-01-22,6241.04150390625
2016-01-25,6125.67578125
2016-01-27,5839.49853515625
2016-01-28,5822.9892578125
2016-01-29,6053.4814453125
2016-02-01,6102.28564453125
2016-02-02,6004.7744140625
2016-02-03,5874.29638671875
2016-02-04,5993.27197265625
2016-02-05,5948.75244140625
2016-02-08,6058.96923828125
2016-02-09,6026.86572265625
2016-02-10,5922.61767578125
2016-02-11,5814.23046875
2016-02-12,5505.287109375
2016-02-15,5686.638671875
2016-02-16,5474.9169921875
2016-02-17,5473.66552734375
2016-02-18,5527.8603515625
2016-02-19,5411.72412109375
2016-02-22,5590.1884765625
2016-02-23,5579.599609375
2016-02-24,5458.0234375
2016-02-25,5412.34912109375
2016-02-26,5385.0595703125
2016-02-29,5149.12890625
2016-03-01,5388.09228515625
2016-03-02,5380.873046875
2016-03-03,5484.302734375
2016-03-04,5376.2529296875
2016-03-08,5540.61474609375
2016-03-09,5393.4814453125
2016-03-10,5389.29541015625
2016-03-11,5502.880859375
2016-03-14,5569.828125
2016-03-15,5380.728515625
2016-03-16,5373.79736328125
2016-03-17,5351.94677734375
2016-03-18,5279.607421875
2016-03-21,5837.236328125
2016-03-22,5973.0576171875
2016-03-23,5949.3779296875
2016-03-28,5979.6513671875
2016-03-29,5771.009765625
2016-03-30,5880.2158203125
2016-03-31,5823.6630859375
2016-04-01,5904.376953125
2016-04-04,5984.80126953125
2016-04-05,5961.36083984375
2016-04-06,5947.69287109375
2016-04-07,5878.001953125
2016-04-08,5916.2646484375
2016-04-11,6011.560546875
2016-04-12,6077.16162109375
2016-04-13,6124.85693359375
2016-04-18,6015.4111328125
2016-04-20,5964.87548828125
2016-04-21,5754.6943359375
