Date,ALKEM.NS
2015-12-23,1270.01904296875
2015-12-24,1400.58740234375
2015-12-28,1349.7113037109375
2015-12-29,1347.09130859375
2015-12-30,1340.3817138671875
2015-12-31,1365.19921875
2016-01-01,1381.6063232421875
2016-01-04,1406.469970703125
2016-01-05,1440.98486328125
2016-01-06,1403.574462890625
2016-01-07,1348.745849609375
2016-01-08,1357.7998046875
2016-01-11,1356.4212646484375
2016-01-12,1355.1343994140625
2016-01-13,1301.3167724609375
2016-01-14,1319.746337890625
2016-01-15,1315.931640625
2016-01-18,1235.917724609375
2016-01-19,1222.865966796875
2016-01-20,1215.8798828125
2016-01-21,1257.977783203125
2016-01-22,1256.3233642578125
2016-01-25,1247.177734375
2016-01-27,1231.22998046875
2016-01-28,1240.97314453125
2016-01-29,1248.97021484375
2016-02-01,1262.4356689453125
2016-02-02,1261.7464599609375
2016-02-03,1262.2979736328125
2016-02-04,1238.58349609375
2016-02-05,1229.8968505859375
2016-02-08,1216.38525390625
2016-02-09,1230.2191162109375
2016-02-10,1214.133544921875
2016-02-11,1172.6787109375
2016-02-12,1213.076416015625
2016-02-15,1208.664306640625
2016-02-16,1203.74658203125
2016-02-17,1211.3758544921875
2016-02-18,1202.8277587890625
2016-02-19,1204.4359130859375
2016-02-22,1178.0098876953125
2016-02-23,1204.114501953125
2016-02-24,1175.7119140625
2016-02-25,1169.3238525390625
2016-02-26,1176.1258544921875
2016-02-29,1162.4298095703125
2016-03-01,1208.8941650390625
2016-03-02,1195.9337158203125
2016-03-03,1201.494873046875
2016-03-04,1205.3094482421875
2016-03-08,1234.0794677734375
2016-03-09,1236.9749755859375
2016-03-10,1239.2264404296875
2016-03-11,1256.6910400390625
2016-03-14,1244.557861328125
2016-03-15,1246.580322265625
2016-03-16,1246.6260986328125
2016-03-17,1241.662353515625
2016-03-18,1272.9554443359375
2016-03-21,1250.134033203125
2016-03-22,1261.428955078125
2016-03-23,1255.225830078125
2016-03-28,1284.38916015625
2016-03-29,1305.7293701171875
2016-03-30,1269.3907470703125
2016-03-31,1255.82763671875
2016-04-01,1229.071533203125
2016-04-04,1254.62451171875
2016-04-05,1234.487548828125
2016-04-06,1215.970947265625
2016-04-07,1238.5611572265625
2016-04-08,1241.43115234375
2016-04-11,1230.9229736328125
2016-04-12,1234.950439453125
2016-04-13,1239.672119140625
2016-04-18,1182.086181640625
2016-04-20,1178.6607666015625
2016-04-21,1149.9139404296875
2016-04-22,1142.2760009765625
2016-04-25,1135.702392578125
2016-04-26,1131.166015625
2016-04-27,1121.583984375
2016-04-28,1103.6690673828125
2016-04-29,1102.6048583984375
2016-05-02,1156.6260986328125
2016-05-03,1137.3690185546875
2016-05-04,1134.5452880859375
2016-05-05,1150.3770751953125
2016-05-06,1152.8302001953125
2016-05-09,1155.1912841796875
2016-05-10,1136.2120361328125
2016-05-11,1115.1495361328125
2016-05-12,1108.0670166015625
2016-05-13,1098.4384765625
2016-05-16,1106.030029296875
2016-05-17,1104.271240234375
2016-05-18,1130.240234375
2016-05-19,1136.0272216796875
