Date,CON.DE
2015-08-24,124.27269744873047
2015-08-25,129.17282104492188
2015-08-26,128.25404357910156
2015-08-27,131.31661987304688
2015-08-28,130.4999237060547
2015-08-31,128.9346160888672
2015-09-01,126.48455810546875
2015-09-02,125.5317611694336
2015-09-03,130.5679931640625
2015-09-04,126.9949951171875
2015-09-07,128.1859893798828
2015-09-08,131.0784454345703
2015-09-09,132.26942443847656
2015-09-10,131.6909637451172
2015-09-11,130.8061981201172
2015-09-14,130.32981872558594
2015-09-15,131.55484008789062
2015-09-16,133.12014770507812
2015-09-17,133.83474731445312
2015-09-18,130.8061981201172
2015-09-21,126.41649627685547
2015-09-22,122.36711120605469
2015-09-23,123.2518310546875
2015-09-24,119.33853149414062
2015-09-25,124.61299133300781
2015-09-28,121.51639556884766
2015-09-29,124.54493713378906
2015-09-30,129.37701416015625
2015-10-01,130.0235595703125
2015-10-02,131.2485809326172
2015-10-05,132.7117919921875
2015-10-06,134.75350952148438
2015-10-07,135.8424530029297
2015-10-08,136.11468505859375
2015-10-09,139.34738159179688
2015-10-12,139.0411376953125
2015-10-13,136.76124572753906
2015-10-14,134.3451690673828
2015-10-15,136.96539306640625
2015-10-16,137.20359802246094
2015-10-19,137.8161163330078
2015-10-20,138.70086669921875
2015-10-21,141.79745483398438
2015-10-22,145.2683868408203
2015-10-23,150.3386688232422
2015-10-26,148.12681579589844
2015-10-27,146.73162841796875
2015-10-28,147.82054138183594
2015-10-29,146.9017333984375
2015-10-30,148.8413848876953
2015-11-02,151.25741577148438
2015-11-03,151.52964782714844
2015-11-04,148.9434814453125
2015-11-05,150.64491271972656
2015-11-06,152.5164794921875
2015-11-09,144.45169067382812
2015-11-10,146.96981811523438
2015-11-11,146.7996826171875
2015-11-12,145.2683868408203
2015-11-13,145.0301971435547
2015-11-16,145.40451049804688
2015-11-17,149.69210815429688
2015-11-18,148.7052764892578
2015-11-19,150.40672302246094
2015-11-20,150.50880432128906
2015-11-23,150.8831024169922
2015-11-24,147.48025512695312
2015-11-25,150.5428466796875
2015-11-26,152.55050659179688
2015-11-27,153.50332641601562
2015-11-30,155.64712524414062
2015-12-01,154.0477752685547
2015-12-02,154.21791076660156
2015-12-03,150.5428466796875
2015-12-04,152.1421661376953
2015-12-07,154.422119140625
2015-12-08,151.80189514160156
2015-12-09,151.3254852294922
2015-12-10,150.8831024169922
2015-12-11,145.77880859375
2015-12-14,143.83917236328125
2015-12-15,148.36500549316406
2015-12-16,149.31781005859375
2015-12-17,151.8699188232422
2015-12-18,150.47476196289062
2015-12-21,150.8831024169922
2015-12-22,150.3726806640625
2015-12-23,153.46929931640625
2015-12-25,153.46929931640625
2015-12-28,151.665771484375
2015-12-29,154.83042907714844
2015-12-30,152.82275390625
2016-01-04,146.52743530273438
2016-01-05,147.44622802734375
2016-01-06,142.78428649902344
2016-01-07,139.31333923339844
2016-01-08,138.020263671875
2016-01-11,136.99942016601562
2016-01-12,139.65365600585938
2016-01-13,136.65914916992188
2016-01-14,133.56251525878906
2016-01-15,130.32981872558594
2016-01-18,131.2825927734375
2016-01-19,132.30348205566406
2016-01-20,128.7985076904297
2016-01-21,132.03121948242188
2016-01-22,133.90280151367188
2016-01-25,133.46041870117188
2016-01-26,134.4132537841797
2016-01-27,135.8424530029297
2016-01-28,131.6909637451172
2016-01-29,131.0784454345703
2016-02-01,129.7853546142578
2016-02-02,128.1179656982422
2016-02-03,127.57349395751953
2016-02-04,125.08939361572266
2016-02-05,125.08939361572266
2016-02-08,122.2309799194336
2016-02-09,122.06082153320312
2016-02-10,124.68103790283203
2016-02-11,120.6656494140625
2016-02-12,121.78860473632812
2016-02-15,125.46369171142578
2016-02-16,124.3747787475586
2016-02-17,127.36930847167969
2016-02-18,126.8588638305664
2016-02-19,127.70958709716797
2016-02-22,129.44505310058594
2016-02-23,127.3012466430664
2016-02-24,121.48236083984375
2016-02-25,121.75457763671875
2016-02-26,123.66020202636719
2016-02-29,125.63384246826172
2016-03-01,130.32981872558594
2016-03-02,131.2485809326172
2016-03-03,137.37374877929688
2016-03-04,134.88963317871094
2016-03-07,134.4813232421875
2016-03-08,132.33750915527344
2016-03-09,132.74583435058594
2016-03-10,125.80398559570312
2016-03-11,130.15966796875
2016-03-14,132.20138549804688
2016-03-15,130.9423370361328
2016-03-16,133.83474731445312
2016-03-17,131.55484008789062
2016-03-18,133.15419006347656
2016-03-21,133.4944610595703
2016-03-22,133.52847290039062
2016-03-23,134.4813232421875
2016-03-24,131.65692138671875
2016-03-29,132.60971069335938
2016-03-30,136.5230255126953
2016-03-31,136.11468505859375
2016-04-01,132.54164123535156
2016-04-04,130.84022521972656
2016-04-05,124.34075927734375
2016-04-06,124.71507263183594
2016-04-07,123.1157455444336
2016-04-08,123.86436462402344
2016-04-11,125.36160278320312
2016-04-12,127.33528900146484
2016-04-13,132.40554809570312
2016-04-14,132.30348205566406
2016-04-15,130.32981872558594
2016-04-18,131.99720764160156
2016-04-19,135.87648010253906
2016-04-20,135.161865234375
2016-04-21,133.59657287597656
2016-04-22,132.20138549804688
2016-04-25,131.99720764160156
2016-04-26,131.55484008789062
2016-04-27,132.16732788085938
2016-04-28,133.3583526611328
2016-04-29,130.53396606445312
2016-05-02,132.79075622558594
2016-05-03,129.5901641845703
2016-05-04,129.2074432373047
2016-05-05,127.328857421875
2016-05-06,128.40731811523438
2016-05-09,128.8247833251953
2016-05-10,131.0513153076172
2016-05-11,130.1815948486328
2016-05-12,129.83367919921875
2016-05-13,132.30372619628906
2016-05-17,127.64195251464844
