Date,DALBHARAT.NS
2018-12-21,1102.48828125
2018-12-24,1047.3663330078125
2018-12-26,1079.2685546875
2018-12-27,1054.6341552734375
2018-12-28,1072.9757080078125
2018-12-31,1073.0247802734375
2019-01-01,1066.3905029296875
2019-01-02,1054.6341552734375
2019-01-03,1054.000244140625
2019-01-04,1063.4151611328125
2019-01-07,1063.4151611328125
2019-01-08,1063.4151611328125
2019-01-09,1063.4151611328125
2019-01-10,1063.4151611328125
2019-01-11,1063.4151611328125
2019-01-14,1063.4151611328125
2019-01-15,1063.4151611328125
2019-01-16,1063.4151611328125
2019-01-17,1063.4151611328125
2019-01-18,1063.4151611328125
2019-01-21,1063.4151611328125
2019-01-22,1063.4151611328125
2019-01-23,880.975830078125
2019-01-24,925.0245361328125
2019-01-25,971.2684936523438
2019-01-28,1019.8052978515625
2019-01-29,1014.6343994140625
2019-01-30,1008.975830078125
2019-01-31,1006.1953125
2019-02-01,1021.7076416015625
2019-02-04,1019.0736694335938
2019-02-05,1021.658935546875
2019-02-06,1024.390625
2019-02-07,1092.29296875
2019-02-08,1071.4635009765625
2019-02-11,1060.87841796875
2019-02-12,1053.2196044921875
2019-02-14,1041.95166015625
2019-02-15,1041.2197265625
2019-02-18,1024.82958984375
2019-02-19,1050.63427734375
2019-02-20,1051.2684326171875
2019-02-21,1101.561279296875
2019-02-22,1115.6099853515625
2019-02-25,1137.3662109375
2019-02-26,1146.9271240234375
2019-02-27,1184.7806396484375
2019-02-28,1125.0736083984375
2019-03-01,1143.2198486328125
2019-03-05,1156.9271240234375
2019-03-06,1149.4149169921875
2019-03-07,1110.439208984375
2019-03-08,1105.0732421875
2019-03-11,1121.1708984375
2019-03-12,1123.512451171875
2019-03-13,1127.122314453125
2019-03-14,1097.4150390625
2019-03-15,1085.5125732421875
2019-03-18,1015.0733032226562
2019-03-19,985.2685546875
2019-03-20,996.8783569335938
2019-03-22,991.1710205078125
2019-03-25,966.3904418945312
2019-03-26,966.2929077148438
2019-03-27,963.3660278320312
2019-03-28,965.2685546875
2019-04-01,965.8539428710938
2019-04-02,1047.073486328125
2019-04-03,1080.82958984375
2019-04-04,1116.341796875
2019-04-05,1087.9027099609375
2019-04-08,1062.6343994140625
2019-04-09,1042.4393310546875
2019-04-10,1037.3662109375
2019-04-11,1087.7076416015625
2019-04-12,1074.7318115234375
