Date,YUM
2015-08-03,52.54009246826172
2015-08-04,52.761451721191406
2015-08-05,53.269981384277344
2015-08-06,52.51017379760742
2015-08-07,52.41444778442383
2015-08-10,52.54009246826172
2015-08-11,49.979488372802734
2015-08-12,48.268428802490234
2015-08-13,50.135047912597656
2015-08-14,50.0094108581543
2015-08-17,50.870914459228516
2015-08-18,50.37434768676758
2015-08-19,51.505088806152344
2015-08-20,48.95047378540039
2015-08-21,47.68213653564453
2015-08-24,46.180477142333984
2015-08-25,45.52835464477539
2015-08-26,47.670169830322266
2015-08-27,49.21969223022461
2015-08-28,48.95047378540039
2015-08-31,47.72401809692383
2015-09-01,47.32316589355469
2015-09-02,48.02313995361328
2015-09-03,47.99324035644531
2015-09-04,47.197540283203125
2015-09-08,48.91456985473633
2015-09-09,48.47184753417969
2015-09-10,47.80179214477539
2015-09-11,48.71714782714844
2015-09-14,48.42997360229492
2015-09-15,49.30943298339844
2015-09-16,49.69831466674805
2015-09-17,49.638484954833984
2015-09-18,47.95136260986328
2015-09-21,48.118873596191406
2015-09-22,47.442832946777344
2015-09-23,47.215476989746094
2015-09-24,46.85651779174805
2015-09-25,47.0240364074707
2015-09-28,45.468544006347656
2015-09-29,45.55827331542969
2015-09-30,47.831695556640625
2015-10-01,47.783851623535156
2015-10-02,48.81884765625
2015-10-05,49.686336517333984
2015-10-06,49.90769577026367
2015-10-07,40.508880615234375
2015-10-08,40.35930633544922
2015-10-09,42.028472900390625
2015-10-12,42.3814582824707
2015-10-13,41.866947174072266
2015-10-14,41.300846099853516
2015-10-15,41.71640396118164
2015-10-16,43.45682907104492
2015-10-19,43.185829162597656
2015-10-20,43.980770111083984
2015-10-21,44.29996109008789
2015-10-22,43.769989013671875
2015-10-23,43.896461486816406
2015-10-26,44.6733283996582
2015-10-27,44.065093994140625
2015-10-28,43.944637298583984
2015-10-29,43.667606353759766
2015-10-30,42.70405197143555
2015-11-02,43.25810241699219
2015-11-03,43.48694610595703
2015-11-04,43.08344268798828
2015-11-05,42.860633850097656
2015-11-06,42.902767181396484
2015-11-09,41.55379104614258
2015-11-10,41.409263610839844
2015-11-11,41.21654510498047
2015-11-12,40.42159652709961
2015-11-13,41.83682632446289
2015-11-16,41.44538879394531
2015-11-17,42.11989212036133
2015-11-18,42.830501556396484
2015-11-19,43.16777038574219
2015-11-20,43.818172454833984
2015-11-23,43.77602005004883
2015-11-24,43.589317321777344
2015-11-25,43.715797424316406
2015-11-27,43.93861770629883
2015-11-30,43.667606353759766
2015-12-01,44.854007720947266
2015-12-02,45.137054443359375
2015-12-03,44.040992736816406
2015-12-04,45.85371017456055
2015-12-07,46.01631546020508
