Date,CHENNPETRO.NS
2015-08-21,196.48829650878906
2015-08-24,168.95587158203125
2015-08-25,174.07456970214844
2015-08-26,174.1133575439453
2015-08-27,180.97708129882812
2015-08-28,181.17095947265625
2015-08-31,179.07693481445312
2015-09-01,170.54579162597656
2015-09-02,176.2073516845703
2015-09-03,177.6809539794922
2015-09-04,168.76199340820312
2015-09-07,155.65499877929688
2015-09-08,154.84066772460938
2015-09-09,174.7338104248047
2015-09-10,174.3848114013672
2015-09-11,173.95826721191406
2015-09-14,171.5152130126953
2015-09-15,167.90887451171875
2015-09-16,167.5598907470703
2015-09-18,169.5763397216797
2015-09-21,172.60101318359375
2015-09-22,174.0358123779297
2015-09-23,176.05224609375
2015-09-24,174.57870483398438
2015-09-28,175.23789978027344
2015-09-29,173.72557067871094
2015-09-30,172.87246704101562
2015-10-01,170.7008819580078
2015-10-05,173.06634521484375
2015-10-06,183.42007446289062
2015-10-07,186.87132263183594
2015-10-08,181.90774536132812
2015-10-09,180.31784057617188
2015-10-12,176.86660766601562
2015-10-13,178.26260375976562
2015-10-14,175.78082275390625
2015-10-15,174.19091796875
2015-10-16,173.99703979492188
2015-10-19,180.24029541015625
2015-10-20,180.74441528320312
2015-10-21,179.73617553710938
2015-10-23,180.35662841796875
2015-10-26,176.1685791015625
2015-10-27,178.1462860107422
2015-10-28,180.5892791748047
2015-10-29,182.21795654296875
2015-10-30,166.35775756835938
2015-11-02,162.0146026611328
2015-11-03,169.53756713867188
2015-11-04,166.35775756835938
2015-11-05,151.42820739746094
2015-11-06,147.5504150390625
2015-11-09,150.38121032714844
2015-11-10,147.04629516601562
2015-11-13,143.05213928222656
2015-11-16,141.34591674804688
2015-11-17,137.70077514648438
2015-11-18,139.32945251464844
2015-11-19,137.62322998046875
2015-11-20,135.1414337158203
2015-11-23,130.5656280517578
2015-11-24,142.16026306152344
2015-11-26,150.1873016357422
2015-11-27,149.68321228027344
2015-11-30,152.00985717773438
2015-12-01,157.8265838623047
2015-12-02,156.7795867919922
2015-12-03,148.7137451171875
2015-12-04,156.0815887451172
2015-12-07,156.5081329345703
2015-12-08,150.84654235839844
2015-12-09,151.6996612548828
2015-12-10,152.6691131591797
2015-12-11,151.04042053222656
2015-12-14,156.5081329345703
2015-12-15,153.44467163085938
2015-12-16,154.25901794433594
2015-12-17,158.33070373535156
2015-12-18,161.7431640625
2015-12-21,162.79019165039062
2015-12-22,161.78195190429688
2015-12-23,161.27781677246094
2015-12-24,160.3859405517578
2015-12-28,159.3389434814453
2015-12-29,156.46937561035156
2015-12-30,156.04278564453125
2015-12-31,155.49989318847656
2016-01-01,156.7407989501953
2016-01-04,155.53866577148438
2016-01-05,153.98753356933594
2016-01-06,159.37771606445312
2016-01-07,157.8265838623047
2016-01-08,159.14501953125
2016-01-11,157.16737365722656
2016-01-12,158.64089965820312
2016-01-13,152.12620544433594
2016-01-14,155.49989318847656
2016-01-15,151.04042053222656
2016-01-18,140.18258666992188
2016-01-19,138.63145446777344
2016-01-20,140.26016235351562
2016-01-21,144.5644989013672
2016-01-22,145.7278594970703
2016-01-25,146.77484130859375
2016-01-27,145.65028381347656
2016-01-28,142.93580627441406
2016-01-29,144.40939331054688
2016-02-01,143.32359313964844
2016-02-02,140.76425170898438
2016-02-03,139.4845733642578
2016-02-04,135.1414337158203
2016-02-05,131.84530639648438
2016-02-08,131.3799591064453
2016-02-09,131.4962921142578
2016-02-10,130.83706665039062
2016-02-11,112.1848373413086
2016-02-12,121.87934112548828
2016-02-15,127.15316009521484
2016-02-16,122.49979400634766
2016-02-17,138.94168090820312
2016-02-18,137.23544311523438
2016-02-19,135.18020629882812
2016-02-22,139.13555908203125
2016-02-23,135.45166015625
2016-02-24,132.77597045898438
2016-02-25,138.20489501953125
2016-02-26,132.07797241210938
2016-02-29,133.6290740966797
