Date,BANKBEES.NS
2015-08-03,190.55999755859375
2015-08-04,191.23300170898438
2015-08-05,190.5050048828125
2015-08-06,191.60699462890625
2015-08-07,190.30099487304688
2015-08-10,190.6219940185547
2015-08-11,187.80599975585938
2015-08-12,182.01199340820312
2015-08-13,182.9429931640625
2015-08-14,188.86900329589844
2015-08-17,189.40499877929688
2015-08-18,189.08200073242188
2015-08-19,188.1540069580078
2015-08-20,184.5800018310547
2015-08-21,182.32200622558594
2015-08-24,170.04100036621094
2015-08-25,173.46400451660156
2015-08-26,171.61000061035156
2015-08-27,173.75399780273438
2015-08-28,174.1439971923828
2015-08-31,173.45199584960938
2015-09-01,167.6999969482422
2015-09-02,164.85299682617188
2015-09-03,167.34800720214844
2015-09-04,163.81399536132812
2015-09-07,160.04400634765625
2015-09-08,165.3719940185547
2015-09-09,167.13699340820312
2015-09-10,167.6439971923828
2015-09-11,167.35400390625
2015-09-14,170.18899536132812
2015-09-15,169.26699829101562
2015-09-16,171.00999450683594
2015-09-18,175.32000732421875
2015-09-21,176.80499267578125
2015-09-22,170.8000030517578
2015-09-23,174.2480010986328
2015-09-24,174.0189971923828
2015-09-28,172.8159942626953
2015-09-29,174.21099853515625
2015-09-30,173.7220001220703
2015-10-01,172.91799926757812
2015-10-05,177.8459930419922
2015-10-06,177.48500061035156
2015-10-07,177.47000122070312
2015-10-08,176.0749969482422
2015-10-09,177.50599670410156
2015-10-12,176.91600036621094
2015-10-13,177.01499938964844
2015-10-14,176.67999267578125
2015-10-15,178.0850067138672
2015-10-16,181.01400756835938
2015-10-19,179.86399841308594
2015-10-20,179.7209930419922
2015-10-21,178.13600158691406
2015-10-23,180.1479949951172
2015-10-26,179.3780059814453
2015-10-27,179.64300537109375
2015-10-28,175.4550018310547
2015-10-29,174.22500610351562
2015-10-30,174.66000366210938
2015-11-02,174.41299438476562
2015-11-03,174.49099731445312
2015-11-04,173.48699951171875
2015-11-05,171.31700134277344
2015-11-06,172.38800048828125
2015-11-09,171.71499633789062
2015-11-10,169.77099609375
2015-11-13,170.18099975585938
2015-11-16,172.89199829101562
2015-11-17,172.44500732421875
2015-11-18,169.0449981689453
2015-11-19,171.69200134277344
2015-11-20,171.55599975585938
2015-11-23,171.53599548339844
2015-11-24,170.6439971923828
2015-11-26,171.82000732421875
2015-11-27,174.5679931640625
2015-11-30,175.2469940185547
2015-12-01,175.02099609375
2015-12-02,173.4340057373047
2015-12-03,172.4669952392578
2015-12-04,169.68499755859375
2015-12-07,170.7830047607422
2015-12-08,169.01400756835938
2015-12-09,167.83999633789062
2015-12-10,167.86000061035156
2015-12-11,164.56900024414062
2015-12-14,164.74899291992188
2015-12-15,165.6820068359375
2015-12-16,166.62600708007812
2015-12-17,168.27099609375
2015-12-18,167.19200134277344
2015-12-21,168.84500122070312
2015-12-22,168.0959930419922
2015-12-23,169.11900329589844
2015-12-24,169.61199951171875
2015-12-28,170.43299865722656
2015-12-29,170.58099365234375
2015-12-30,169.8719940185547
2015-12-31,170.25999450683594
2016-01-01,171.3470001220703
2016-01-04,167.2949981689453
2016-01-05,166.81399536132812
2016-01-06,165.12399291992188
2016-01-07,161.97999572753906
2016-01-08,162.26800537109375
2016-01-11,161.52099609375
2016-01-12,159.21800231933594
2016-01-13,160.38099670410156
2016-01-14,157.13099670410156
2016-01-15,154.15699768066406
2016-01-18,151.61399841308594
2016-01-19,153.56399536132812
2016-01-20,150.22500610351562
2016-01-21,151.65499877929688
2016-01-22,156.0279998779297
2016-01-25,156.2779998779297
2016-01-27,156.18699645996094
2016-01-28,155.4290008544922
2016-01-29,156.16299438476562
2016-02-01,154.68499755859375
2016-02-02,152.22000122070312
2016-02-03,149.54299926757812
2016-02-04,150.00900268554688
2016-02-05,152.76300048828125
2016-02-08,151.45599365234375
2016-02-09,149.98399353027344
2016-02-10,147.11700439453125
2016-02-11,141.36399841308594
2016-02-12,141.3470001220703
2016-02-15,145.7949981689453
2016-02-16,142.50100708007812
2016-02-17,142.76199340820312
2016-02-18,143.97900390625
2016-02-19,144.38499450683594
2016-02-22,144.5970001220703
2016-02-23,141.2519989013672
2016-02-24,139.25599670410156
2016-02-25,136.99099731445312
2016-02-26,139.60800170898438
2016-02-29,140.80499267578125
2016-03-01,145.1929931640625
2016-03-02,151.9219970703125
2016-03-03,152.718994140625
2016-03-04,154.8179931640625
2016-03-08,152.6790008544922
2016-03-09,154.46400451660156
2016-03-10,153.5749969482422
2016-03-11,152.94000244140625
2016-03-14,154.2790069580078
2016-03-15,154.6280059814453
2016-03-16,155.39199829101562
2016-03-17,154.47000122070312
2016-03-18,157.16600036621094
2016-03-21,160.1230010986328
2016-03-22,160.25100708007812
2016-03-23,159.56700134277344
2016-03-28,156.97999572753906
2016-03-29,157.2480010986328
2016-03-30,162.06900024414062
2016-03-31,162.53599548339844
