Date,GUAR3.SA
2015-08-24,4.647467613220215
2015-08-25,4.690589904785156
2015-08-26,4.704309940338135
2015-08-27,4.899343967437744
2015-08-28,4.9395270347595215
2015-08-31,4.704309940338135
2015-09-01,4.7111711502075195
2015-09-02,4.6092448234558105
2015-09-03,4.7533135414123535
2015-09-04,4.7533135414123535
2015-09-08,4.607284069061279
2015-09-09,4.614145278930664
2015-09-10,4.663148403167725
2015-09-11,4.850341320037842
2015-09-14,4.696990489959717
2015-09-15,4.8661627769470215
2015-09-16,4.760679721832275
2015-09-17,4.767645835876465
2015-09-18,4.983588695526123
2015-09-21,4.846260070800781
2015-09-22,4.79650354385376
2015-09-23,4.537771224975586
2015-09-24,4.726845741271973
2015-09-25,4.767645835876465
2015-09-28,4.677089214324951
2015-09-29,4.696990489959717
2015-09-30,4.8761138916015625
2015-10-01,4.806454658508301
2015-10-02,4.8781046867370605
2015-10-05,5.22938346862793
2015-10-06,5.46224308013916
2015-10-07,5.960801601409912
2015-10-08,5.940898895263672
2015-10-09,5.970752239227295
2015-10-13,5.841385364532471
2015-10-14,5.756799221038818
2015-10-15,5.572700500488281
2015-10-16,5.532897472381592
2015-10-19,5.498066425323486
2015-10-20,5.473188400268555
2015-10-21,5.373678207397461
2015-10-22,5.274163722991943
2015-10-23,5.274163722991943
2015-10-26,4.986572265625
2015-10-27,4.960699081420898
2015-10-28,5.004485607147217
2015-10-29,4.845265865325928
2015-10-30,4.826358318328857
2015-11-03,4.777596950531006
2015-11-04,4.776601314544678
2015-11-05,4.757692813873291
2015-11-06,4.706943035125732
2015-11-09,4.74774169921875
2015-11-10,4.7945122718811035
2015-11-11,4.691020488739014
2015-11-12,4.706943035125732
2015-11-13,4.74774169921875
2015-11-16,4.768640518188477
2015-11-17,4.826358318328857
2015-11-18,4.677089214324951
2015-11-19,4.801479339599609
2015-11-23,4.776601314544678
2015-11-24,4.736797332763672
2015-11-25,4.8562116622924805
2015-11-26,4.935821056365967
2015-11-27,4.915919303894043
2015-11-30,4.960699081420898
2015-12-01,4.945773124694824
