Date,MPHASIS.NS
2015-08-21,316.55224609375
2015-08-24,306.4863586425781
2015-08-25,322.81732177734375
2015-08-26,317.0762939453125
2015-08-27,321.6923828125
2015-08-28,327.08428955078125
2015-08-31,328.1316833496094
2015-09-01,325.8429870605469
2015-09-02,327.1230773925781
2015-09-03,329.3341979980469
2015-09-04,316.49444580078125
2015-09-07,308.42596435546875
2015-09-08,313.4299621582031
2015-09-09,315.3307189941406
2015-09-10,314.6712341308594
2015-09-11,315.7961730957031
2015-09-14,314.59368896484375
2015-09-15,313.3524169921875
2015-09-16,308.5423278808594
2015-09-18,315.6410217285156
2015-09-21,311.2576599121094
2015-09-22,315.6798400878906
2015-09-23,315.6410217285156
2015-09-24,315.175537109375
2015-09-28,315.9125671386719
2015-09-29,314.43853759765625
2015-09-30,318.27880859375
2015-10-01,317.8133544921875
2015-10-05,322.8561096191406
2015-10-06,321.3044738769531
2015-10-07,317.15386962890625
2015-10-08,318.7442932128906
2015-10-09,322.2354736328125
2015-10-12,318.00726318359375
2015-10-13,316.5332336425781
2015-10-14,310.3654479980469
2015-10-15,315.7185974121094
2015-10-16,321.11053466796875
2015-10-19,328.09283447265625
2015-10-20,323.6319274902344
2015-10-21,356.2162170410156
2015-10-23,349.3502502441406
2015-10-26,352.7638854980469
2015-10-27,349.5829772949219
2015-10-28,349.81573486328125
2015-10-29,400.6317138671875
2015-10-30,368.0474853515625
2015-11-02,387.4429016113281
2015-11-03,381.58544921875
2015-11-04,374.48675537109375
2015-11-05,375.88311767578125
2015-11-06,369.3275146484375
2015-11-09,378.482177734375
2015-11-10,368.2801818847656
2015-11-13,378.171875
2015-11-16,398.8473205566406
2015-11-17,399.817138671875
2015-11-18,396.44232177734375
2015-11-19,393.68817138671875
2015-11-20,387.0162048339844
2015-11-23,394.50274658203125
2015-11-24,399.93353271484375
2015-11-26,391.1667785644531
2015-11-27,390.62371826171875
2015-11-30,385.5809326171875
2015-12-01,387.9082946777344
2015-12-02,386.9386291503906
2015-12-03,386.7834167480469
2015-12-04,373.86602783203125
2015-12-07,372.4307861328125
2015-12-08,364.01318359375
2015-12-09,371.73260498046875
2015-12-10,370.56890869140625
2015-12-11,367.0000915527344
2015-12-14,370.14215087890625
2015-12-15,373.3617858886719
2015-12-16,369.63787841796875
2015-12-17,385.42572021484375
2015-12-18,387.09375
2015-12-21,380.8872375488281
2015-12-22,382.36126708984375
2015-12-23,383.8352966308594
2015-12-24,381.3526611328125
2015-12-28,381.85699462890625
2015-12-29,379.5683288574219
2015-12-30,386.24029541015625
2015-12-31,386.0075988769531
2016-01-01,385.07659912109375
2016-01-04,385.8135986328125
2016-01-05,381.4303283691406
2016-01-06,370.6464538574219
2016-01-07,355.6343688964844
2016-01-08,363.8192443847656
2016-01-11,363.04345703125
2016-01-12,365.87518310546875
2016-01-13,347.56591796875
2016-01-14,361.4918518066406
2016-01-15,356.1386413574219
2016-01-18,347.3719177246094
2016-01-19,349.85455322265625
2016-01-20,347.4883117675781
2016-01-21,351.5225524902344
2016-01-22,352.5310974121094
2016-01-25,354.6258239746094
2016-01-27,349.93212890625
2016-01-28,349.97088623046875
2016-01-29,353.8887634277344
2016-02-01,351.1346435546875
2016-02-02,350.28125
2016-02-03,339.07073974609375
2016-02-04,350.1260070800781
2016-02-05,340.9714660644531
2016-02-08,343.99713134765625
2016-02-09,338.9155578613281
2016-02-10,333.87274169921875
2016-02-11,333.1744384765625
2016-02-12,335.5795593261719
2016-02-15,341.0102233886719
2016-02-16,322.54583740234375
2016-02-17,326.3085021972656
2016-02-18,344.0746765136719
2016-02-19,327.0455322265625
2016-02-22,327.7825622558594
2016-02-23,336.74322509765625
2016-02-24,341.08782958984375
2016-02-25,328.2868347167969
2016-02-26,328.4420166015625
2016-02-29,326.3085021972656
2016-03-01,341.7860412597656
2016-03-02,336.5881042480469
2016-03-03,343.1049499511719
2016-03-04,333.0193176269531
2016-03-08,344.3462219238281
2016-03-09,346.6736755371094
2016-03-10,346.6348876953125
2016-03-11,347.6822204589844
2016-03-14,350.3976135253906
2016-03-15,355.8670959472656
2016-03-16,363.0821838378906
2016-03-17,381.895751953125
2016-03-18,381.31390380859375
2016-03-21,356.1386413574219
2016-03-22,363.6252746582031
2016-03-23,388.68414306640625
2016-03-28,384.9990234375
2016-03-29,396.5975341796875
2016-03-30,391.6710510253906
2016-03-31,381.546630859375
2016-04-01,363.3537292480469
2016-04-04,352.7638854980469
2016-04-05,355.2852478027344
2016-04-06,357.3411560058594
2016-04-07,360.2117004394531
2016-04-08,366.80615234375
2016-04-11,380.1889953613281
2016-04-12,380.26654052734375
2016-04-13,380.49932861328125
2016-04-18,393.1451416015625
2016-04-20,387.0549621582031
2016-04-21,382.51641845703125
2016-04-22,380.0726318359375
2016-04-25,379.7234802246094
2016-04-26,380.1889953613281
2016-04-27,384.029296875
2016-04-28,383.8352966308594
2016-04-29,379.5683288574219
2016-05-02,376.7365417480469
2016-05-03,378.9088439941406
2016-05-04,373.0514831542969
2016-05-05,373.5557861328125
2016-05-06,368.784423828125
2016-05-09,369.28875732421875
2016-05-10,366.3406066894531
2016-05-11,361.72454833984375
2016-05-12,363.78045654296875
2016-05-13,358.8152160644531
2016-05-16,359.7849426269531
2016-05-17,358.62127685546875
2016-05-18,361.9960632324219
2016-05-19,360.83233642578125
2016-05-20,361.9960632324219
2016-05-23,372.624755859375
2016-05-24,366.22430419921875
2016-05-25,369.28875732421875
2016-05-26,367.9698791503906
2016-05-27,381.58544921875
2016-05-30,392.7572021484375
2016-05-31,406.721923828125
2016-06-01,416.57476806640625
2016-06-02,427.3586120605469
2016-06-03,434.0306396484375
2016-06-06,431.8971862792969
2016-06-07,431.9747619628906
2016-06-08,427.6302185058594
2016-06-09,433.91424560546875
2016-06-10,415.5274353027344
2016-06-13,403.0755920410156
2016-06-14,403.1532287597656
2016-06-15,405.4029846191406
2016-06-16,408.5838928222656
2016-06-17,420.104736328125
2016-06-20,416.3420715332031
2016-06-21,423.5183410644531
2016-06-22,428.0569152832031
2016-06-23,425.92340087890625
2016-06-24,425.5742492675781
2016-06-27,461.4945373535156
2016-06-28,443.0688781738281
2016-06-29,450.1676025390625
2016-06-30,444.89208984375
