Date,CRH.L
2015-08-24,1730.55712890625
2015-08-25,1799.3409423828125
2015-08-26,1794.356201171875
2015-08-27,1887.0645751953125
2015-08-28,1915.9739990234375
2015-09-01,1874.10546875
2015-09-02,1851.1778564453125
2015-09-03,1868.12451171875
2015-09-04,1843.2032470703125
2015-09-07,1869.1212158203125
2015-09-08,1909.992919921875
2015-09-09,1936.9080810546875
2015-09-10,1913.1656494140625
2015-09-11,1904.1925048828125
2015-09-14,1879.2685546875
2015-09-15,1907.1837158203125
2015-09-16,1902.198974609375
2015-09-17,1902.198974609375
2015-09-18,1867.305419921875
2015-09-21,1856.338623046875
2015-09-22,1800.5089111328125
2015-09-23,1827.4266357421875
2015-09-24,1753.6517333984375
2015-09-25,1817.4569091796875
2015-09-28,1753.6517333984375
2015-09-29,1694.83154296875
2015-09-30,1735.706298828125
2015-10-01,1722.7459716796875
2015-10-02,1705.7978515625
2015-10-05,1762.62451171875
2015-10-06,1768.6065673828125
2015-10-07,1757.6395263671875
2015-10-08,1759.6334228515625
2015-10-09,1757.6395263671875
2015-10-12,1760.6307373046875
2015-10-13,1776.5821533203125
2015-10-14,1728.7279052734375
2015-10-15,1752.6551513671875
2015-10-16,1748.6671142578125
2015-10-19,1720.752197265625
2015-10-20,1720.752197265625
2015-10-21,1785.554443359375
2015-10-22,1777.5791015625
2015-10-23,1817.4569091796875
2015-10-26,1786.552001953125
2015-10-27,1741.6885986328125
2015-10-28,1795.52392578125
2015-10-29,1759.6334228515625
2015-10-30,1775.5848388671875
2015-11-02,1803.5
2015-11-03,1784.5576171875
2015-11-04,1794.5272216796875
2015-11-05,1790.5394287109375
2015-11-06,1855.3416748046875
2015-11-09,1814.4664306640625
2015-11-10,1776.5821533203125
2015-11-11,1785.554443359375
2015-11-12,1747.670166015625
2015-11-13,1771.59716796875
2015-11-16,1776.5821533203125
2015-11-17,1795.52392578125
2015-11-18,1772.593994140625
2015-11-19,1869.2991943359375
2015-11-20,1894.2232666015625
2015-11-23,1911.1717529296875
2015-11-24,1897.2142333984375
2015-11-25,1918.1505126953125
2015-11-26,1960.0223388671875
2015-11-27,1954.040771484375
2015-11-30,1949.055908203125
2015-12-01,1960.0223388671875
2015-12-02,1971.98583984375
2015-12-03,1936.09521484375
2015-12-04,1949.055908203125
2015-12-07,1967.001220703125
2015-12-08,1944.071044921875
2015-12-09,1935.0986328125
2015-12-10,1912.1678466796875
2015-12-11,1874.28369140625
2015-12-14,1869.2991943359375
2015-12-15,1879.2685546875
2015-12-16,1871.2933349609375
2015-12-17,1915.158935546875
2015-12-18,1902.198974609375
2015-12-21,1904.1925048828125
2015-12-22,1921.141357421875
2015-12-23,1940.08349609375
2015-12-24,1940.08349609375
2015-12-29,1973.9796142578125
2015-12-30,1966.0042724609375
2015-12-31,1965.0072021484375
2016-01-04,1911.1717529296875
2016-01-05,1927.123046875
2016-01-06,1891.2325439453125
2016-01-07,1858.33251953125
2016-01-08,1843.378173828125
2016-01-11,1842.3814697265625
2016-01-12,1861.3233642578125
2016-01-13,1865.3115234375
2016-01-14,1824.436279296875
2016-01-15,1778.5760498046875
2016-01-18,1747.670166015625
2016-01-19,1817.4569091796875
2016-01-20,1753.6517333984375
2016-01-21,1795.52392578125
2016-01-22,1838.3936767578125
2016-01-25,1843.378173828125
2016-01-26,1830.417724609375
2016-01-27,1859.3297119140625
2016-01-28,1781.5667724609375
2016-01-29,1848.3631591796875
2016-02-01,1843.378173828125
2016-02-02,1782.5634765625
2016-02-03,1735.706298828125
2016-02-04,1770.6004638671875
2016-02-05,1764.6181640625
2016-02-08,1632.02294921875
2016-02-09,1634.0167236328125
2016-02-10,1699.816162109375
2016-02-11,1654.952880859375
2016-02-12,1674.8916015625
2016-02-15,1718.7579345703125
2016-02-16,1728.7279052734375
2016-02-17,1790.5394287109375
2016-02-18,1796.521240234375
2016-02-19,1785.554443359375
2016-02-22,1811.4754638671875
2016-02-23,1806.4908447265625
2016-02-24,1765.6151123046875
2016-02-25,1787.548095703125
2016-02-26,1810.4786376953125
2016-02-29,1838.3936767578125
2016-03-01,1862.3204345703125
2016-03-02,1844.375244140625
2016-03-03,1929.116943359375
2016-03-04,1911.1717529296875
2016-03-07,1895.219970703125
2016-03-08,1916.156494140625
2016-03-09,1911.1717529296875
2016-03-10,1853.7734375
2016-03-11,1934.5452880859375
2016-03-14,1949.5032958984375
2016-03-15,1928.5625
2016-03-16,1927.5655517578125
2016-03-17,1941.5257568359375
2016-03-18,1936.5399169921875
2016-03-21,1922.57958984375
2016-03-22,1944.517578125
2016-03-23,1932.55126953125
2016-03-24,1942.523193359375
2016-03-29,1964.4610595703125
2016-03-30,1980.4161376953125
2016-03-31,1960.47216796875
2016-04-01,1975.4302978515625
2016-04-04,1970.444580078125
2016-04-05,1934.5452880859375
2016-04-06,1974.43310546875
2016-04-07,1984.405029296875
2016-04-08,2017.312255859375
2016-04-11,2020.3035888671875
2016-04-12,2016.3153076171875
2016-04-13,2044.2359619140625
2016-04-14,2044.2359619140625
2016-04-15,2029.2784423828125
2016-04-18,2024.292724609375
2016-04-19,2017.312255859375
2016-04-20,2002.3543701171875
2016-04-21,1998.365478515625
2016-04-22,1967.452880859375
2016-04-25,1975.4302978515625
2016-04-26,2005.345947265625
2016-04-27,2036.2587890625
2016-04-28,2026.2869873046875
2016-04-29,1982.41064453125
2016-05-03,1945.5146484375
2016-05-04,1945.5146484375
2016-05-05,1942.523193359375
2016-05-06,1965.4583740234375
2016-05-09,1997.3685302734375
2016-05-10,2022.298095703125
2016-05-11,2011.3289794921875
2016-05-12,2015.3177490234375
2016-05-13,2017.312255859375
2016-05-16,2025.28955078125
2016-05-17,2015.3177490234375
2016-05-18,1993.3797607421875
2016-05-19,1985.40234375
2016-05-20,2037.256103515625
2016-05-23,2032.2701416015625
2016-05-24,2044.2359619140625
2016-05-25,2072.157958984375
2016-05-26,2054.208251953125
2016-05-27,2076.146484375
2016-05-31,2069.166015625
2016-06-01,2068.168701171875
2016-06-02,2067.171630859375
2016-06-03,2046.230712890625
2016-06-06,2076.146484375
2016-06-07,2099.081787109375
2016-06-08,2140.96337890625
2016-06-09,2092.10107421875
