Date,REL.L
2015-08-24,1013.7273559570312
2015-08-25,1022.70703125
2015-08-26,1008.7383422851562
2015-08-27,1032.6846923828125
2015-08-28,1042.6624755859375
2015-09-01,1016.7205810546875
2015-09-02,1027.6959228515625
2015-09-03,1057.62890625
2015-09-04,1040.6669921875
2015-09-07,1047.6512451171875
2015-09-08,1057.62890625
2015-09-09,1071.5972900390625
2015-09-10,1063.6153564453125
2015-09-11,1051.6424560546875
2015-09-14,1051.6424560546875
2015-09-15,1054.6356201171875
2015-09-16,1067.6065673828125
2015-09-17,1070.5999755859375
2015-09-18,1062.6175537109375
2015-09-21,1065.611083984375
2015-09-22,1049.6468505859375
2015-09-23,1067.6065673828125
2015-09-24,1074.5909423828125
2015-09-25,1105.5213623046875
2015-09-28,1103.525634765625
2015-09-29,1092.550537109375
2015-09-30,1129.4676513671875
2015-10-01,1116.496826171875
2015-10-02,1126.4744873046875
2015-10-05,1139.4454345703125
2015-10-06,1145.4320068359375
2015-10-07,1131.4635009765625
2015-10-08,1139.4454345703125
2015-10-09,1131.4635009765625
2015-10-12,1129.4676513671875
2015-10-13,1127.47216796875
2015-10-14,1123.4813232421875
2015-10-15,1143.4366455078125
2015-10-16,1149.42333984375
2015-10-19,1154.411865234375
2015-10-20,1154.411865234375
2015-10-21,1150.4208984375
2015-10-22,1154.411865234375
2015-10-23,1171.3734130859375
2015-10-26,1165.3875732421875
2015-10-27,1155.4097900390625
2015-10-28,1157.4051513671875
2015-10-29,1160.398193359375
2015-10-30,1159.40087890625
2015-11-02,1155.4097900390625
2015-11-03,1159.40087890625
2015-11-04,1160.398193359375
2015-11-05,1167.3828125
2015-11-06,1158.4027099609375
2015-11-09,1152.416259765625
2015-11-10,1146.429931640625
2015-11-11,1168.3804931640625
2015-11-12,1162.39404296875
2015-11-13,1144.4344482421875
2015-11-16,1144.4344482421875
2015-11-17,1167.3828125
2015-11-18,1172.371826171875
2015-11-19,1183.34716796875
2015-11-20,1176.3626708984375
2015-11-23,1166.3848876953125
2015-11-24,1153.4141845703125
2015-11-25,1173.369140625
2015-11-26,1180.3536376953125
2015-11-27,1194.3223876953125
2015-11-30,1195.3203125
2015-12-01,1201.306640625
2015-12-02,1217.270751953125
2015-12-03,1191.329345703125
2015-12-04,1180.3536376953125
2015-12-07,1190.3316650390625
2015-12-08,1183.34716796875
2015-12-09,1167.3828125
2015-12-10,1154.411865234375
2015-12-11,1136.4521484375
2015-12-14,1134.4569091796875
2015-12-15,1161.3961181640625
2015-12-16,1169.37841796875
2015-12-17,1171.3734130859375
2015-12-18,1156.4072265625
2015-12-21,1160.398193359375
2015-12-22,1160.398193359375
2015-12-23,1179.3560791015625
2015-12-24,1177.360595703125
2015-12-29,1198.3133544921875
2015-12-30,1200.30908203125
2015-12-31,1194.3223876953125
2016-01-04,1167.3828125
2016-01-05,1172.371826171875
2016-01-06,1165.3875732421875
2016-01-07,1163.3917236328125
2016-01-08,1166.3848876953125
2016-01-11,1157.4051513671875
2016-01-12,1173.369140625
2016-01-13,1177.360595703125
2016-01-14,1168.3804931640625
2016-01-15,1156.4072265625
2016-01-18,1141.44091796875
2016-01-19,1162.39404296875
2016-01-20,1132.4608154296875
