Date,LTTS.NS
2016-09-23,785.985595703125
2016-09-26,787.4780883789062
2016-09-27,779.3377075195312
2016-09-28,781.010986328125
2016-09-29,765.0923461914062
2016-09-30,766.2229614257812
2016-10-03,765.770751953125
2016-10-04,753.8768310546875
2016-10-05,747.8621826171875
2016-10-06,760.2986450195312
2016-10-07,753.062744140625
2016-10-10,768.1676635742188
2016-10-13,765.4541015625
2016-10-14,770.2930908203125
2016-10-17,771.5140380859375
2016-10-18,771.921142578125
2016-10-19,773.5039672851562
2016-10-20,778.0714721679688
2016-10-21,771.197509765625
2016-10-24,769.3887329101562
2016-10-25,765.4993286132812
2016-10-26,763.01220703125
2016-10-27,758.6704711914062
2016-10-28,748.9928588867188
2016-11-01,742.751953125
2016-11-02,730.9485473632812
2016-11-03,713.8087768554688
2016-11-04,693.1868896484375
2016-11-07,698.7493896484375
2016-11-08,709.1506958007812
2016-11-09,709.4221801757812
2016-11-10,714.3516235351562
2016-11-11,709.5576782226562
2016-11-15,681.06689453125
2016-11-16,683.056640625
2016-11-17,683.1019287109375
2016-11-18,737.8677368164062
2016-11-21,718.8035888671875
2016-11-22,738.0493774414062
2016-11-23,736.8692016601562
2016-11-24,753.5728759765625
2016-11-25,772.0014038085938
2016-11-28,769.6864013671875
2016-11-29,775.2696533203125
2016-11-30,781.260986328125
2016-12-01,779.9447631835938
2016-12-02,767.2352905273438
2016-12-05,771.229736328125
2016-12-06,767.825439453125
2016-12-07,769.7772216796875
2016-12-08,766.736083984375
2016-12-09,771.3658447265625
2016-12-12,759.24658203125
2016-12-13,724.4777221679688
2016-12-14,717.3513793945312
2016-12-15,722.9796752929688
2016-12-16,726.6110229492188
2016-12-19,721.4817504882812
2016-12-20,717.305908203125
2016-12-21,714.0376586914062
2016-12-22,716.0349731445312
2016-12-23,720.9370727539062
2016-12-26,707.8646240234375
2016-12-27,710.0433959960938
2016-12-28,710.1340942382812
2016-12-29,712.3129272460938
2016-12-30,715.2633056640625
2017-01-02,731.0592651367188
2017-01-03,735.462158203125
2017-01-04,733.283203125
2017-01-05,735.1896362304688
2017-01-06,729.8790893554688
2017-01-09,742.6336669921875
2017-01-10,730.3329467773438
2017-01-11,730.28759765625
2017-01-12,731.2408447265625
2017-01-13,736.324462890625
2017-01-16,741.4990234375
2017-01-17,739.6834716796875
2017-01-18,748.1258544921875
2017-01-19,751.439453125
2017-01-20,761.9701538085938
2017-01-23,761.4706420898438
2017-01-24,759.2920532226562
2017-01-25,769.2780151367188
2017-01-27,757.5671997070312
2017-01-30,767.8707885742188
2017-01-31,760.4722290039062
2017-02-01,759.882080078125
2017-02-02,763.0594482421875
2017-02-03,745.7656860351562
2017-02-06,742.7245483398438
2017-02-07,725.2037963867188
2017-02-08,723.9329223632812
2017-02-09,725.6123046875
2017-02-10,725.5669555664062
2017-02-13,718.4859619140625
2017-02-14,719.2122802734375
2017-02-15,712.8121948242188
2017-02-16,716.8972778320312
2017-02-17,714.5823974609375
2017-02-20,711.4051513671875
2017-02-21,707.2290649414062
2017-02-22,707.5922241210938
2017-02-23,705.912841796875
2017-02-27,703.9156494140625
2017-02-28,702.1908569335938
2017-03-01,702.87158203125
2017-03-02,702.3724365234375
2017-03-03,694.292724609375
2017-03-06,700.102783203125
2017-03-07,703.0985717773438
2017-03-08,691.4332275390625
2017-03-09,696.0177612304688
2017-03-10,697.2886962890625
2017-03-14,698.8319702148438
2017-03-15,712.2674560546875
2017-03-16,712.9937133789062
2017-03-17,703.688720703125
2017-03-20,708.046142578125
2017-03-21,706.1851806640625
2017-03-22,709.68017578125
2017-03-23,710.1796264648438
2017-03-24,707.5014038085938
2017-03-27,701.9185180664062
2017-03-28,700.375244140625
2017-03-29,691.88720703125
2017-03-30,696.5623779296875
2017-03-31,706.8206176757812
2017-04-03,712.9028930664062
2017-04-05,719.4847412109375
2017-04-06,720.5739135742188
2017-04-07,721.2548217773438
2017-04-10,718.304443359375
2017-04-11,716.8519287109375
2017-04-12,704.3241577148438
2017-04-13,706.4121704101562
2017-04-17,695.1553955078125
2017-04-18,687.8927612304688
2017-04-19,678.3607177734375
2017-04-20,672.4146118164062
2017-04-21,668.0571899414062
2017-04-24,668.5565185546875
2017-04-25,669.827392578125
2017-04-26,676.3635864257812
2017-04-27,686.6674194335938
2017-04-28,697.4249267578125
2017-05-02,700.60205078125
2017-05-03,711.9043579101562
2017-05-04,708.5908813476562
2017-05-05,700.2390747070312
2017-05-08,700.4205932617188
2017-05-09,689.4815063476562
2017-05-10,685.0785522460938
