Date,AD.AS
2015-08-24,12.311731338500977
2015-08-25,12.790435791015625
2015-08-26,12.70068073272705
2015-08-27,13.041008949279785
2015-08-28,13.164423942565918
2015-08-31,13.175643920898438
2015-09-01,12.865235328674316
2015-09-02,12.842792510986328
2015-09-03,13.104588508605957
2015-09-04,12.913851737976074
2015-09-07,12.97743034362793
2015-09-08,13.175643920898438
2015-09-09,13.373860359191895
2015-09-10,13.276620864868164
2015-09-11,13.186864852905273
2015-09-14,13.1382474899292
2015-09-15,13.04474925994873
2015-09-16,13.355158805847168
2015-09-17,13.097105026245117
2015-09-18,12.988648414611816
2015-09-21,13.280362129211426
2015-09-22,12.78295612335205
2015-09-23,12.730599403381348
2015-09-24,12.39026927947998
2015-09-25,12.715638160705566
2015-09-28,12.57352352142334
2015-09-29,12.794175148010254
2015-09-30,13.022311210632324
2015-10-01,12.962471961975098
2015-10-02,13.183123588562012
2015-10-05,13.568337440490723
2015-10-06,13.759068489074707
2015-10-07,13.717928886413574
2015-10-08,13.744109153747559
2015-10-09,13.624433517456055
2015-10-12,13.47857666015625
2015-10-13,13.426220893859863
2015-10-14,12.947509765625
2015-10-15,13.112068176269531
2015-10-16,13.104588508605957
2015-10-19,13.1382474899292
2015-10-20,13.052228927612305
2015-10-21,13.070929527282715
2015-10-22,13.179386138916016
2015-10-23,13.347681045532227
2015-10-26,13.444918632507324
2015-10-27,13.538415908813477
2015-10-28,13.654348373413086
2015-10-29,13.934844017028809
2015-10-30,13.852566719055176
2015-11-02,13.837605476379395
2015-11-03,13.878746032714844
2015-11-04,14.043302536010742
2015-11-05,14.095658302307129
2015-11-06,14.338753700256348
2015-11-09,14.256473541259766
2015-11-10,14.155495643615723
2015-11-11,14.634203910827637
2015-11-12,14.51078987121582
2015-11-13,14.305093765258789
2015-11-16,14.578105926513672
2015-11-17,15.0455904006958
2015-11-18,14.952095031738281
2015-11-19,15.008191108703613
2015-11-20,15.094206809997559
2015-11-23,14.996973037719727
2015-11-24,14.993232727050781
2015-11-25,15.408357620239258
2015-11-26,15.464459419250488
2015-11-27,15.415841102600098
2015-11-30,15.400882720947266
2015-12-01,15.097949981689453
2015-12-02,15.060550689697266
2015-12-03,14.480868339538574
2015-12-04,14.507046699523926
2015-12-07,14.70526123046875
2015-12-08,14.656641960144043
2015-12-09,14.518267631530762
2015-12-10,14.536967277526855
2015-12-11,14.301353454589844
2015-12-14,14.076959609985352
2015-12-15,14.581844329833984
2015-12-16,14.723960876464844
2015-12-17,14.862337112426758
2015-12-18,14.563146591186523
2015-12-21,14.499568939208984
2015-12-22,14.495829582214355
2015-12-23,14.77631950378418
2015-12-24,14.77631950378418
2015-12-28,14.75387954711914
