Date,NATCOPHARM.NS
2015-08-21,427.5830993652344
2015-08-24,373.4729919433594
2015-08-25,395.05059814453125
2015-08-26,395.5758972167969
2015-08-27,421.42864990234375
2015-08-28,418.9500732421875
2015-08-31,414.84100341796875
2015-09-01,414.79486083984375
2015-09-02,414.79486083984375
2015-09-03,416.5271301269531
2015-09-04,415.4583740234375
2015-09-07,400.2563171386719
2015-09-08,401.76727294921875
2015-09-09,405.9869689941406
2015-09-10,402.4029541015625
2015-09-11,407.86651611328125
2015-09-14,410.1238098144531
2015-09-15,409.4420166015625
2015-09-16,416.03875732421875
2015-09-18,415.9097595214844
2015-09-21,415.6333312988281
2015-09-22,413.3853454589844
2015-09-23,416.2690734863281
2015-09-24,421.44696044921875
2015-09-28,443.0154724121094
2015-09-29,439.89215087890625
2015-09-30,455.41668701171875
2015-10-01,449.8332824707031
2015-10-05,459.277099609375
2015-10-06,460.1063232421875
2015-10-07,456.9644470214844
2015-10-08,450.3216552734375
2015-10-09,457.240966796875
2015-10-12,460.4841003417969
2015-10-13,462.4557189941406
2015-10-14,476.95751953125
2015-10-15,476.9851379394531
2015-10-16,477.25225830078125
2015-10-19,479.703125
2015-10-20,481.02069091796875
2015-10-21,481.416748046875
2015-10-23,473.1432189941406
2015-10-26,473.0050048828125
2015-10-27,472.8945007324219
2015-10-28,472.98651123046875
2015-10-29,473.0050048828125
2015-10-30,471.8164367675781
2015-11-02,467.8731994628906
2015-11-03,466.0304870605469
2015-11-04,467.7257385253906
2015-11-05,465.21966552734375
2015-11-06,456.2642822265625
2015-11-09,453.67535400390625
2015-11-10,453.18701171875
2015-11-13,452.9936218261719
2015-11-16,452.523681640625
2015-11-17,454.9652099609375
2015-11-18,459.94036865234375
2015-11-19,470.92279052734375
2015-11-20,475.6952819824219
2015-11-23,477.3905944824219
2015-11-24,475.1517333984375
2015-11-26,501.0689697265625
2015-11-27,503.8789367675781
2015-11-30,485.4522705078125
2015-12-01,484.89935302734375
2015-12-02,474.8569030761719
2015-12-03,474.5804138183594
2015-12-04,460.4841003417969
2015-12-07,459.56268310546875
2015-12-08,467.5782775878906
2015-12-09,471.1714172363281
2015-12-10,486.2353820800781
2015-12-11,490.7038269042969
2015-12-14,503.7407531738281
2015-12-15,504.15533447265625
2015-12-16,498.8116760253906
2015-12-17,513.5531616210938
2015-12-18,503.0498962402344
2015-12-21,516.6854858398438
2015-12-22,520.3248901367188
2015-12-23,530.5977783203125
2015-12-24,526.3595581054688
2015-12-28,521.6608276367188
2015-12-29,521.4765014648438
2015-12-30,519.4495239257812
2015-12-31,533.7303466796875
2016-01-01,531.058349609375
2016-01-04,518.9888916015625
2016-01-05,549.2548217773438
2016-01-06,566.3917236328125
2016-01-07,541.7459106445312
2016-01-08,554.2761840820312
2016-01-11,541.1930541992188
2016-01-12,544.1873779296875
2016-01-13,533.960693359375
2016-01-14,503.7867736816406
2016-01-15,489.5522155761719
2016-01-18,461.3592834472656
2016-01-19,470.6186828613281
2016-01-20,467.44012451171875
2016-01-21,478.4041442871094
2016-01-22,486.5116882324219
2016-01-25,501.25323486328125
2016-01-27,501.9441223144531
2016-01-28,491.34881591796875
2016-01-29,487.4331970214844
2016-02-01,482.273681640625
2016-02-02,475.6400451660156
2016-02-03,461.6356506347656
2016-02-04,451.3628234863281
2016-02-05,458.31884765625
