Date,VARROC.NS
2018-07-09,1021.7769775390625
2018-07-10,1019.1761474609375
2018-07-11,1006.9573364257812
2018-07-12,1023.2982788085938
2018-07-13,1016.0357055664062
2018-07-16,1003.4732055664062
2018-07-17,1015.25048828125
2018-07-18,997.7317504882812
2018-07-19,975.1095581054688
2018-07-20,946.7460327148438
2018-07-23,932.367919921875
2018-07-24,928.294921875
2018-07-25,929.17822265625
2018-07-26,956.7075805664062
2018-07-27,954.2540283203125
2018-07-30,978.29931640625
2018-07-31,989.4877319335938
2018-08-01,981.194580078125
2018-08-02,956.5604248046875
2018-08-03,964.411865234375
2018-08-06,973.4411010742188
2018-08-07,971.5274047851562
2018-08-08,964.411865234375
2018-08-09,961.7620849609375
2018-08-10,954.2049560546875
2018-08-13,944.6849365234375
2018-08-14,950.3281860351562
2018-08-16,950.7698364257812
2018-08-17,960.1426391601562
2018-08-20,972.9013671875
2018-08-21,993.3152465820312
2018-08-23,1067.11962890625
2018-08-24,1049.502685546875
2018-08-27,1052.8887939453125
2018-08-28,1090.575927734375
2018-08-29,1097.20068359375
2018-08-30,1123.3070068359375
2018-08-31,1129.7845458984375
2018-09-03,1130.569580078125
2018-09-04,1130.569580078125
2018-09-05,1104.905029296875
2018-09-06,1085.129150390625
2018-09-07,1069.3768310546875
2018-09-10,1014.808837890625
2018-09-11,1017.5569458007812
2018-09-12,998.5660400390625
2018-09-14,1034.1922607421875
2018-09-17,1010.9321899414062
2018-09-18,992.6283569335938
2018-09-19,970.3005981445312
2018-09-21,967.6016235351562
2018-09-24,960.8787231445312
2018-09-25,962.5471801757812
2018-09-26,834.1257934570312
2018-09-27,875.0517578125
2018-09-28,861.6551513671875
2018-10-01,878.8303833007812
2018-10-03,879.909912109375
2018-10-04,816.3616943359375
2018-10-05,800.4132690429688
2018-10-08,773.0311279296875
2018-10-09,764.7870483398438
2018-10-10,780.7354125976562
2018-10-11,773.9144287109375
2018-10-12,790.3045043945312
2018-10-15,765.425048828125
2018-10-16,791.9238891601562
2018-10-17,795.898681640625
2018-10-19,753.843994140625
2018-10-22,747.0230102539062
2018-10-23,733.6754150390625
2018-10-24,730.7801513671875
2018-10-25,712.81982421875
2018-10-26,680.6776733398438
2018-10-29,735.2457275390625
2018-10-30,731.7615356445312
2018-10-31,747.61181640625
2018-11-01,739.4168701171875
2018-11-02,801.5910034179688
2018-11-05,798.69580078125
2018-11-06,787.2620849609375
2018-11-07,808.461181640625
2018-11-09,812.1905517578125
2018-11-12,814.4969482421875
2018-11-13,799.6771850585938
2018-11-14,753.647705078125
2018-11-15,724.4989013671875
2018-11-16,716.9418334960938
2018-11-19,716.8436889648438
2018-11-20,709.335693359375
2018-11-21,713.1632690429688
2018-11-22,702.7109985351562
2018-11-26,698.147216796875
2018-11-27,689.4614868164062
2018-11-28,691.3262329101562
2018-11-29,694.7613525390625
2018-11-30,700.7481079101562
2018-12-03,701.6804809570312
2018-12-04,706.6367797851562
2018-12-05,693.1419067382812
2018-12-06,672.7770385742188
2018-12-07,658.2517700195312
2018-12-10,662.71728515625
2018-12-11,636.8563842773438
2018-12-12,673.3168334960938
2018-12-13,675.1815795898438
2018-12-14,670.1762084960938
2018-12-17,669.1456909179688
2018-12-18,671.7955932617188
2018-12-19,673.954833984375
2018-12-20,661.097900390625
2018-12-21,657.123046875
2018-12-24,658.59521484375
2018-12-26,657.123046875
2018-12-27,656.4360961914062
2018-12-28,662.275634765625
2018-12-31,712.672607421875
2019-01-01,721.1619873046875
2019-01-02,710.1698608398438
2019-01-03,708.059814453125
2019-01-04,708.5504760742188
2019-01-07,716.6473999023438
2019-01-08,723.1740112304688
2019-01-09,717.4326171875
2019-01-10,706.4894409179688
2019-01-11,716.500244140625
2019-01-14,713.555908203125
2019-01-15,721.7509155273438
2019-01-16,709.87548828125
2019-01-17,703.643310546875
2019-01-18,708.69775390625
2019-01-21,695.0066528320312
2019-01-22,678.6656494140625
2019-01-23,691.7678833007812
2019-01-24,659.57666015625
2019-01-25,646.4744873046875
2019-01-28,631.5565795898438
2019-01-29,644.2171630859375
2019-01-30,642.8922119140625
2019-01-31,636.0220947265625
2019-02-01,636.9054565429688
2019-02-04,625.324462890625
2019-02-05,605.5484008789062
2019-02-06,601.2301025390625
2019-02-07,612.1241455078125
2019-02-08,608.3945922851562
2019-02-11,577.03759765625
2019-02-12,593.0841064453125
2019-02-14,579.245849609375
2019-02-15,569.9221801757812
2019-02-18,559.6660766601562
2019-02-19,562.5122680664062
2019-02-20,581.699462890625
2019-02-21,601.6226806640625
2019-02-22,607.9529418945312
2019-02-25,596.9118041992188
2019-02-26,594.0656127929688
2019-02-27,588.9130249023438
2019-02-28,604.5178833007812
2019-03-01,592.5933837890625
2019-03-05,621.398681640625
2019-03-06,636.0220947265625
2019-03-07,637.5433349609375
2019-03-08,631.6056518554688
2019-03-11,633.6175537109375
2019-03-12,632.6361083984375
2019-03-13,621.8402709960938
2019-03-14,614.0379028320312
2019-03-15,606.6279907226562
2019-03-18,605.3031005859375
2019-03-19,588.1278686523438
2019-03-20,587.0973510742188
2019-03-22,591.1702880859375
2019-03-25,586.802978515625
2019-03-26,586.1649780273438
2019-03-27,580.8161010742188
2019-03-28,578.60791015625
2019-04-01,580.5707397460938
2019-04-02,576.5958862304688
2019-04-03,569.1860961914062
2019-04-04,590.4342041015625
2019-04-05,591.8082275390625
2019-04-08,583.90771484375
2019-04-09,574.633056640625
2019-04-10,574.19140625
2019-04-11,568.7444458007812
2019-04-12,566.63427734375
2019-04-15,569.1860961914062
