Date,NEXT50IETF.NS
2023-12-12,52.599998474121094
2023-12-13,53.060001373291016
2023-12-14,53.72999954223633
2023-12-15,53.86000061035156
2023-12-18,54.29999923706055
2023-12-19,54.34000015258789
2023-12-20,52.7599983215332
2023-12-21,53.25
2023-12-22,53.86000061035156
2023-12-26,54.290000915527344
2023-12-27,54.43000030517578
2023-12-28,54.75
2023-12-29,55.279998779296875
2024-01-01,55.279998779296875
2024-01-02,55.119998931884766
2024-01-03,55.619998931884766
2024-01-04,56.2400016784668
2024-01-05,56.369998931884766
2024-01-08,55.709999084472656
2024-01-09,55.93000030517578
2024-01-10,56.459999084472656
2024-01-11,56.70000076293945
2024-01-12,56.689998626708984
2024-01-15,56.88999938964844
2024-01-16,56.7400016784668
2024-01-17,56.34000015258789
2024-01-19,56.599998474121094
2024-01-23,55.16999816894531
2024-01-24,56.18000030517578
2024-01-25,56.209999084472656
2024-01-29,56.939998626708984
2024-01-30,56.79999923706055
2024-01-31,57.2400016784668
2024-02-01,57.560001373291016
2024-02-02,58.02000045776367
2024-02-05,57.7400016784668
2024-02-06,58.380001068115234
2024-02-07,59.43000030517578
2024-02-08,59.779998779296875
2024-02-09,59.349998474121094
2024-02-12,58.29999923706055
2024-02-13,58.88999938964844
2024-02-14,59.65999984741211
2024-02-15,60.2599983215332
2024-02-16,60.61000061035156
2024-02-19,60.81999969482422
2024-02-20,60.93000030517578
2024-02-21,60.560001373291016
2024-02-22,61.029998779296875
2024-02-23,61.38999938964844
2024-02-26,61.29999923706055
2024-02-27,61.36000061035156
2024-02-28,60.58000183105469
2024-02-29,61.349998474121094
2024-03-01,61.70000076293945
2024-03-04,62.15999984741211
2024-03-05,62.209999084472656
2024-03-06,61.95000076293945
2024-03-07,62.63999938964844
2024-03-11,62.54999923706055
2024-03-12,61.56999969482422
2024-03-13,59.27000045776367
2024-03-14,60.56999969482422
2024-03-15,60.279998779296875
2024-03-18,60.619998931884766
2024-03-19,59.58000183105469
2024-03-20,59.77000045776367
2024-03-21,61.029998779296875
2024-03-22,61.349998474121094
2024-03-26,61.959999084472656
2024-03-27,62.2599983215332
2024-03-28,63.27000045776367
2024-04-01,63.97999954223633
2024-04-02,64.5999984741211
2024-04-03,64.63999938964844
2024-04-04,64.54000091552734
2024-04-05,65.06999969482422
2024-04-08,65.41000366210938
2024-04-09,65.22000122070312
2024-04-10,65.58999633789062
2024-04-12,65.51000213623047
