Date,BX
2015-08-03,24.025026321411133
2015-08-04,24.490154266357422
2015-08-05,24.15526580810547
2015-08-06,23.838977813720703
2015-08-07,23.460683822631836
2015-08-10,24.266889572143555
2015-08-11,23.516489028930664
2015-08-12,23.628122329711914
2015-08-13,23.665332794189453
2015-08-14,23.969213485717773
2015-08-17,23.83277702331543
2015-08-18,23.11958885192871
2015-08-19,22.790908813476562
2015-08-20,21.40175437927246
2015-08-21,21.054452896118164
2015-08-24,20.273056030273438
2015-08-25,20.09320640563965
2015-08-26,21.290119171142578
2015-08-27,22.08392333984375
2015-08-28,22.12112808227539
2015-08-31,21.240507125854492
2015-09-01,20.124216079711914
2015-09-02,20.223445892333984
2015-09-03,20.76297950744629
2015-09-04,20.880813598632812
2015-09-08,21.95989418029785
2015-09-09,21.438961029052734
2015-09-10,21.11026954650879
2015-09-11,21.09166145324707
2015-09-14,21.09166145324707
2015-09-15,21.513383865356445
2015-09-16,21.53197479248047
2015-09-17,22.164548873901367
2015-09-18,21.19709587097168
2015-09-21,21.271514892578125
2015-09-22,21.023454666137695
2015-09-23,20.71957015991211
2015-09-24,20.204843521118164
2015-09-25,20.372283935546875
2015-09-28,19.1629638671875
2015-09-29,18.64823341369629
2015-09-30,19.640493392944336
2015-10-01,19.86199378967285
2015-10-02,19.906232833862305
2015-10-05,21.10059928894043
2015-10-06,21.35970115661621
2015-10-07,21.928451538085938
2015-10-08,21.492412567138672
2015-10-09,21.561920166015625
2015-10-12,21.36602020263672
2015-10-13,20.974212646484375
2015-10-14,21.201717376708984
2015-10-15,21.51768684387207
2015-10-16,21.814699172973633
2015-10-19,21.441852569580078
2015-10-20,21.081647872924805
2015-10-21,21.245948791503906
2015-10-22,21.3806209564209
2015-10-23,22.079631805419922
2015-10-26,22.07320785522461
2015-10-27,21.86159324645996
2015-10-28,22.124515533447266
2015-10-29,21.662792205810547
2015-10-30,21.20106315612793
2015-11-02,21.887237548828125
2015-11-03,22.182231903076172
2015-11-04,21.6435489654541
2015-11-05,21.496057510375977
2015-11-06,21.085628509521484
2015-11-09,20.553356170654297
2015-11-10,20.681612014770508
2015-11-11,20.23271369934082
2015-11-12,19.937719345092773
2015-11-13,19.629898071289062
2015-11-16,20.123687744140625
2015-11-17,19.796632766723633
2015-11-18,20.258365631103516
2015-11-19,20.162168502807617
2015-11-20,19.995431900024414
2015-11-23,19.886415481567383
2015-11-24,19.668373107910156
2015-11-25,19.93130874633789
2015-11-27,19.87999725341797
2015-11-30,20.02750015258789
2015-12-01,20.33531951904297
2015-12-02,19.649139404296875
2015-12-03,19.495223999023438
2015-12-04,19.65555191040039
2015-12-07,19.50164222717285
2015-12-08,19.232295989990234
2015-12-09,19.572181701660156
2015-12-10,19.50164222717285
2015-12-11,18.481985092163086
2015-12-14,17.827869415283203
2015-12-15,18.571767807006836
2015-12-16,19.110450744628906
2015-12-17,19.604246139526367
2015-12-18,18.98219871520996
2015-12-21,19.309253692626953
2015-12-22,19.29001808166504
2015-12-23,19.790220260620117
2015-12-24,19.668373107910156
2015-12-28,19.50164222717285
2015-12-29,19.34773063659668
2015-12-30,19.0527400970459
2015-12-31,18.751331329345703
2016-01-04,18.565353393554688
2016-01-05,18.04590606689453
2016-01-06,17.500812530517578
2016-01-07,16.917236328125
2016-01-08,16.352909088134766
2016-01-11,15.807806968688965
2016-01-12,16.14127540588379
2016-01-13,15.679551124572754
2016-01-14,16.44268226623535
2016-01-15,15.750088691711426
2016-01-19,15.397385597229004
2016-01-20,15.230647087097168
2016-01-21,15.49357795715332
2016-01-22,16.80821990966797
2016-01-25,16.051496505737305
2016-01-26,16.859521865844727
2016-01-27,16.417030334472656
2016-01-28,16.10921287536621
2016-01-29,16.846696853637695
2016-02-01,17.5521183013916
2016-02-02,16.917236328125
2016-02-03,16.974956512451172
2016-02-04,17.29659652709961
2016-02-05,17.37537384033203
2016-02-08,16.042842864990234
2016-02-09,16.055967330932617
2016-02-10,16.082229614257812
2016-02-11,15.110730171203613
2016-02-12,16.167558670043945
2016-02-16,17.047163009643555
2016-02-17,17.480398178100586
2016-02-18,17.37537384033203
2016-02-19,16.981521606445312
2016-02-22,17.506654739379883
2016-02-23,16.896181106567383
2016-02-24,16.88962173461914
2016-02-25,16.72551727294922
2016-02-26,16.810848236083984
2016-02-29,17.047163009643555
2016-03-01,17.756099700927734
2016-03-02,18.432207107543945
2016-03-03,18.734153747558594
2016-03-04,19.082056045532227
2016-03-07,19.07548713684082
2016-03-08,18.54379653930664
2016-03-09,18.1302490234375
2016-03-10,17.966148376464844
2016-03-11,18.064607620239258
2016-03-14,17.9267578125
2016-03-15,17.77578353881836
2016-03-16,18.22871208190918
2016-03-17,18.497844696044922
2016-03-18,18.373126983642578
2016-03-21,18.392820358276367
2016-03-22,18.248403549194336
2016-03-23,17.697011947631836
2016-03-24,17.36225128173828
2016-03-28,17.270349502563477
2016-03-29,18.103992462158203
2016-03-30,18.34030532836914
2016-03-31,18.41250991821289
2016-04-01,18.46502685546875
2016-04-04,17.985841751098633
2016-04-05,17.946455001831055
2016-04-06,18.110557556152344
2016-04-07,17.65762710571289
2016-04-08,17.506654739379883
2016-04-11,17.414756774902344
2016-04-12,17.834863662719727
2016-04-13,18.7669734954834
2016-04-14,19.04266929626465
2016-04-15,18.891691207885742
2016-04-18,19.055801391601562
2016-04-19,19.292110443115234
2016-04-20,19.32493019104004
2016-04-21,18.530668258666992
2016-04-22,18.675079345703125
2016-04-25,18.570049285888672
2016-04-26,18.819486618041992
2016-04-27,18.93108367919922
