Date,RKT.L
2015-08-24,5493.69189453125
2015-08-25,5651.22412109375
2015-08-26,5512.6357421875
2015-08-27,5716.0322265625
2015-08-28,5739.9619140625
2015-09-01,5638.26318359375
2015-09-02,5658.20458984375
2015-09-03,5778.8447265625
2015-09-04,5680.138671875
2015-09-07,5700.080078125
2015-09-08,5699.08154296875
2015-09-09,5777.849609375
2015-09-10,5727.0
2015-09-11,5689.11181640625
2015-09-14,5651.22412109375
2015-09-15,5672.16259765625
2015-09-16,5837.6708984375
2015-09-17,5845.646484375
2015-09-18,5778.8447265625
2015-09-21,5821.71875
2015-09-22,5686.12060546875
2015-09-23,5832.6865234375
2015-09-24,5786.8232421875
2015-09-25,5972.27099609375
2015-09-28,5884.53125
2015-09-29,5802.77392578125
2015-09-30,5969.28076171875
2015-10-01,5957.3154296875
2015-10-02,6012.15185546875
2015-10-05,6083.93896484375
2015-10-06,6091.916015625
2015-10-07,5994.20703125
2015-10-08,6010.15966796875
2015-10-09,6024.11669921875
2015-10-12,6070.97900390625
2015-10-13,6075.9638671875
2015-10-14,6017.138671875
2015-10-15,6109.86328125
2015-10-16,6093.9111328125
2015-10-19,6130.80126953125
2015-10-20,6125.81494140625
2015-10-21,6281.35302734375
2015-10-22,6291.32568359375
2015-10-23,6230.5048828125
2015-10-26,6266.3984375
2015-10-27,6275.37060546875
2015-10-28,6331.2060546875
2015-10-29,6399.00439453125
2015-10-30,6325.22265625
2015-11-02,6269.38720703125
2015-11-03,6271.38427734375
2015-11-04,6299.30029296875
2015-11-05,6331.2060546875
2015-11-06,6248.45166015625
2015-11-09,6167.69091796875
2015-11-10,6141.76904296875
2015-11-11,6276.36962890625
2015-11-12,6246.45703125
2015-11-13,6150.74169921875
2015-11-16,6197.6025390625
2015-11-17,6308.2744140625
2015-11-18,6287.3359375
2015-11-19,6296.30908203125
2015-11-20,6314.2568359375
2015-11-23,6303.28759765625
2015-11-24,6235.48974609375
2015-11-25,6366.10205078125
2015-11-26,6327.21875
2015-11-27,6290.32666015625
2015-11-30,6211.56103515625
2015-12-01,6334.19677734375
2015-12-02,6396.01220703125
2015-12-03,6190.6240234375
2015-12-04,6187.63232421875
2015-12-07,6281.35302734375
2015-12-08,6234.49365234375
2015-12-09,6148.74755859375
2015-12-10,6170.68212890625
2015-12-11,6105.87451171875
2015-12-14,6069.97998046875
2015-12-15,6147.75048828125
2015-12-16,6158.7177734375
2015-12-17,6156.72412109375
2015-12-18,6109.86328125
2015-12-21,6087.92724609375
2015-12-22,6048.046875
2015-12-23,6186.63427734375
2015-12-24,6207.572265625
2015-12-29,6286.33984375
2015-12-30,6291.32568359375
2015-12-31,6262.40966796875
2016-01-04,6093.9111328125
2016-01-05,6088.9248046875
2016-01-06,6083.93896484375
2016-01-07,6011.15576171875
2016-01-08,5975.26220703125
2016-01-11,5959.30908203125
2016-01-12,6058.01611328125
2016-01-13,6124.81787109375
2016-01-14,6014.146484375
2016-01-15,5990.2177734375
2016-01-18,5987.2265625
2016-01-19,6080.94970703125
2016-01-20,5966.2900390625
2016-01-21,5982.2421875
2016-01-22,6029.103515625
2016-01-25,6125.81494140625
2016-01-26,6093.9111328125
2016-01-27,6150.74169921875
2016-01-28,6106.87109375
2016-01-29,6215.5498046875
