Date,SWK
2015-08-03,81.10293579101562
2015-08-04,81.28276062011719
2015-08-05,82.30691528320312
2015-08-06,82.24437713623047
2015-08-07,81.84565734863281
2015-08-10,82.86198425292969
2015-08-11,82.10364532470703
2015-08-12,81.84565734863281
2015-08-13,81.6971206665039
2015-08-14,82.4085464477539
2015-08-17,82.66653442382812
2015-08-18,82.75255584716797
2015-08-19,82.68216705322266
2015-08-20,81.74401092529297
2015-08-21,79.078125
2015-08-24,75.5522232055664
2015-08-25,74.00431823730469
2015-08-26,76.49040222167969
2015-08-27,78.7497787475586
2015-08-28,78.5699462890625
2015-08-31,79.36737060546875
2015-09-01,76.89690399169922
2015-09-02,77.90323638916016
2015-09-03,78.06049346923828
2015-09-04,76.8812026977539
2015-09-08,78.83879089355469
2015-09-09,77.90323638916016
2015-09-10,77.62020874023438
2015-09-11,78.52433013916016
2015-09-14,77.84036254882812
2015-09-15,79.60140991210938
2015-09-16,79.95518493652344
2015-09-17,79.36557006835938
2015-09-18,78.8624038696289
2015-09-21,79.1768569946289
2015-09-22,77.92683410644531
2015-09-23,77.55731964111328
2015-09-24,77.25068664550781
2015-09-25,77.32145690917969
2015-09-28,75.99281311035156
2015-09-29,74.60911560058594
2015-09-30,76.244384765625
2015-10-01,75.96134948730469
2015-10-02,76.62174224853516
2015-10-05,78.45355224609375
2015-10-06,78.52433013916016
2015-10-07,78.96460723876953
2015-10-08,79.98661804199219
2015-10-09,79.83724212646484
2015-10-12,79.8058090209961
2015-10-13,78.87026977539062
2015-10-14,77.3843765258789
2015-10-15,77.62020874023438
2015-10-16,77.447265625
2015-10-19,77.23497772216797
2015-10-20,77.51799774169922
2015-10-21,77.16421508789062
2015-10-22,82.91912841796875
2015-10-23,83.3750991821289
2015-10-26,83.47734069824219
2015-10-27,83.29650115966797
2015-10-28,84.2320556640625
2015-10-29,83.69744110107422
2015-10-30,83.32005310058594
2015-11-02,84.36568450927734
2015-11-03,84.47575378417969
2015-11-04,84.34212493896484
2015-11-05,84.20845031738281
2015-11-06,84.51505279541016
2015-11-09,83.77606201171875
2015-11-10,84.02760314941406
2015-11-11,84.16914367675781
2015-11-12,82.59676361083984
2015-11-13,82.10934448242188
2015-11-16,83.0920639038086
2015-11-17,82.64395141601562
2015-11-18,84.1219711303711
2015-11-19,84.3892593383789
2015-11-20,84.68804931640625
2015-11-23,84.90031433105469
2015-11-24,84.49932861328125
2015-11-25,85.13616180419922
2015-11-27,85.74150848388672
2015-11-30,85.82011413574219
2015-12-01,86.59847259521484
2015-12-02,86.41674041748047
2015-12-03,85.56338500976562
2015-12-04,86.96194458007812
2015-12-07,87.048828125
2015-12-08,86.39302825927734
2015-12-09,85.40536499023438
2015-12-10,85.78466033935547
2015-12-11,84.54412078857422
2015-12-14,85.91104888916016
2015-12-15,84.94710540771484
2015-12-16,86.44043731689453
2015-12-17,84.97080993652344
2015-12-18,82.61620330810547
