Date,TEMN.SW
2025-04-14,61.49896240234375
2025-04-15,63.26166915893555
2025-04-16,62.5272102355957
2025-04-17,61.841712951660156
2025-04-22,60.715538024902344
2025-04-23,56.35772705078125
2025-04-24,57.141151428222656
2025-04-25,57.48390579223633
2025-04-28,57.58183288574219
2025-04-29,57.58183288574219
2025-04-30,57.777687072753906
2025-05-02,59.19765090942383
2025-05-05,58.903865814208984
2025-05-06,59.44247055053711
2025-05-07,59.29557800292969
2025-05-08,59.981075286865234
2025-05-09,60.51968002319336
2025-05-12,60.3727912902832
2025-05-13,61.792747497558594
2025-05-14,61.45000076293945
2025-05-15,61.95000076293945
2025-05-16,62.099998474121094
2025-05-19,61.349998474121094
2025-05-20,61.599998474121094
2025-05-21,61.099998474121094
2025-05-22,60.599998474121094
2025-05-23,59.95000076293945
2025-05-26,60.849998474121094
2025-05-27,61.400001525878906
2025-05-28,60.5
2025-05-30,61.04999923706055
2025-06-02,60.79999923706055
2025-06-03,60.70000076293945
2025-06-04,62.0
2025-06-05,62.900001525878906
2025-06-06,62.75
2025-06-10,64.0
2025-06-11,64.0999984741211
2025-06-12,63.79999923706055
2025-06-13,59.70000076293945
2025-06-16,61.099998474121094
2025-06-17,61.0
2025-06-18,61.20000076293945
2025-06-19,59.599998474121094
2025-06-20,60.20000076293945
2025-06-23,59.150001525878906
2025-06-24,60.349998474121094
2025-06-25,59.5
2025-06-26,58.400001525878906
2025-06-27,58.599998474121094
2025-06-30,56.75
2025-07-01,56.04999923706055
2025-07-02,57.75
2025-07-03,58.54999923706055
2025-07-04,57.849998474121094
2025-07-07,57.650001525878906
2025-07-08,57.70000076293945
2025-07-09,58.25
2025-07-10,59.29999923706055
2025-07-11,57.75
2025-07-14,57.150001525878906
2025-07-15,57.20000076293945
2025-07-16,58.099998474121094
2025-07-17,59.0
2025-07-18,59.29999923706055
2025-07-21,59.20000076293945
2025-07-22,59.0
2025-07-23,73.05000305175781
2025-07-24,72.94999694824219
2025-07-25,71.5999984741211
2025-07-28,72.0999984741211
2025-07-29,73.75
2025-07-30,73.3499984741211
2025-07-31,73.1500015258789
2025-08-04,72.0
2025-08-05,73.0
2025-08-06,72.55000305175781
2025-08-07,74.05000305175781
2025-08-08,73.05000305175781
2025-08-11,73.25
2025-08-12,71.19999694824219
2025-08-13,71.8499984741211
2025-08-14,72.1500015258789
2025-08-15,72.3499984741211
2025-08-18,71.8499984741211
2025-08-19,73.0999984741211
2025-08-20,72.80000305175781
2025-08-21,72.44999694824219
2025-08-22,71.69999694824219
