Date,ADM.L
2015-08-24,1499.3533935546875
2015-08-25,1541.195556640625
2015-08-26,1500.3494873046875
2015-08-27,1536.2144775390625
2015-08-28,1544.1844482421875
2015-09-01,1510.3121337890625
2015-09-02,1534.221923828125
2015-09-03,1553.1502685546875
2015-09-04,1543.1883544921875
2015-09-07,1545.1807861328125
2015-09-08,1578.0567626953125
2015-09-09,1607.9444580078125
2015-09-10,1534.4608154296875
2015-09-11,1528.482177734375
2015-09-14,1524.496337890625
2015-09-15,1530.474853515625
2015-09-16,1533.464111328125
2015-09-17,1522.503662109375
2015-09-18,1513.536376953125
2015-09-21,1520.5107421875
2015-09-22,1469.694580078125
2015-09-23,1494.604736328125
2015-09-24,1472.683349609375
2015-09-25,1501.5792236328125
2015-09-28,1469.694580078125
2015-09-29,1449.7664794921875
2015-09-30,1496.597412109375
2015-10-01,1491.6153564453125
2015-10-02,1487.6295166015625
2015-10-05,1503.5721435546875
2015-10-06,1513.536376953125
2015-10-07,1500.5828857421875
2015-10-08,1524.496337890625
2015-10-09,1559.3707275390625
2015-10-12,1537.449951171875
2015-10-13,1528.482177734375
2015-10-14,1550.403076171875
2015-10-15,1577.305908203125
2015-10-16,1594.244873046875
2015-10-19,1592.2518310546875
2015-10-20,1595.240966796875
2015-10-21,1602.2159423828125
2015-10-22,1642.07177734375
2015-10-23,1651.0396728515625
2015-10-26,1619.15478515625
2015-10-27,1617.161865234375
2015-10-28,1619.15478515625
2015-10-29,1621.1475830078125
2015-10-30,1607.1978759765625
2015-11-02,1603.21240234375
2015-11-03,1632.1080322265625
2015-11-04,1627.126220703125
2015-11-05,1627.126220703125
2015-11-06,1639.0828857421875
2015-11-09,1634.10107421875
2015-11-10,1624.1368408203125
2015-11-11,1634.10107421875
2015-11-12,1619.15478515625
2015-11-13,1609.1907958984375
2015-11-16,1616.16552734375
2015-11-17,1625.13330078125
2015-11-18,1624.1368408203125
2015-11-19,1635.097412109375
2015-11-20,1619.15478515625
2015-11-23,1617.161865234375
2015-11-24,1583.2843017578125
2015-11-25,1597.234130859375
2015-11-26,1595.240966796875
2015-11-27,1615.169189453125
2015-11-30,1615.169189453125
2015-12-01,1633.104736328125
2015-12-02,1644.064697265625
2015-12-03,1615.169189453125
2015-12-04,1612.18017578125
2015-12-07,1628.12255859375
2015-12-08,1617.161865234375
2015-12-09,1613.1763916015625
2015-12-10,1602.2159423828125
2015-12-11,1607.1978759765625
2015-12-14,1605.2052001953125
2015-12-15,1647.053955078125
2015-12-16,1665.9854736328125
2015-12-17,1668.974853515625
2015-12-18,1649.047119140625
2015-12-21,1629.1187744140625
2015-12-22,1621.1475830078125
2015-12-23,1640.0792236328125
2015-12-24,1633.104736328125
2015-12-29,1666.9822998046875
2015-12-30,1656.0218505859375
2015-12-31,1653.0325927734375
2016-01-04,1603.21240234375
2016-01-05,1618.1583251953125
2016-01-06,1623.140380859375
2016-01-07,1595.240966796875
2016-01-08,1614.1727294921875
2016-01-11,1609.1907958984375
2016-01-12,1629.1187744140625
2016-01-13,1629.1187744140625
2016-01-14,1605.2052001953125
2016-01-15,1624.1368408203125
2016-01-18,1635.097412109375
2016-01-19,1688.9029541015625
2016-01-20,1613.1763916015625
2016-01-21,1651.0396728515625
2016-01-22,1669.9713134765625
2016-01-25,1687.906494140625
2016-01-26,1690.895751953125
2016-01-27,1733.7410888671875
2016-01-28,1718.7947998046875
2016-01-29,1767.6187744140625
2016-02-01,1761.64013671875
2016-02-02,1768.6153564453125
2016-02-03,1753.6688232421875
2016-02-04,1729.755615234375
2016-02-05,1695.8778076171875
2016-02-08,1686.9102783203125
2016-02-09,1673.9571533203125
2016-02-10,1716.80224609375
2016-02-11,1659.0108642578125
2016-02-12,1667.9786376953125
2016-02-15,1693.885009765625
2016-02-16,1693.885009765625
2016-02-17,1723.7769775390625
2016-02-18,1740.7159423828125
2016-02-19,1736.73046875
2016-02-22,1742.708984375
2016-02-23,1731.7481689453125
2016-02-24,1727.762939453125
2016-02-25,1733.7410888671875
2016-02-26,1739.7196044921875
2016-02-29,1725.77001953125
2016-03-01,1760.6441650390625
2016-03-02,1753.6688232421875
2016-03-03,1912.09716796875
2016-03-04,1937.00732421875
2016-03-07,1956.935302734375
2016-03-08,1958.9281005859375
2016-03-09,1956.935302734375
2016-03-10,1891.1728515625
2016-03-11,1908.1114501953125
2016-03-14,1869.2518310546875
2016-03-15,1881.208740234375
2016-03-16,1893.16552734375
2016-03-17,1908.1114501953125
2016-03-18,1910.1044921875
2016-03-21,1911.10107421875
2016-03-22,1925.05029296875
2016-03-23,1916.082763671875
2016-03-24,1893.16552734375
2016-03-29,1918.0755615234375
2016-03-30,1961.917236328125
2016-03-31,1975.8673095703125
2016-04-01,1946.9713134765625
2016-04-04,1921.0650634765625
2016-04-05,1905.12255859375
2016-04-06,1915.0863037109375
2016-04-07,1922.061279296875
2016-04-08,1926.04736328125
2016-04-11,1923.0579833984375
2016-04-12,1935.014892578125
2016-04-13,1939.9964599609375
2016-04-14,1931.0289306640625
2016-04-15,1924.0540771484375
2016-04-18,1920.068603515625
2016-04-19,1942.9857177734375
2016-04-20,1923.0579833984375
2016-04-21,1889.1800537109375
2016-04-22,1859.2879638671875
2016-04-25,1844.3419189453125
2016-04-26,1859.2879638671875
2016-04-27,1847.3314208984375
2016-04-28,1859.2879638671875
2016-04-29,1850.3201904296875
2016-05-03,1896.15478515625
2016-05-04,1921.0650634765625
2016-05-05,1920.068603515625
2016-05-06,1913.0936279296875
2016-05-09,1904.1258544921875
2016-05-10,1899.14404296875
2016-05-11,1916.082763671875
2016-05-12,1862.602783203125
2016-05-13,1844.6641845703125
2016-05-16,1866.589111328125
2016-05-17,1863.5989990234375
2016-05-18,1855.626708984375
2016-05-19,1871.5718994140625
2016-05-20,1866.589111328125
2016-05-23,1871.5718994140625
2016-05-24,1925.3870849609375
2016-05-25,1911.4346923828125
2016-05-26,1937.345947265625
2016-05-27,1940.3355712890625
2016-05-31,1961.263671875
2016-06-01,1967.2432861328125
2016-06-02,1955.2841796875
2016-06-03,1970.2327880859375
2016-06-06,1969.236328125
2016-06-07,1953.2908935546875
2016-06-08,1963.2567138671875
2016-06-09,1965.2501220703125
2016-06-10,1898.4791259765625
2016-06-13,1843.6673583984375
2016-06-14,1820.7462158203125
2016-06-15,1849.647216796875
2016-06-16,1840.6778564453125
2016-06-17,1852.6368408203125
2016-06-20,1928.3768310546875
2016-06-21,1963.2567138671875
2016-06-22,1987.1746826171875
2016-06-23,2004.116455078125
2016-06-24,1943.3253173828125
2016-06-27,1820.7462158203125
2016-06-28,1896.486328125
2016-06-29,1956.280517578125
2016-06-30,2023.0513916015625
2016-07-01,2041.986083984375
2016-07-04,2002.123291015625
2016-07-05,1931.366455078125
2016-07-06,1906.4520263671875
2016-07-07,1937.345947265625
2016-07-08,1975.215576171875
2016-07-11,1997.140380859375
2016-07-12,1997.140380859375
2016-07-13,2028.0343017578125
2016-07-14,2022.054931640625
2016-07-15,2002.123291015625
2016-07-18,2033.0169677734375
2016-07-19,2038.000244140625
2016-07-20,2095.801513671875
2016-07-21,2098.791015625
2016-07-22,2090.81884765625
2016-07-25,2131.678466796875
2016-07-26,2134.668212890625
2016-07-27,2136.661376953125
2016-07-28,2126.696044921875
2016-07-29,2156.592529296875
2016-08-01,2141.644287109375
2016-08-02,2203.43115234375
2016-08-03,2166.55810546875
2016-08-04,2186.489990234375
2016-08-05,2204.427978515625
2016-08-08,2212.4013671875
2016-08-09,2235.32275390625
2016-08-10,2240.3056640625
2016-08-11,2241.302001953125
2016-08-12,2237.3154296875
2016-08-15,2252.2646484375
2016-08-16,2246.28515625
2016-08-17,2073.876953125
2016-08-18,2123.705078125
2016-08-19,2122.70849609375
2016-08-22,2116.729736328125
2016-08-23,2114.736572265625
2016-08-24,2078.85986328125
2016-08-25,2054.94189453125
2016-08-26,2037.0032958984375
2016-08-30,2040.9896240234375
2016-08-31,2042.98291015625
2016-09-01,2041.986083984375
2016-09-02,2078.85986328125
2016-09-05,2070.8876953125
2016-09-06,2052.948974609375
2016-09-07,2051.952392578125
2016-09-08,2004.474853515625
2016-09-09,1965.601318359375
2016-09-12,1950.64990234375
2016-09-13,1934.701904296875
2016-09-14,1968.59130859375
2016-09-15,2008.4620361328125
2016-09-16,1995.504150390625
2016-09-19,2044.3447265625
2016-09-20,2073.251220703125
2016-09-21,2073.251220703125
2016-09-22,2088.201904296875
2016-09-23,2080.227783203125
2016-09-26,2076.2412109375
2016-09-27,2055.308837890625
2016-09-28,2065.276611328125
2016-09-29,2077.23779296875
2016-09-30,2042.3514404296875
2016-10-03,2086.208984375
2016-10-04,2103.153564453125
2016-10-05,2070.26025390625
2016-10-06,2061.28955078125
2016-10-07,2059.296630859375
2016-10-10,2036.3709716796875
2016-10-11,2017.4326171875
2016-10-12,2017.4326171875
2016-10-13,1997.4974365234375
2016-10-14,2019.4259033203125
2016-10-17,1942.676025390625
2016-10-18,1956.6304931640625
2016-10-19,1963.6080322265625
2016-10-20,1960.61767578125
2016-10-21,1961.6143798828125
2016-10-24,1950.64990234375
2016-10-25,1951.6468505859375
2016-10-26,1917.75732421875
2016-10-27,1918.75390625
2016-10-28,1891.841552734375
2016-10-31,1910.77978515625
2016-11-01,1915.7635498046875
2016-11-02,1895.82861328125
2016-11-03,1902.805908203125
2016-11-04,1866.922607421875
2016-11-07,1869.9127197265625
2016-11-08,1867.91943359375
2016-11-09,1894.83154296875
2016-11-10,1885.86083984375
2016-11-11,1879.88037109375
2016-11-14,1873.89990234375
2016-11-15,1886.8577880859375
2016-11-16,1878.883544921875
2016-11-17,1908.7862548828125
2016-11-18,1910.77978515625
2016-11-21,1887.854248046875
2016-11-22,1960.61767578125
2016-11-23,1919.7506103515625
2016-11-24,1921.744140625
2016-11-25,1916.7603759765625
2016-11-28,1909.783203125
2016-11-29,1892.8382568359375
2016-11-30,1894.83154296875
2016-12-01,1841.007080078125
2016-12-02,1834.0296630859375
2016-12-05,1830.0426025390625
2016-12-06,1837.02001953125
2016-12-07,1851.971435546875
2016-12-08,1834.0296630859375
2016-12-09,1818.0816650390625
2016-12-12,1786.1854248046875
2016-12-13,1797.1497802734375
2016-12-14,1790.172607421875
2016-12-15,1784.191650390625
2016-12-16,1776.2177734375
2016-12-19,1788.1790771484375
2016-12-20,1784.191650390625
2016-12-21,1780.204833984375
2016-12-22,1784.191650390625
2016-12-23,1793.16259765625
2016-12-28,1792.1658935546875
2016-12-29,1806.1204833984375
2016-12-30,1821.0718994140625
2017-01-03,1835.0260009765625
2017-01-04,1823.0653076171875
2017-01-05,1822.068603515625
2017-01-06,1824.0623779296875
2017-01-09,1822.068603515625
2017-01-10,1774.2242431640625
2017-01-11,1764.2568359375
2017-01-12,1751.298828125
2017-01-13,1768.24365234375
2017-01-16,1760.269775390625
2017-01-17,1750.3023681640625
2017-01-18,1738.3411865234375
2017-01-19,1726.3800048828125
2017-01-20,1727.376953125
2017-01-23,1744.321533203125
2017-01-24,1740.3348388671875
2017-01-25,1787.1820068359375
2017-01-26,1763.259765625
2017-01-27,1799.143310546875
2017-01-30,1791.1693115234375
2017-01-31,1770.237548828125
2017-02-01,1770.237548828125
2017-02-02,1787.1820068359375
2017-02-03,1829.0458984375
2017-02-06,1841.007080078125
2017-02-07,1855.958251953125
2017-02-08,1878.883544921875
2017-02-09,1871.90625
2017-02-10,1891.841552734375
2017-02-13,1873.89990234375
2017-02-14,1861.9388427734375
2017-02-15,1860.942138671875
2017-02-16,1860.942138671875
2017-02-17,1842.0035400390625
2017-02-20,1849.9776611328125
2017-02-21,1867.91943359375
2017-02-22,1871.90625
2017-02-23,1889.84814453125
2017-02-24,1863.9322509765625
2017-02-27,1818.0816650390625
2017-02-28,1822.068603515625
2017-03-01,1814.0946044921875
2017-03-02,1809.1107177734375
2017-03-03,1807.1173095703125
2017-03-06,1824.0623779296875
2017-03-07,1793.16259765625
2017-03-08,1823.0653076171875
2017-03-09,1903.8026123046875
2017-03-10,1897.8218994140625
2017-03-13,1894.83154296875
2017-03-14,1900.812255859375
2017-03-15,1905.796142578125
2017-03-16,1901.808837890625
2017-03-17,1938.6890869140625
2017-03-20,1970.5853271484375
2017-03-21,1985.536376953125
2017-03-22,1976.5657958984375
2017-03-23,1985.536376953125
2017-03-24,1971.581787109375
2017-03-27,1972.5782470703125
2017-03-28,1988.52685546875
2017-03-29,1970.5853271484375
2017-03-30,1983.542724609375
2017-03-31,1982.546142578125
2017-04-03,1990.5203857421875
2017-04-04,1985.536376953125
2017-04-05,1999.4910888671875
2017-04-06,1998.494140625
2017-04-07,1996.5009765625
2017-04-10,1996.5009765625
2017-04-11,2007.46533203125
2017-04-12,2004.474853515625
2017-04-13,2022.4163818359375
2017-04-18,2013.4456787109375
2017-04-19,1998.494140625
2017-04-20,2003.47802734375
2017-04-21,2000.4879150390625
2017-04-24,2036.3709716796875
2017-04-25,2009.4583740234375
2017-04-26,2018.4293212890625
2017-04-27,2019.4259033203125
2017-04-28,2004.474853515625
2017-05-02,2043.3480224609375
2017-05-03,2064.280029296875
2017-05-04,2119.101318359375
2017-05-05,2080.227783203125
2017-05-08,2101.159912109375
2017-05-09,2113.120849609375
2017-05-10,2099.166259765625
2017-05-11,2031.5321044921875
2017-05-12,2028.54150390625
2017-05-15,2004.6175537109375
2017-05-16,1992.6556396484375
2017-05-17,1992.6556396484375
2017-05-18,2009.601806640625
2017-05-19,1996.6427001953125
2017-05-22,2000.630126953125
2017-05-23,1988.6683349609375
2017-05-24,2008.60498046875
2017-05-25,2009.601806640625
2017-05-26,1999.6334228515625
2017-05-30,2024.553955078125
2017-05-31,2030.53515625
2017-06-01,2048.478271484375
2017-06-02,2064.427001953125
2017-06-05,2052.464599609375
2017-06-06,2015.5828857421875
2017-06-07,2034.522216796875
2017-06-08,2042.4969482421875
2017-06-09,2063.430419921875
2017-06-12,2057.44921875
2017-06-13,2053.462158203125
2017-06-14,2108.287841796875
2017-06-15,2076.388916015625
2017-06-16,2072.401611328125
2017-06-19,2070.40771484375
2017-06-20,2058.446533203125
2017-06-21,2031.5321044921875
2017-06-22,1998.6365966796875
2017-06-23,2029.5380859375
2017-06-26,2033.72900390625
2017-06-27,1990.8035888671875
2017-06-28,1977.703369140625
2017-06-29,1990.662109375
2017-06-30,1996.6427001953125
2017-07-03,2008.60498046875
2017-07-04,2000.630126953125
2017-07-05,2002.6241455078125
2017-07-06,2011.595458984375
2017-07-07,2024.553955078125
2017-07-10,2013.5888671875
2017-07-11,2013.5888671875
2017-07-12,2012.5921630859375
2017-07-13,2043.4937744140625
2017-07-14,2013.5888671875
2017-07-17,2011.595458984375
2017-07-18,2021.5635986328125
2017-07-19,2025.55126953125
2017-07-20,2049.474609375
2017-07-21,2046.484130859375
2017-07-24,1993.6522216796875
2017-07-25,1993.6522216796875
2017-07-26,2012.5921630859375
2017-07-27,2058.446533203125
2017-07-28,2035.51904296875
2017-07-31,2061.4365234375
2017-08-01,2124.236572265625
2017-08-02,2136.1982421875
2017-08-03,2151.151123046875
2017-08-04,2161.119140625
2017-08-07,2160.12255859375
2017-08-08,2163.113037109375
2017-08-09,2169.09375
2017-08-10,2159.125244140625
2017-08-11,2140.185791015625
2017-08-14,2160.12255859375
2017-08-15,2171.087646484375
2017-08-16,2040.5032958984375
2017-08-17,1993.6522216796875
2017-08-18,1958.763671875
2017-08-21,1985.6778564453125
2017-08-22,1963.7476806640625
2017-08-23,1956.7698974609375
2017-08-24,1958.763671875
2017-08-25,1925.8681640625
2017-08-29,1924.8717041015625
2017-08-30,1917.893798828125
2017-08-31,1924.8717041015625
2017-09-01,1919.887451171875
2017-09-04,1912.9095458984375
2017-09-05,1884.001708984375
2017-09-06,1869.0494384765625
2017-09-07,1832.5369873046875
2017-09-08,1827.5517578125
2017-09-11,1833.5340576171875
2017-09-12,1825.55810546875
2017-09-13,1806.614501953125
2017-09-14,1794.64990234375
2017-09-15,1779.6943359375
2017-09-18,1818.578857421875
2017-09-19,1811.5992431640625
2017-09-20,1799.635009765625
2017-09-21,1793.6529541015625
2017-09-22,1803.6231689453125
2017-09-25,1813.59375
2017-09-26,1795.6470947265625
2017-09-27,1793.6529541015625
2017-09-28,1797.6409912109375
2017-09-29,1811.5992431640625
2017-10-02,1828.548828125
2017-10-03,1778.6976318359375
2017-10-04,1782.6856689453125
2017-10-05,1805.6173095703125
2017-10-06,1847.492431640625
2017-10-09,1869.42724609375
2017-10-10,1874.4122314453125
2017-10-11,1876.4063720703125
2017-10-12,1881.3912353515625
2017-10-13,1877.4031982421875
2017-10-16,1886.3765869140625
2017-10-17,1874.4122314453125
2017-10-18,1888.37060546875
2017-10-19,1902.32861328125
2017-10-20,1915.2904052734375
2017-10-23,1910.30517578125
2017-10-24,1894.352783203125
2017-10-25,1888.37060546875
2017-10-26,1919.2783203125
2017-10-27,1924.2635498046875
2017-10-30,1914.2930908203125
2017-10-31,1918.281494140625
2017-11-01,1851.4805908203125
2017-11-02,1843.5047607421875
2017-11-03,1860.4537353515625
2017-11-06,1858.4595947265625
2017-11-07,1839.5164794921875
2017-11-08,1840.5135498046875
2017-11-09,1848.489501953125
2017-11-10,1851.4805908203125
2017-11-13,1833.5340576171875
2017-11-14,1855.4686279296875
2017-11-15,1854.4716796875
2017-11-16,1869.42724609375
2017-11-17,1873.4151611328125
2017-11-20,1879.3974609375
2017-11-21,1873.4151611328125
2017-11-22,1878.400146484375
2017-11-23,1876.4063720703125
2017-11-24,1880.394287109375
2017-11-27,1868.4300537109375
2017-11-28,1900.3350830078125
2017-11-29,1915.2904052734375
2017-11-30,1917.284423828125
2017-12-01,1902.32861328125
2017-12-04,1912.2991943359375
2017-12-05,1892.3587646484375
2017-12-06,1887.37353515625
2017-12-07,1838.519287109375
2017-12-08,1843.5047607421875
2017-12-11,1849.4864501953125
2017-12-12,1893.355712890625
2017-12-13,1900.0128173828125
2017-12-14,1909.308349609375
2017-12-15,1901.3321533203125
2017-12-18,1905.3199462890625
2017-12-19,1932.239501953125
2017-12-20,1921.2728271484375
2017-12-21,1927.254638671875
2017-12-22,1916.287353515625
2017-12-27,1949.189208984375
2017-12-28,1953.1773681640625
2017-12-29,1996.0499267578125
2018-01-02,1942.7086181640625
2018-01-03,1921.2728271484375
2018-01-04,1922.76806640625
2018-01-05,1866.4361572265625
2018-01-08,1881.889892578125
2018-01-09,1904.8214111328125
2018-01-10,1900.3350830078125
2018-01-11,1897.8424072265625
2018-01-12,1881.3912353515625
2018-01-15,1862.9462890625
2018-01-16,1875.907958984375
2018-01-17,1870.922607421875
2018-01-18,1869.925537109375
2018-01-19,1872.41796875
2018-01-22,1859.9552001953125
2018-01-23,1848.489501953125
2018-01-24,1844.0029296875
2018-01-25,1872.9166259765625
2018-01-26,1882.88671875
2018-01-29,1878.400146484375
2018-01-30,1850.4835205078125
2018-01-31,1842.5072021484375
2018-02-01,1820.073974609375
2018-02-02,1848.489501953125
2018-02-05,1840.5135498046875
2018-02-06,1798.139892578125
2018-02-07,1838.519287109375
2018-02-08,1814.0919189453125
2018-02-09,1846.994140625
2018-02-12,1883.884033203125
2018-02-13,1865.438720703125
2018-02-14,1877.9014892578125
2018-02-15,1879.3974609375
2018-02-16,1900.3350830078125
2018-02-19,1877.4031982421875
2018-02-20,1888.8692626953125
2018-02-21,1891.36181640625
2018-02-22,1913.794921875
2018-02-23,1917.284423828125
2018-02-26,1928.2518310546875
2018-02-27,1925.2606201171875
2018-02-28,1837.5223388671875
2018-03-01,1875.907958984375
2018-03-02,1839.5164794921875
2018-03-05,1858.9583740234375
2018-03-06,1864.9404296875
2018-03-07,1873.9136962890625
2018-03-08,1884.382568359375
2018-03-09,1908.3111572265625
2018-03-12,1939.7177734375
2018-03-13,1892.8572998046875
2018-03-14,1895.848388671875
2018-03-15,1897.8424072265625
2018-03-16,1885.37939453125
2018-03-19,1872.9166259765625
2018-03-20,1886.3765869140625
2018-03-21,1887.37353515625
2018-03-22,1878.400146484375
2018-03-23,1849.4864501953125
2018-03-26,1841.01171875
2018-03-27,1840.0145263671875
2018-03-28,1853.9730224609375
2018-03-29,1838.519287109375
2018-04-03,1844.501220703125
2018-04-04,1849.985107421875
2018-04-05,1849.4864501953125
2018-04-06,1874.9107666015625
2018-04-09,1892.3587646484375
2018-04-10,1892.8572998046875
2018-04-11,1890.364501953125
2018-04-12,1899.8365478515625
2018-04-13,1908.809814453125
2018-04-16,1894.352783203125
2018-04-17,1909.8067626953125
2018-04-18,1938.221923828125
2018-04-19,1968.6312255859375
2018-04-20,1991.064697265625
2018-04-23,1992.0614013671875
2018-04-24,1997.0465087890625
2018-04-25,1996.0499267578125
2018-04-26,1969.62841796875
2018-04-27,1989.5689697265625
2018-04-30,1987.0760498046875
2018-05-01,1999.040771484375
2018-05-02,1983.586669921875
2018-05-03,1974.613525390625
2018-05-04,1984.0850830078125
2018-05-08,1994.0556640625
2018-05-09,2006.0198974609375
2018-05-10,1966.5247802734375
2018-05-11,1935.1121826171875
2018-05-14,1924.641357421875
2018-05-15,1942.093017578125
2018-05-16,1930.625
2018-05-17,1939.5994873046875
2018-05-18,1922.1483154296875
2018-05-21,1953.56103515625
2018-05-22,1954.0595703125
2018-05-23,1936.1094970703125
2018-05-24,1938.1038818359375
2018-05-25,1972.009765625
2018-05-29,1918.658203125
2018-05-30,1929.627685546875
