Date,ARML3.SA
2021-07-29,19.632354736328125
2021-07-30,19.623430252075195
2021-08-02,19.311094284057617
2021-08-03,18.78459358215332
2021-08-04,18.963071823120117
2021-08-05,19.14154624938965
2021-08-06,19.552038192749023
2021-08-09,20.17670440673828
2021-08-10,21.85437774658203
2021-08-11,22.666444778442383
2021-08-12,21.72052574157715
2021-08-13,20.319488525390625
2021-08-16,19.007688522338867
2021-08-17,18.739973068237305
2021-08-18,18.4008731842041
2021-08-19,18.115310668945312
2021-08-20,19.59665870666504
2021-08-23,19.51634979248047
2021-08-24,19.632354736328125
2021-08-25,19.668052673339844
2021-08-26,19.453876495361328
2021-08-27,19.543113708496094
2021-08-30,18.6685848236084
2021-08-31,18.329479217529297
2021-09-01,18.142078399658203
2021-09-02,17.669118881225586
2021-09-03,17.963603973388672
2021-09-06,18.632888793945312
2021-09-08,18.427640914916992
2021-09-09,18.838134765625
2021-09-10,18.641809463500977
2021-09-13,18.820289611816406
2021-09-14,18.650737762451172
2021-09-15,18.56149673461914
2021-09-16,18.240243911743164
2021-09-17,18.070690155029297
2021-09-20,17.258625030517578
2021-09-21,17.240774154663086
2021-09-22,17.40140724182129
2021-09-23,17.615575790405273
2021-09-24,18.231319427490234
2021-09-27,18.383020401000977
2021-09-28,17.615575790405273
2021-09-29,16.964141845703125
2021-09-30,17.258625030517578
2021-10-01,18.08853530883789
2021-10-04,18.115310668945312
2021-10-05,17.93683433532715
2021-10-06,18.249168395996094
2021-10-07,18.91844940185547
2021-10-08,19.855449676513672
2021-10-11,21.149396896362305
2021-10-13,20.801368713378906
2021-10-14,21.586666107177734
2021-10-15,21.595590591430664
2021-10-18,21.3278751373291
2021-10-19,20.970924377441406
2021-10-20,20.239171981811523
2021-10-21,19.632354736328125
2021-10-22,18.56149673461914
2021-10-25,19.195091247558594
2021-10-26,18.213468551635742
2021-10-27,18.026077270507812
2021-10-28,18.052839279174805
2021-10-29,17.84759521484375
2021-11-01,18.409793853759766
2021-11-03,19.5252685546875
2021-11-04,21.87222671508789
2021-11-05,22.987703323364258
2021-11-08,22.84492301940918
2021-11-09,23.076940536499023
2021-11-10,22.800302505493164
2021-11-11,23.790842056274414
2021-11-12,23.924697875976562
2021-11-16,21.417116165161133
2021-11-17,21.1583251953125
2021-11-18,22.04178237915039
2021-11-19,22.93415641784668
2021-11-22,22.323301315307617
2021-11-23,21.920677185058594
2021-11-24,21.688047409057617
2021-11-25,21.714889526367188
2021-11-26,19.47808837890625
2021-11-29,20.578596115112305
2021-11-30,19.37071990966797
2021-12-01,18.475996017456055
2021-12-02,18.583364486694336
2021-12-03,19.504924774169922
2021-12-06,19.433349609375
2021-12-07,19.683868408203125
2021-12-08,20.265439987182617
2021-12-09,21.53594207763672
2021-12-10,22.636451721191406
2021-12-13,23.60274887084961
2021-12-14,23.244861602783203
2021-12-15,23.450647354125977
2021-12-16,22.278562545776367
2021-12-17,21.267526626586914
2021-12-20,21.768573760986328
2021-12-21,22.41277313232422
2021-12-22,22.770662307739258
2021-12-23,23.226966857910156
2021-12-27,23.20907211303711
2021-12-28,23.62064552307129
2021-12-29,23.62064552307129
2021-12-30,23.432754516601562
2022-01-03,21.59857177734375
2022-01-04,20.444387435913086
2022-01-05,18.860727310180664
2022-01-06,18.26126480102539
2022-01-07,18.252317428588867
2022-01-10,17.697593688964844
2022-01-11,17.76021957397461
2022-01-12,19.424400329589844
2022-01-13,19.22756576538086
2022-01-14,19.755447387695312
2022-01-17,19.451248168945312
2022-01-18,18.12705421447754
2022-01-19,18.529682159423828
2022-01-20,19.29913902282715
2022-01-21,18.815998077392578
2022-01-24,18.85177993774414
2022-01-25,18.63704490661621
2022-01-26,17.974952697753906
2022-01-27,18.717571258544922
2022-01-28,17.858642578125
2022-01-31,19.200721740722656
2022-02-01,19.988079071044922
2022-02-02,20.04176139831543
2022-02-03,19.728605270385742
2022-02-04,18.63704490661621
2022-02-07,18.699678421020508
2022-02-08,18.663890838623047
2022-02-09,18.84283447265625
2022-02-10,18.914411544799805
2022-02-11,18.350736618041992
2022-02-14,18.34178924560547
2022-02-15,18.74441909790039
2022-02-16,17.831796646118164
2022-02-17,16.3465633392334
2022-02-18,15.165529251098633
2022-02-21,13.984495162963867
2022-02-22,14.136597633361816
2022-02-23,13.420821189880371
2022-02-24,13.581872940063477
2022-02-25,13.75186824798584
2022-03-02,13.689238548278809
2022-03-03,13.036090850830078
2022-03-04,12.141369819641113
2022-03-07,11.094545364379883
2022-03-08,11.899795532226562
2022-03-09,12.526100158691406
2022-03-10,12.821357727050781
2022-03-11,12.481363296508789
2022-03-14,12.078740119934082
2022-03-15,12.615571975708008
2022-03-16,13.277667045593262
2022-03-17,13.349244117736816
2022-03-18,14.360278129577637
2022-03-21,14.047127723693848
2022-03-22,14.494487762451172
2022-03-23,14.977639198303223
2022-03-24,16.212352752685547
2022-03-25,16.40919303894043
2022-03-28,16.793920516967773
2022-03-29,18.07337760925293
2022-03-30,17.796005249023438
2022-03-31,17.124967575073242
2022-04-01,17.74233055114746
2022-04-04,17.468807220458984
2022-04-05,16.545150756835938
2022-04-06,16.428571701049805
2022-04-07,16.616891860961914
2022-04-08,16.276124954223633
2022-04-11,15.962255477905273
2022-04-12,15.756004333496094
2022-04-13,16.141611099243164
2022-04-14,15.056533813476562
2022-04-18,14.984792709350586
2022-04-19,15.316593170166016
2022-04-20,14.796476364135742
2022-04-22,13.863847732543945
2022-04-25,13.989397048950195
2022-04-26,13.442375183105469
2022-04-27,13.693466186523438
2022-04-28,13.908687591552734
