Date,BALL
2015-08-03,30.432531356811523
2015-08-04,30.654111862182617
2015-08-05,30.86663818359375
2015-08-06,31.345958709716797
2015-08-07,31.345958709716797
2015-08-10,32.04233932495117
2015-08-11,31.721282958984375
2015-08-12,31.513282775878906
2015-08-13,31.816253662109375
2015-08-14,32.426700592041016
2015-08-17,32.40410232543945
2015-08-18,32.38148880004883
2015-08-19,31.9473819732666
2015-08-20,31.165090560913086
2015-08-21,30.36922836303711
2015-08-24,29.302059173583984
2015-08-25,28.754905700683594
2015-08-26,28.872474670410156
2015-08-27,29.790424346923828
2015-08-28,30.1392879486084
2015-08-31,29.862916946411133
2015-09-01,29.174224853515625
2015-09-02,29.405302047729492
2015-09-03,29.998844146728516
2015-09-04,29.002056121826172
2015-09-08,30.302410125732422
2015-09-09,30.266162872314453
2015-09-10,30.288816452026367
2015-09-11,30.18008041381836
2015-09-14,29.84026527404785
2015-09-15,30.497241973876953
2015-09-16,30.732845306396484
2015-09-17,30.44739532470703
2015-09-18,30.33865737915039
2015-09-21,30.379436492919922
2015-09-22,29.396238327026367
2015-09-23,28.712078094482422
2015-09-24,28.444753646850586
2015-09-25,28.52630615234375
2015-09-28,27.524986267089844
2015-09-29,27.411720275878906
2015-09-30,28.181968688964844
2015-10-01,28.60787010192871
2015-10-02,29.024709701538086
2015-10-05,29.314672470092773
2015-10-06,28.730205535888672
2015-10-07,29.25124740600586
2015-10-08,29.948999404907227
2015-10-09,30.148359298706055
2015-10-12,30.257091522216797
2015-10-13,29.912761688232422
2015-10-14,30.030555725097656
2015-10-15,30.1392879486084
2015-10-16,30.329591751098633
2015-10-19,30.175539016723633
2015-10-20,30.383962631225586
2015-10-21,29.958065032958984
2015-10-22,31.000158309936523
2015-10-23,30.732845306396484
2015-10-26,30.692066192626953
2015-10-27,30.57879638671875
2015-10-28,30.791736602783203
2015-10-29,30.501766204833984
2015-10-30,31.03641128540039
2015-11-02,31.82477569580078
2015-11-03,30.72831153869629
2015-11-04,30.547080993652344
2015-11-05,30.7147159576416
2015-11-06,30.71017837524414
2015-11-09,30.0577392578125
2015-11-10,30.705663681030273
2015-11-11,30.891420364379883
2015-11-12,29.64090347290039
2015-11-13,29.86745262145996
2015-11-16,30.030555725097656
2015-11-17,29.962596893310547
2015-11-18,30.972986221313477
2015-11-19,30.995637893676758
2015-11-20,31.462310791015625
2015-11-23,31.16327476501465
2015-11-24,31.40793800354004
2015-11-25,31.17232894897461
2015-11-27,31.32668113708496
2015-11-30,31.512794494628906
2015-12-01,31.2495059967041
2015-12-02,30.641212463378906
2015-12-03,30.822792053222656
2015-12-04,31.671669006347656
2015-12-07,31.231342315673828
2015-12-08,30.613983154296875
2015-12-09,31.2495059967041
2015-12-10,32.634033203125
2015-12-11,32.38436508178711
2015-12-14,32.16193389892578
2015-12-15,32.2935905456543
2015-12-16,32.51599884033203
2015-12-17,32.01212692260742
2015-12-18,31.68983268737793
2015-12-21,31.92588233947754
2015-12-22,32.20280075073242
2015-12-23,32.947265625
2015-12-24,32.929107666015625
2015-12-28,33.02443313598633
2015-12-29,33.51015090942383
2015-12-30,33.28771209716797
2015-12-31,33.01534652709961
2016-01-04,32.733917236328125
2016-01-05,33.1197624206543
2016-01-06,32.80653381347656
2016-01-07,31.939495086669922
2016-01-08,31.676218032836914
2016-01-11,31.39476776123047
2016-01-12,32.04390335083008
2016-01-13,31.158710479736328
2016-01-14,31.240413665771484
2016-01-15,31.308515548706055
2016-01-19,31.47648048400879
2016-01-20,31.14055633544922
2016-01-21,30.441482543945312
2016-01-22,31.213186264038086
2016-01-25,30.24628257751465
2016-01-26,30.79102897644043
2016-01-27,30.00569725036621
2016-01-28,30.368854522705078
2016-01-29,30.337074279785156
2016-02-01,30.505033493041992
2016-02-02,29.769649505615234
2016-02-03,30.01477813720703
2016-02-04,30.795564651489258
2016-02-05,29.606224060058594
2016-02-08,29.002485275268555
2016-02-09,29.574451446533203
2016-02-10,29.6243839263916
2016-02-11,29.088735580444336
2016-02-12,29.583528518676758
2016-02-16,30.078330993652344
2016-02-17,30.468717575073242
2016-02-18,30.200897216796875
2016-02-19,29.987533569335938
2016-02-22,30.173660278320312
2016-02-23,29.973920822143555
2016-02-24,30.368854522705078
2016-02-25,30.337074279785156
2016-02-26,30.478076934814453
2016-02-29,30.12331199645996
2016-03-01,30.882871627807617
2016-03-02,30.960187911987305
2016-03-03,31.2421932220459
2016-03-04,31.01022720336914
2016-03-07,30.59178352355957
2016-03-08,30.664560317993164
2016-03-09,30.70093536376953
2016-03-10,30.555395126342773
2016-03-11,31.392284393310547
2016-03-14,31.278566360473633
2016-03-15,31.192153930664062
2016-03-16,31.687917709350586
2016-03-17,32.56118392944336
2016-03-18,32.00629806518555
2016-03-21,31.787981033325195
2016-03-22,32.07451629638672
2016-03-23,32.05633544921875
2016-03-24,31.947168350219727
2016-03-28,32.001747131347656
2016-03-29,32.29738998413086
2016-03-30,32.247352600097656
2016-03-31,32.424747467041016
2016-04-01,32.57029342651367
2016-04-04,32.11090850830078
2016-04-05,32.069976806640625
2016-04-06,32.424747467041016
2016-04-07,32.12908935546875
2016-04-08,32.20186996459961
2016-04-11,32.05178451538086
2016-04-12,32.361061096191406
2016-04-13,32.688541412353516
2016-04-14,32.679443359375
2016-04-15,32.875030517578125
2016-04-18,33.94386672973633
2016-04-19,34.10761642456055
2016-04-20,34.26224899291992
2016-04-21,34.18492889404297
2016-04-22,34.49421310424805
2016-04-25,33.975711822509766
2016-04-26,34.139442443847656
2016-04-27,34.048484802246094
