Date,ESSITY-B.ST
2017-06-15,200.6103973388672
2017-06-16,197.05833435058594
2017-06-19,197.38125610351562
2017-06-20,198.59219360351562
2017-06-21,197.4619903564453
2017-06-22,195.04014587402344
2017-06-23,195.04014587402344
2017-06-26,197.05833435058594
2017-06-27,192.94114685058594
2017-06-28,190.76150512695312
2017-06-29,189.38912963867188
2017-06-30,186.0792694091797
2017-07-03,185.5948944091797
2017-07-04,188.50112915039062
2017-07-05,186.40216064453125
2017-07-06,184.86834716796875
2017-07-07,185.6756134033203
2017-07-10,191.3266143798828
2017-07-11,190.03494262695312
2017-07-12,195.363037109375
2017-07-13,192.53753662109375
2017-07-14,192.53753662109375
2017-07-17,193.02191162109375
2017-07-18,191.08444213867188
2017-07-19,192.53753662109375
2017-07-20,191.6495361328125
2017-07-21,189.7927703857422
2017-07-24,188.3396453857422
2017-07-25,187.29017639160156
2017-07-26,189.14695739746094
2017-07-27,189.71205139160156
2017-07-28,187.53236389160156
2017-07-31,188.98550415039062
2017-08-01,189.0662078857422
2017-08-02,186.0792694091797
2017-08-03,185.9178009033203
2017-08-04,185.27197265625
2017-08-07,184.54542541503906
2017-08-08,184.1417694091797
2017-08-09,181.63919067382812
2017-08-10,179.7017059326172
2017-08-11,178.57150268554688
2017-08-14,180.10536193847656
2017-08-15,179.2173309326172
2017-08-16,178.16787719726562
2017-08-17,176.71475219726562
2017-08-18,174.6157989501953
2017-08-21,173.96998596191406
2017-08-22,175.665283203125
2017-08-23,175.907470703125
2017-08-24,179.86317443847656
2017-08-25,181.63919067382812
2017-08-28,182.68865966796875
2017-08-29,180.3475341796875
2017-08-30,177.5220184326172
2017-08-31,178.08714294433594
2017-09-01,178.81369018554688
2017-09-04,178.73294067382812
2017-09-05,178.00640869140625
2017-09-06,178.89442443847656
2017-09-07,181.71990966796875
2017-09-08,181.63919067382812
2017-09-11,180.0246124267578
2017-09-12,180.0246124267578
2017-09-13,179.5402374267578
2017-09-14,180.6704559326172
2017-09-15,178.89442443847656
2017-09-18,178.3292999267578
2017-09-19,175.907470703125
2017-09-20,175.9882049560547
