Date,MFSL.NS
2015-08-21,539.5310668945312
2015-08-24,509.430419921875
2015-08-25,510.0750427246094
2015-08-26,494.1568908691406
2015-08-27,501.6448669433594
2015-08-28,500.0580139160156
2015-08-31,496.73553466796875
2015-09-01,482.3050537109375
2015-09-02,487.41278076171875
2015-09-03,505.16571044921875
2015-09-04,498.66949462890625
2015-09-07,485.87548828125
2015-09-08,481.36285400390625
2015-09-09,504.8681640625
2015-09-10,502.1903381347656
2015-09-11,502.7854309082031
2015-09-14,502.6366271972656
2015-09-15,492.10296630859375
2015-09-16,495.7301330566406
2015-09-18,491.9042053222656
2015-09-21,520.17626953125
2015-09-22,525.8406372070312
2015-09-23,516.151611328125
2015-09-24,502.5372619628906
2015-09-28,506.3135070800781
2015-09-29,508.1519470214844
2015-09-30,508.59912109375
2015-10-01,513.3193969726562
2015-10-05,521.0706176757812
2015-10-06,512.1766357421875
2015-10-07,522.4121704101562
2015-10-08,523.45556640625
2015-10-09,511.2325439453125
2015-10-12,521.4681396484375
2015-10-13,523.3562622070312
2015-10-14,536.8214721679688
2015-10-15,544.2249755859375
2015-10-16,531.7036743164062
2015-10-19,535.976806640625
2015-10-20,543.827392578125
2015-10-21,540.5977783203125
2015-10-23,524.200927734375
2015-10-26,531.107421875
2015-10-27,527.082763671875
2015-10-28,525.4927978515625
2015-10-29,524.4990844726562
2015-10-30,525.9400024414062
2015-11-02,529.1199951171875
2015-11-03,526.4865112304688
2015-11-04,526.089111328125
2015-11-05,522.7599487304688
2015-11-06,528.9212646484375
2015-11-09,525.34375
2015-11-10,517.989990234375
2015-11-13,528.2752685546875
2015-11-16,535.4302368164062
2015-11-17,546.1626586914062
2015-11-18,559.9261474609375
2015-11-19,574.0326538085938
2015-11-20,574.7803344726562
2015-11-23,554.044189453125
2015-11-24,540.38623046875
2015-11-26,539.4391479492188
2015-11-27,538.9906005859375
2015-11-30,526.080322265625
2015-12-01,533.35791015625
2015-12-02,530.1178588867188
2015-12-03,537.7444458007812
2015-12-04,536.2490234375
2015-12-07,532.4108276367188
2015-12-08,526.6286010742188
2015-12-09,513.5189819335938
2015-12-10,505.2943115234375
2015-12-11,489.54278564453125
2015-12-14,485.30584716796875
2015-12-15,485.3556823730469
2015-12-16,480.3211669921875
2015-12-17,498.66473388671875
2015-12-18,498.66473388671875
2015-12-21,497.96685791015625
2015-12-22,497.8671569824219
2015-12-23,498.26593017578125
2015-12-24,494.77667236328125
2015-12-28,512.3724975585938
2015-12-29,507.0389404296875
2015-12-30,500.01055908203125
2015-12-31,506.341064453125
2016-01-01,522.2421264648438
2016-01-04,515.91162109375
2016-01-05,512.6217651367188
2016-01-06,508.43463134765625
2016-01-07,498.8641052246094
