Date,FERG.L
2015-08-24,4169.59423828125
2015-08-25,4302.29736328125
2015-08-26,4260.1689453125
2015-08-27,4369.701171875
2015-08-28,4430.7861328125
2015-09-01,4314.935546875
2015-09-02,4387.6064453125
2015-09-03,4449.74560546875
2015-09-04,4389.7119140625
2015-09-07,4407.61669921875
2015-09-08,4419.203125
2015-09-09,4449.74560546875
2015-09-10,4410.7763671875
2015-09-11,4420.25537109375
2015-09-14,4377.07373046875
2015-09-15,4437.1064453125
2015-09-16,4473.9677734375
2015-09-17,4434.99951171875
2015-09-18,4356.0107421875
2015-09-21,4447.63818359375
2015-09-22,4332.84130859375
2015-09-23,4438.16015625
2015-09-24,4333.89306640625
2015-09-25,4451.8505859375
2015-09-28,4401.29833984375
2015-09-29,3850.477783203125
2015-09-30,4063.22265625
2015-10-01,3983.179931640625
2015-10-02,3872.59375
2015-10-05,3945.2646484375
2015-10-06,4006.350341796875
2015-10-07,3949.4775390625
2015-10-08,3891.55224609375
2015-10-09,3886.2861328125
2015-10-12,3922.093994140625
2015-10-13,3893.658203125
2015-10-14,3853.636474609375
2015-10-15,3905.2431640625
2015-10-16,3914.72216796875
2015-10-19,3937.891845703125
2015-10-20,3953.6904296875
2015-10-21,4004.24365234375
2015-10-22,3929.038818359375
2015-10-23,4062.815673828125
2015-10-26,3977.492919921875
2015-10-27,3939.57275390625
2015-10-28,3981.70703125
2015-10-29,3958.533203125
2015-10-30,4020.681396484375
2015-11-02,4045.961669921875
2015-11-03,4032.268798828125
2015-11-04,4023.841552734375
2015-11-05,4003.82763671875
2015-11-06,4062.815673828125
2015-11-09,4008.041015625
2015-11-10,3823.702880859375
2015-11-11,3850.036376953125
2015-11-12,3757.3408203125
2015-11-13,3748.914306640625
2015-11-16,3777.354736328125
2015-11-17,3847.93017578125
2015-11-18,3852.143310546875
2015-11-19,3915.34521484375
2015-11-20,3950.105712890625
2015-11-23,3971.173828125
2015-11-24,3959.586669921875
2015-11-25,4000.668212890625
2015-11-26,4019.6279296875
2015-11-27,4009.093994140625
2015-11-30,4059.65576171875
2015-12-01,4076.50927734375
2015-12-02,4126.017578125
2015-12-03,4089.149658203125
2015-12-04,4088.0966796875
2015-12-07,4121.8046875
2015-12-08,4062.815673828125
2015-12-09,4054.388916015625
2015-12-10,4018.574951171875
2015-12-11,3916.398193359375
2015-12-14,3847.93017578125
2015-12-15,3875.317138671875
2015-12-16,3876.37109375
2015-12-17,3897.437744140625
2015-12-18,3845.822998046875
2015-12-21,3827.916259765625
2015-12-22,3826.8623046875
2015-12-23,3893.224365234375
2015-12-24,3878.4775390625
2015-12-29,3957.479736328125
2015-12-30,3920.612060546875
2015-12-31,3887.957275390625
2016-01-04,3778.408203125
2016-01-05,3827.916259765625
2016-01-06,3784.72802734375
2016-01-07,3627.77734375
2016-01-08,3629.88427734375
2016-01-11,3606.71044921875
2016-01-12,3634.09765625
2016-01-13,3643.577880859375
2016-01-14,3584.58984375
2016-01-15,3532.974365234375
2016-01-18,3470.82666015625
2016-01-19,3546.6689453125
2016-01-20,3446.599365234375
2016-01-21,3543.50830078125
2016-01-22,3672.018798828125
2016-01-25,3608.8173828125
2016-01-26,3593.01611328125
2016-01-27,3627.77734375
2016-01-28,3532.974365234375
2016-01-29,3647.790771484375
2016-02-01,3635.151123046875
2016-02-02,3529.815185546875
2016-02-03,3457.133056640625
2016-02-04,3502.427490234375
2016-02-05,3494.000732421875
2016-02-08,3402.357421875
2016-02-09,3479.25390625
2016-02-10,3483.466796875
2016-02-11,3428.692138671875
2016-02-12,3573.0029296875
2016-02-15,3692.032470703125
2016-02-16,3683.60546875
2016-02-17,3803.689208984375
2016-02-18,3798.4228515625
2016-02-19,3795.26171875
2016-02-22,3840.555908203125
2016-02-23,3804.742919921875
2016-02-24,3754.1806640625
2016-02-25,3822.649658203125
2016-02-26,3884.797119140625
2016-02-29,3903.75830078125
2016-03-01,3942.732666015625
2016-03-02,3937.465087890625
2016-03-03,4023.841552734375
2016-03-04,4095.470703125
2016-03-07,4047.01513671875
2016-03-08,3962.74658203125
2016-03-09,3985.92041015625
2016-03-10,3903.75830078125
2016-03-11,3953.26611328125
2016-03-14,4013.30810546875
2016-03-15,4018.574951171875
2016-03-16,4047.01513671875
2016-03-17,4084.93701171875
2016-03-18,4048.06884765625
2016-03-21,4070.189697265625
2016-03-22,4137.60498046875
2016-03-23,4140.76416015625
2016-03-24,4090.20263671875
2016-03-29,4114.43115234375
2016-03-30,4208.1796875
2016-03-31,4149.53759765625
2016-04-01,4192.7275390625
2016-04-04,4170.60595703125
2016-04-05,4150.59130859375
2016-04-06,4160.07177734375
2016-04-07,4087.383056640625
2016-04-08,4161.12451171875
2016-04-11,4108.4541015625
2016-04-12,4124.25439453125
2016-04-13,4187.46240234375
2016-04-14,4151.64453125
2016-04-15,4055.7802734375
2016-04-18,4068.421630859375
2016-04-19,4093.70361328125
2016-04-20,4067.3681640625
2016-04-21,4084.223388671875
2016-04-22,4069.475341796875
2016-04-25,4112.66552734375
2016-04-26,4104.23828125
2016-04-27,4145.32373046875
2016-04-28,4124.25439453125
2016-04-29,4025.22998046875
2016-05-03,4056.833984375
2016-05-04,4074.7421875
2016-05-05,4056.833984375
2016-05-06,4097.9189453125
2016-05-09,4129.52197265625
2016-05-10,4123.201171875
2016-05-11,4122.1484375
2016-05-12,4081.062744140625
2016-05-13,4080.010498046875
2016-05-16,4122.1484375
2016-05-17,4150.59130859375
2016-05-18,4171.6591796875
2016-05-19,4131.62890625
2016-05-20,4184.30078125
