Date,TMUS
2015-08-03,40.424293518066406
2015-08-04,40.1514892578125
2015-08-05,39.69355773925781
2015-08-06,39.38178253173828
2015-08-07,39.32331848144531
2015-08-10,40.40481185913086
2015-08-11,39.898162841796875
2015-08-12,40.29763412475586
2015-08-13,40.17097473144531
2015-08-14,40.17097473144531
2015-08-17,40.92119598388672
2015-08-18,40.960166931152344
2015-08-19,40.7847900390625
2015-08-20,39.69355773925781
2015-08-21,39.09922790527344
2015-08-24,37.73518753051758
2015-08-25,37.15060043334961
2015-08-26,37.95928192138672
2015-08-27,38.91410827636719
2015-08-28,38.972564697265625
2015-08-31,38.59258270263672
2015-09-01,37.95928192138672
2015-09-02,38.31003952026367
2015-09-03,38.43669128417969
2015-09-04,38.21260452270508
2015-09-08,39.24537658691406
2015-09-09,38.42695236206055
2015-09-10,38.63155746459961
2015-09-11,38.79718780517578
2015-09-14,38.92384719848633
2015-09-15,40.24892044067383
2015-09-16,40.46327209472656
2015-09-17,41.379127502441406
2015-09-18,40.76530075073242
2015-09-21,41.710391998291016
2015-09-22,41.25246047973633
2015-09-23,41.92473602294922
2015-09-24,41.42784118652344
2015-09-25,41.632442474365234
2015-09-28,39.498695373535156
2015-09-29,38.54386901855469
2015-09-30,38.787452697753906
2015-10-01,39.09922790527344
2015-10-02,39.65458679199219
2015-10-05,39.90790939331055
2015-10-06,39.605873107910156
2015-10-07,39.33306121826172
2015-10-08,38.54386901855469
2015-10-09,38.59258270263672
2015-10-12,39.48895263671875
2015-10-13,39.147945404052734
2015-10-14,38.49515151977539
2015-10-15,38.91410827636719
2015-10-16,39.498695373535156
2015-10-19,40.1514892578125
2015-10-20,39.65458679199219
2015-10-21,39.186920166015625
2015-10-22,39.401268005371094
2015-10-23,40.20994567871094
2015-10-26,40.31712341308594
2015-10-27,38.01774215698242
2015-10-28,38.300289154052734
2015-10-29,36.517295837402344
2015-10-30,36.9167594909668
2015-11-02,37.306488037109375
2015-11-03,37.666988372802734
2015-11-04,37.86185073852539
2015-11-05,38.42695236206055
2015-11-06,38.10543441772461
2015-11-09,37.56956100463867
2015-11-10,36.078853607177734
2015-11-11,36.43934631347656
2015-11-12,36.99470520019531
2015-11-13,37.725440979003906
2015-11-16,36.897281646728516
2015-11-17,37.17008972167969
2015-11-18,36.36140823364258
2015-11-19,36.760868072509766
2015-11-20,37.452632904052734
2015-11-23,37.05316925048828
2015-11-24,37.403926849365234
2015-11-25,36.0203971862793
2015-11-27,35.94245529174805
2015-11-30,34.588157653808594
2015-12-01,35.25069046020508
2015-12-02,34.80250930786133
2015-12-03,33.672298431396484
2015-12-04,34.5394401550293
2015-12-07,35.65015411376953
2015-12-08,35.94245529174805
2015-12-09,35.14351272583008
2015-12-10,35.40658187866211
2015-12-11,35.075313568115234
2015-12-14,35.58195495605469
2015-12-15,37.17982482910156
2015-12-16,38.12491989135742
2015-12-17,38.193115234375
2015-12-18,36.9167594909668
2015-12-21,37.97876739501953
2015-12-22,38.25157165527344
2015-12-23,39.09922790527344
2015-12-24,38.65104675292969
2015-12-28,38.75822067260742
2015-12-29,39.089481353759766
2015-12-30,38.71924591064453
2015-12-31,38.11516571044922
2016-01-04,37.94953918457031
2016-01-05,39.186920166015625
2016-01-06,39.02128219604492
2016-01-07,39.46946716308594
2016-01-08,38.855648040771484
2016-01-11,38.66079330444336
2016-01-12,39.031028747558594
2016-01-13,37.85210418701172
2016-01-14,38.37823486328125
2016-01-15,36.819332122802734
2016-01-19,36.68293380737305
2016-01-20,36.40037536621094
2016-01-21,36.147056579589844
2016-01-22,36.87778854370117
2016-01-25,36.9167594909668
2016-01-26,38.417205810546875
2016-01-27,37.51109313964844
2016-01-28,37.67673110961914
2016-01-29,39.11871337890625
2016-02-01,39.54741668701172
2016-02-02,38.26131820678711
2016-02-03,37.35520553588867
2016-02-04,37.70595932006836
2016-02-05,34.744049072265625
2016-02-08,33.08770751953125
2016-02-09,33.01950454711914
2016-02-10,33.68204116821289
2016-02-11,33.15591049194336
2016-02-12,34.20817184448242
2016-02-16,35.51375198364258
2016-02-17,35.903472900390625
2016-02-18,35.68912887573242
2016-02-19,34.052284240722656
2016-02-22,34.9096794128418
2016-02-23,35.27017593383789
2016-02-24,35.835269927978516
2016-02-25,37.374698638916016
2016-02-26,36.5075569152832
2016-02-29,36.147056579589844
2016-03-01,37.65724563598633
2016-03-02,37.77416229248047
2016-03-03,37.96902847290039
2016-03-04,37.491607666015625
2016-03-07,37.647499084472656
2016-03-08,37.94953918457031
2016-03-09,37.21880340576172
2016-03-10,36.604984283447266
2016-03-11,36.78036117553711
2016-03-14,36.13731002807617
2016-03-15,35.825538635253906
2016-03-16,36.224998474121094
2016-03-17,36.20551681518555
2016-03-18,35.98141860961914
2016-03-21,36.39063262939453
2016-03-22,36.32242965698242
2016-03-23,36.117828369140625
2016-03-24,36.04962158203125
2016-03-28,36.08859634399414
2016-03-29,37.44289779663086
2016-03-30,37.452632904052734
2016-03-31,37.31623458862305
2016-04-01,38.34900665283203
2016-04-04,38.641300201416016
2016-04-05,38.1346549987793
2016-04-06,38.09568405151367
2016-04-07,37.8228759765625
2016-04-08,37.70595932006836
2016-04-11,37.647499084472656
2016-04-12,37.891082763671875
2016-04-13,37.85210418701172
2016-04-14,37.81312942504883
2016-04-15,38.28080368041992
2016-04-18,38.24182891845703
2016-04-19,38.82642364501953
2016-04-20,39.11871337890625
2016-04-21,39.216148376464844
2016-04-22,39.186920166015625
2016-04-25,40.12226104736328
2016-04-26,38.31978225708008
2016-04-27,38.68027877807617
