Date,ASAHIINDIA.NS
2015-08-21,149.35585021972656
2015-08-24,143.1226348876953
2015-08-25,139.3536834716797
2015-08-26,139.59527587890625
2015-08-27,145.055419921875
2015-08-28,146.9398651123047
2015-08-31,145.5386199951172
2015-09-01,142.6394500732422
2015-09-02,140.75494384765625
2015-09-03,140.32005310058594
2015-09-04,138.19400024414062
2015-09-07,130.2213134765625
2015-09-08,132.3956756591797
2015-09-09,134.8599395751953
2015-09-10,132.34735107421875
2015-09-11,132.202392578125
2015-09-14,135.1981964111328
2015-09-15,139.16038513183594
2015-09-16,139.11207580566406
2015-09-18,140.7066192626953
2015-09-21,139.8852081298828
2015-09-22,139.16038513183594
2015-09-23,138.7255401611328
2015-09-24,137.8074493408203
2015-09-28,138.96714782714844
2015-09-29,137.17929077148438
2015-09-30,138.2423553466797
2015-10-01,142.05960083007812
2015-10-05,149.35585021972656
2015-10-06,146.16676330566406
2015-10-07,148.29281616210938
2015-10-08,147.90626525878906
2015-10-09,147.90626525878906
2015-10-12,147.8096160888672
2015-10-13,153.26974487304688
2015-10-14,152.01341247558594
2015-10-15,153.31802368164062
2015-10-16,147.95457458496094
2015-10-19,154.57435607910156
2015-10-20,153.124755859375
2015-10-21,153.46302795410156
2015-10-23,157.95672607421875
2015-10-26,157.860107421875
2015-10-27,158.00503540039062
2015-10-28,158.34329223632812
2015-10-29,159.1163787841797
2015-10-30,157.1353302001953
2015-11-02,152.68988037109375
2015-11-03,154.47772216796875
2015-11-04,152.54493713378906
2015-11-05,146.8432159423828
2015-11-06,142.88101196289062
2015-11-09,147.7613067626953
2015-11-10,142.3011932373047
2015-11-13,142.59112548828125
2015-11-16,142.3978271484375
2015-11-17,143.0260009765625
2015-11-18,142.687744140625
2015-11-19,146.60159301757812
2015-11-20,148.29281616210938
2015-11-23,147.0364990234375
2015-11-24,152.3516387939453
2015-11-26,153.84957885742188
2015-11-27,152.68988037109375
2015-11-30,148.09951782226562
2015-12-01,146.55328369140625
2015-12-02,149.98399353027344
2015-12-03,144.81381225585938
2015-12-04,142.4944610595703
2015-12-07,143.6541290283203
2015-12-08,143.94406127929688
2015-12-09,141.04486083984375
2015-12-10,146.36004638671875
2015-12-11,145.00709533691406
2015-12-14,151.2403106689453
2015-12-15,154.47772216796875
2015-12-16,152.8348388671875
2015-12-17,157.95672607421875
2015-12-18,156.84539794921875
2015-12-21,160.17941284179688
2015-12-22,157.23193359375
2015-12-23,156.99034118652344
2015-12-24,157.37689208984375
2015-12-28,155.3957977294922
2015-12-29,155.0092315673828
2015-12-30,157.03866577148438
2015-12-31,157.32858276367188
2016-01-01,157.6184844970703
2016-01-04,156.89369201660156
2016-01-05,158.58486938476562
2016-01-06,159.74456787109375
2016-01-07,158.2949676513672
2016-01-08,159.45462036132812
2016-01-11,158.923095703125
2016-01-12,158.53656005859375
2016-01-13,159.01974487304688
2016-01-14,157.4252166748047
2016-01-15,150.6121368408203
2016-01-18,143.07432556152344
2016-01-19,147.42306518554688
2016-01-20,141.14154052734375
2016-01-21,141.18984985351562
2016-01-22,147.90626525878906
2016-01-25,150.90203857421875
2016-01-27,149.59742736816406
2016-01-28,148.09951782226562
2016-01-29,146.9398651123047
2016-02-01,145.97348022460938
2016-02-02,141.0931854248047
2016-02-03,146.74659729003906
2016-02-04,141.86631774902344
2016-02-05,144.1373291015625
2016-02-08,143.99237060546875
2016-02-09,141.28646850585938
2016-02-10,142.4461669921875
2016-02-11,140.6583251953125
2016-02-12,140.85159301757812
2016-02-15,143.07432556152344
2016-02-16,139.0637664794922
2016-02-17,139.98182678222656
2016-02-18,144.4755859375
2016-02-19,145.10372924804688
2016-02-22,145.39364624023438
2016-02-23,144.62054443359375
2016-02-24,139.8368682861328
2016-02-25,140.6583251953125
2016-02-26,139.8368682861328
2016-02-29,146.31170654296875
2016-03-01,144.91043090820312
2016-03-02,146.0218048095703
2016-03-03,146.55328369140625
2016-03-04,149.69406127929688
2016-03-08,146.50498962402344
2016-03-09,143.50917053222656
2016-03-10,143.94406127929688
2016-03-11,142.687744140625
2016-03-14,142.4461669921875
2016-03-15,138.000732421875
2016-03-16,131.28431701660156
2016-03-17,133.02383422851562
2016-03-18,133.31373596191406
2016-03-21,136.6960906982422
2016-03-22,144.23399353027344
2016-03-23,148.82432556152344
2016-03-28,141.57640075683594
2016-03-29,141.57640075683594
2016-03-30,145.58692932128906
2016-03-31,146.21507263183594
2016-04-01,146.9398651123047
2016-04-04,148.29281616210938
2016-04-05,146.98817443847656
2016-04-06,151.72348022460938
2016-04-07,152.25503540039062
2016-04-08,152.9798126220703
2016-04-11,155.4441375732422
2016-04-12,157.2802734375
2016-04-13,161.09750366210938
2016-04-18,159.59957885742188
2016-04-20,158.4882354736328
2016-04-21,153.84957885742188
2016-04-22,157.18362426757812
2016-04-25,155.492431640625
2016-04-26,157.08700561523438
2016-04-27,156.6038055419922
2016-04-28,156.65213012695312
2016-04-29,158.19834899902344
2016-05-02,156.89369201660156
2016-05-03,154.6226806640625
2016-05-04,152.54493713378906
2016-05-05,150.75709533691406
2016-05-06,146.60159301757812
2016-05-09,148.82432556152344
2016-05-10,149.79071044921875
2016-05-11,149.30751037597656
2016-05-12,151.1919708251953
2016-05-13,145.8768310546875
2016-05-16,144.8621368408203
2016-05-17,144.52391052246094
