Date,VLO
2015-08-03,43.30352783203125
2015-08-04,43.14949035644531
2015-08-05,43.41068649291992
2015-08-06,43.986637115478516
2015-08-07,43.8125114440918
2015-08-10,46.210086822509766
2015-08-11,47.167762756347656
2015-08-12,47.007049560546875
2015-08-13,46.66547393798828
2015-08-14,45.62073516845703
2015-08-17,46.6922721862793
2015-08-18,46.52484893798828
2015-08-19,45.45330810546875
2015-08-20,45.038082122802734
2015-08-21,40.94614791870117
2015-08-24,39.19151306152344
2015-08-25,38.58205795288086
2015-08-26,39.412506103515625
2015-08-27,39.07765197753906
2015-08-28,39.51297378540039
2015-08-31,39.74066162109375
2015-09-01,38.44142532348633
2015-09-02,39.51966094970703
2015-09-03,39.78085708618164
2015-09-04,39.15132141113281
2015-09-08,40.7385368347168
2015-09-09,41.281002044677734
2015-09-10,42.15833282470703
2015-09-11,42.13153076171875
2015-09-14,40.67156982421875
2015-09-15,41.147071838378906
2015-09-16,40.38358688354492
2015-09-17,40.57780456542969
2015-09-18,40.12240219116211
2015-09-21,39.97507095336914
2015-09-22,39.66030502319336
2015-09-23,40.0621223449707
2015-09-24,40.04872512817383
2015-09-25,40.72514724731445
2015-09-28,38.76289367675781
2015-09-29,39.33883285522461
2015-09-30,40.24964141845703
2015-10-01,41.68282699584961
2015-10-02,42.25877380371094
2015-10-05,43.249961853027344
2015-10-06,42.82134246826172
2015-10-07,43.25665283203125
2015-10-08,44.00672912597656
2015-10-09,42.99545669555664
2015-10-12,43.19638442993164
2015-10-13,41.629268646240234
2015-10-14,41.10688018798828
2015-10-15,42.41951370239258
2015-10-16,42.694087982177734
2015-10-19,41.140357971191406
2015-10-20,40.23625183105469
2015-10-21,39.71388244628906
2015-10-22,40.423770904541016
2015-10-23,41.354679107666016
2015-10-26,41.455135345458984
2015-10-27,41.83016586303711
2015-10-28,42.473087310791016
2015-10-29,44.07370376586914
2015-10-30,44.147369384765625
2015-11-02,45.56045913696289
2015-11-03,46.61191940307617
2015-11-04,47.61646270751953
2015-11-05,48.172340393066406
