Date,DABUR.NS
2015-08-03,266.7811584472656
2015-08-04,267.9734191894531
2015-08-05,281.22528076171875
2015-08-06,283.2429504394531
2015-08-07,283.47216796875
2015-08-10,280.03314208984375
2015-08-11,275.03497314453125
2015-08-12,273.65936279296875
2015-08-13,267.7899475097656
2015-08-14,270.2660827636719
2015-08-17,277.78619384765625
2015-08-18,277.9696960449219
2015-08-19,272.78814697265625
2015-08-20,272.9715576171875
2015-08-21,273.88861083984375
2015-08-24,250.7779998779297
2015-08-25,250.73211669921875
2015-08-26,252.24533081054688
2015-08-27,260.9117431640625
2015-08-28,257.0599365234375
2015-08-31,250.41114807128906
2015-09-01,247.7057342529297
2015-09-02,256.9224548339844
2015-09-03,261.46209716796875
2015-09-04,262.51678466796875
2015-09-07,254.03358459472656
2015-09-08,251.74090576171875
2015-09-09,252.38287353515625
2015-09-10,256.69317626953125
2015-09-11,258.4355773925781
2015-09-14,258.34393310546875
2015-09-15,258.8941955566406
2015-09-16,251.19065856933594
2015-09-18,252.4287567138672
2015-09-21,255.9136505126953
2015-09-22,254.9048614501953
2015-09-23,252.97903442382812
2015-09-24,252.06192016601562
2015-09-28,251.78677368164062
2015-09-29,251.97019958496094
2015-09-30,253.1165313720703
2015-10-01,255.5926971435547
2015-10-05,252.29110717773438
2015-10-06,253.94189453125
2015-10-07,256.41815185546875
2015-10-08,254.76730346679688
2015-10-09,256.6473083496094
2015-10-12,255.86773681640625
2015-10-13,248.5310516357422
2015-10-14,250.18186950683594
2015-10-15,249.2647247314453
2015-10-16,250.04428100585938
2015-10-19,249.86085510253906
2015-10-20,248.57688903808594
2015-10-21,247.84335327148438
2015-10-23,241.10267639160156
2015-10-26,244.58761596679688
2015-10-27,248.5310516357422
2015-10-28,249.4022979736328
2015-10-29,249.86085510253906
2015-10-30,247.3846893310547
2015-11-02,248.39353942871094
2015-11-03,247.79747009277344
2015-11-04,247.6598358154297
2015-11-05,245.31044006347656
2015-11-06,246.60032653808594
2015-11-09,245.67897033691406
2015-11-10,243.83624267578125
2015-11-13,246.50819396972656
2015-11-16,240.3811798095703
2015-11-17,243.283447265625
2015-11-18,247.89028930664062
2015-11-19,252.45091247558594
2015-11-20,254.20147705078125
2015-11-23,253.18804931640625
2015-11-24,253.55654907226562
2015-11-26,257.7947692871094
2015-11-27,254.0171661376953
2015-11-30,251.1149444580078
2015-12-01,256.59698486328125
2015-12-02,261.5722961425781
2015-12-03,255.07675170898438
2015-12-04,250.33180236816406
2015-12-07,254.5240020751953
2015-12-08,253.46437072753906
2015-12-09,248.6734161376953
2015-12-10,248.2587890625
2015-12-11,246.92279052734375
2015-12-14,244.98797607421875
2015-12-15,251.1149444580078
2015-12-16,248.4891357421875
2015-12-17,253.83285522460938
2015-12-18,252.45091247558594
2015-12-21,255.6295623779297
2015-12-22,256.22845458984375
2015-12-23,257.4722900390625
2015-12-24,254.9385986328125
2015-12-28,255.39923095703125
2015-12-29,255.49134826660156
2015-12-30,253.37228393554688
2015-12-31,255.1688995361328
2016-01-01,254.662109375
2016-01-04,255.12283325195312
2016-01-05,254.24754333496094
2016-01-06,254.20147705078125
2016-01-07,246.64639282226562
2016-01-08,247.89028930664062
2016-01-11,242.40818786621094
2016-01-12,234.85302734375
2016-01-13,236.64968872070312
2016-01-14,239.36769104003906
2016-01-15,230.61480712890625
2016-01-18,227.85076904296875
2016-01-19,229.92381286621094
2016-01-20,229.64744567871094
2016-01-21,221.4934539794922
2016-01-22,222.0001678466797
2016-01-25,218.5911407470703
2016-01-27,218.22264099121094
2016-01-28,224.34962463378906
2016-01-29,230.9373016357422
2016-02-01,231.30584716796875
2016-02-02,222.1844482421875
2016-02-03,224.30355834960938
2016-02-04,227.80470275878906
2016-02-05,231.5361785888672
2016-02-08,231.21368408203125
2016-02-09,229.64744567871094
2016-02-10,223.79678344726562
2016-02-11,220.34173583984375
2016-02-12,228.31146240234375
2016-02-15,229.32493591308594
2016-02-16,225.8238067626953
2016-02-17,222.46087646484375
2016-02-18,224.57998657226562
2016-02-19,225.17881774902344
2016-02-22,229.04856872558594
2016-02-23,220.1113739013672
2016-02-24,217.76194763183594
2016-02-25,219.8350067138672
2016-02-26,222.3226318359375
2016-02-29,218.49903869628906
2016-03-01,222.9215087890625
2016-03-02,224.39569091796875
2016-03-03,225.8238067626953
2016-03-04,229.92381286621094
2016-03-08,229.04856872558594
2016-03-09,226.51478576660156
2016-03-10,226.60691833496094
2016-03-11,230.20022583007812
2016-03-14,231.30584716796875
2016-03-15,227.94288635253906
2016-03-16,227.80470275878906
2016-03-17,228.4496612548828
2016-03-18,229.9699249267578
2016-03-21,233.1946563720703
2016-03-22,230.0159454345703
2016-03-23,229.37098693847656
2016-03-28,224.39569091796875
2016-03-29,225.8238067626953
2016-03-30,227.343994140625
2016-03-31,230.24627685546875
2016-04-01,230.79913330078125
2016-04-04,229.92381286621094
2016-04-05,226.65298461914062
2016-04-06,228.31146240234375
2016-04-07,228.2192840576172
2016-04-08,230.38450622558594
2016-04-11,233.4710235595703
2016-04-12,242.13172912597656
2016-04-13,246.50819396972656
2016-04-18,252.12843322753906
2016-04-20,246.23175048828125
2016-04-21,246.18572998046875
2016-04-22,244.06658935546875
2016-04-25,245.81716918945312
2016-04-26,245.5867919921875
2016-04-27,251.06887817382812
2016-04-28,248.44300842285156
2016-04-29,254.10934448242188
2016-05-02,272.85888671875
2016-05-03,267.5610656738281
2016-05-04,259.13079833984375
2016-05-05,260.3744812011719
2016-05-06,267.3768615722656
2016-05-09,265.11956787109375
