Date,JHSF3.SA
2015-08-24,1.1124706268310547
2015-08-25,1.1124706268310547
2015-08-26,1.1724238395690918
2015-08-27,1.1857472658157349
2015-08-28,1.1591010093688965
2015-08-31,1.1124706268310547
2015-09-01,1.0325325727462769
2015-09-02,1.0858244895935059
2015-09-03,1.0658398866653442
2015-09-04,1.0325325727462769
2015-09-08,0.9925639629364014
2015-09-09,0.972579300403595
2015-09-10,0.9659175872802734
2015-09-11,1.0325325727462769
2015-09-14,1.0591784715652466
2015-09-15,0.9992249608039856
2015-09-16,1.0325325727462769
2015-09-17,1.0258712768554688
2015-09-18,0.9592563509941101
2015-09-21,0.9059640169143677
2015-09-22,0.8926409482955933
2015-09-23,0.8793182969093323
2015-09-24,0.9525946378707886
2015-09-25,0.9659175872802734
2015-09-28,0.9659175872802734
2015-09-29,0.9326102137565613
2015-09-30,0.9659175872802734
2015-10-01,0.9326102137565613
2015-10-02,0.9392712116241455
2015-10-05,0.9459330439567566
2015-10-06,0.9792407751083374
2015-10-07,1.0391939878463745
2015-10-08,1.0192095041275024
2015-10-09,1.1790857315063477
2015-10-13,1.125793695449829
2015-10-14,1.1657625436782837
2015-10-15,1.1657625436782837
2015-10-16,1.1191318035125732
2015-10-19,1.1457778215408325
2015-10-20,1.1990702152252197
2015-10-21,1.1990702152252197
2015-10-22,1.2123931646347046
2015-10-23,1.3056540489196777
2015-10-26,1.2457005977630615
2015-10-27,1.2190545797348022
2015-10-28,1.2523621320724487
2015-10-29,1.1990702152252197
2015-10-30,1.1657625436782837
2015-11-03,1.1591010093688965
2015-11-04,1.1657625436782837
2015-11-05,1.1657625436782837
2015-11-06,1.139116644859314
2015-11-09,1.125793695449829
2015-11-10,1.1324553489685059
2015-11-11,1.0991475582122803
2015-11-12,1.0658398866653442
2015-11-13,1.0058865547180176
2015-11-16,1.0125479698181152
2015-11-17,0.9859018325805664
2015-11-18,0.9392712116241455
2015-11-19,0.9792407751083374
2015-11-23,0.9992249608039856
2015-11-24,1.0058865547180176
2015-11-25,0.9459330439567566
2015-11-26,0.9259487390518188
2015-11-27,0.9192871451377869
2015-11-30,0.9059640169143677
2015-12-01,0.8659951686859131
2015-12-02,0.8326876163482666
2015-12-03,0.8659951686859131
2015-12-04,0.846010684967041
2015-12-07,0.8260260224342346
2015-12-08,0.8260260224342346
2015-12-09,0.846010684967041
2015-12-10,0.8593334555625916
2015-12-11,0.8793182969093323
2015-12-14,0.8193644285202026
2015-12-15,0.8193644285202026
2015-12-16,0.846010684967041
2015-12-17,0.8260260224342346
2015-12-18,0.7860569357872009
2015-12-21,0.799379825592041
2015-12-22,0.8127030730247498
2015-12-23,0.8393492698669434
2015-12-28,0.8659951686859131
2015-12-29,0.8659951686859131
2015-12-30,0.846010684967041
2016-01-04,0.799379825592041
2016-01-05,0.799379825592041
2016-01-06,0.7927187085151672
2016-01-07,0.8060414791107178
2016-01-08,0.8060414791107178
2016-01-11,0.799379825592041
2016-01-12,0.799379825592041
2016-01-13,0.7261034846305847
2016-01-14,0.7327649593353271
2016-01-15,0.7194420695304871
2016-01-18,0.7460881471633911
2016-01-19,0.7860569357872009
2016-01-20,0.846010684967041
2016-01-21,0.8393492698669434
2016-01-22,0.8127030730247498
2016-01-26,0.7660726308822632
2016-01-27,0.7927187085151672
2016-01-28,0.7860569357872009
2016-01-29,0.8326876163482666
2016-02-01,0.8326876163482666
2016-02-02,0.8326876163482666
2016-02-03,0.8393492698669434
2016-02-04,0.8993023037910461
2016-02-05,0.9192871451377869
2016-02-10,0.8993023037910461
2016-02-11,0.8526718020439148
2016-02-12,0.8526718020439148
2016-02-15,0.8326876163482666
2016-02-16,0.8526718020439148
2016-02-17,0.8526718020439148
2016-02-18,0.8060414791107178
2016-02-19,0.8260260224342346
2016-02-22,0.8526718020439148
2016-02-23,0.846010684967041
2016-02-24,0.8260260224342346
2016-02-25,0.8127030730247498
2016-02-26,0.7860569357872009
2016-02-29,0.7727338075637817
2016-03-01,0.8260260224342346
2016-03-02,0.8326876163482666
2016-03-03,0.8659951686859131
2016-03-04,0.8926409482955933
2016-03-07,0.9326102137565613
2016-03-08,0.8993023037910461
2016-03-09,0.8793182969093323
2016-03-10,0.8593334555625916
2016-03-11,0.9592563509941101
2016-03-14,0.9259487390518188
2016-03-15,0.8993023037910461
2016-03-16,0.8793182969093323
2016-03-17,0.9259487390518188
2016-03-18,0.8859794735908508
2016-03-21,0.8726565837860107
2016-03-22,0.9192871451377869
2016-03-23,0.9326102137565613
2016-03-24,0.9392712116241455
2016-03-28,0.9792407751083374
2016-03-29,0.9925639629364014
2016-03-30,1.0725016593933105
2016-03-31,1.0391939878463745
2016-04-01,1.0658398866653442
2016-04-04,1.0058865547180176
2016-04-05,0.9859018325805664
2016-04-06,0.9592563509941101
2016-04-07,0.9326102137565613
2016-04-08,0.9859018325805664
2016-04-11,0.9459330439567566
2016-04-12,0.9659175872802734
2016-04-13,1.0325325727462769
2016-04-14,1.0125479698181152
2016-04-15,1.0325325727462769
2016-04-18,1.0325325727462769
2016-04-19,1.0325325727462769
2016-04-20,0.9925639629364014
2016-04-22,0.9592563509941101
2016-04-25,0.9459330439567566
2016-04-26,0.972579300403595
2016-04-27,1.0192095041275024
2016-04-28,0.9792407751083374
2016-04-29,0.9859018325805664
2016-05-02,0.9859018325805664
2016-05-03,0.9459330439567566
2016-05-04,0.972579300403595
2016-05-05,0.9459330439567566
2016-05-06,0.9459330439567566
2016-05-09,0.9392712116241455
2016-05-10,0.9326102137565613
2016-05-11,0.9192871451377869
