Date,IP
2015-08-03,29.239892959594727
2015-08-04,29.283138275146484
2015-08-05,29.51784324645996
2015-08-06,29.196666717529297
2015-08-07,29.36343765258789
2015-08-10,29.641376495361328
2015-08-11,29.196666717529297
2015-08-12,29.371076583862305
2015-08-13,29.196666717529297
2015-08-14,29.470746994018555
2015-08-17,30.0002498626709
2015-08-18,29.651409149169922
2015-08-19,29.290098190307617
2015-08-20,28.667171478271484
2015-08-21,27.601970672607422
2015-08-24,26.169227600097656
2015-08-25,25.34073257446289
2015-08-26,26.169227600097656
2015-08-27,26.87936019897461
2015-08-28,27.24066925048828
2015-08-31,26.87313461303711
2015-09-01,25.969898223876953
2015-09-02,26.150541305541992
2015-09-03,26.256439208984375
2015-09-04,25.97612190246582
2015-09-08,26.74855613708496
2015-09-09,26.156774520874023
2015-09-10,26.050874710083008
2015-09-11,25.938743591308594
2015-09-14,25.851537704467773
2015-09-15,25.602367401123047
2015-09-16,25.670881271362305
2015-09-17,25.484004974365234
2015-09-18,25.178768157958984
2015-09-21,25.128936767578125
2015-09-22,24.64928436279297
2015-09-23,24.4561767578125
2015-09-24,24.250608444213867
2015-09-25,24.107336044311523
2015-09-28,23.347362518310547
2015-09-29,23.291303634643555
2015-09-30,23.540470123291016
2015-10-01,23.889314651489258
2015-10-02,24.244373321533203
2015-10-05,24.761411666870117
2015-10-06,24.823707580566406
2015-10-07,25.097787857055664
2015-10-08,25.59613800048828
2015-10-09,26.929208755493164
2015-10-12,26.131858825683594
2015-10-13,26.18168830871582
2015-10-14,26.23152732849121
2015-10-15,26.256439208984375
2015-10-16,26.243986129760742
2015-10-19,25.857759475708008
2015-10-20,25.814157485961914
2015-10-21,25.664663314819336
2015-10-22,26.592824935913086
2015-10-23,27.315410614013672
2015-10-26,27.072479248046875
2015-10-27,26.792158126831055
2015-10-28,27.36524772644043
2015-10-29,26.773466110229492
2015-10-30,26.592824935913086
2015-11-02,27.047548294067383
2015-11-03,26.648887634277344
2015-11-04,26.480695724487305
2015-11-05,26.187923431396484
2015-11-06,26.505613327026367
2015-11-09,26.23152732849121
2015-11-10,26.131858825683594
2015-11-11,26.362346649169922
2015-11-12,25.329999923706055
2015-11-13,25.298524856567383
2015-11-16,25.172632217407227
2015-11-17,25.097091674804688
2015-11-18,25.846172332763672
2015-11-19,25.972063064575195
2015-11-20,25.94688606262207
2015-11-23,25.92799949645996
2015-11-24,26.330867767333984
2015-11-25,26.21125602722168
2015-11-27,26.343460083007812
2015-11-30,26.330867767333984
2015-12-01,25.94688606262207
2015-12-02,25.222997665405273
2015-12-03,24.933429718017578
2015-12-04,25.323713302612305
2015-12-07,25.040451049804688
2015-12-08,24.738296508789062
2015-12-09,24.801244735717773
2015-12-10,24.39838218688965
2015-12-11,24.001813888549805
2015-12-14,23.64930534362793
2015-12-15,24.02069664001465
2015-12-16,24.285085678100586
2015-12-17,23.74374008178711
2015-12-18,23.164621353149414
2015-12-21,23.479358673095703
2015-12-22,23.69966697692871
2015-12-23,24.12770652770996
2015-12-24,24.24730110168457
2015-12-28,23.995525360107422
2015-12-29,24.329139709472656
2015-12-30,24.045881271362305
2015-12-31,23.73114013671875
2016-01-04,23.71225929260254
2016-01-05,23.91368865966797
2016-01-06,23.536001205444336
2016-01-07,22.843578338623047
2016-01-08,22.598087310791016
2016-01-11,22.912826538085938
2016-01-12,22.881349563598633
2016-01-13,22.6925106048584
2016-01-14,23.000951766967773
2016-01-15,22.925416946411133
2016-01-19,22.434419631958008
2016-01-20,22.214109420776367
2016-01-21,22.321121215820312
2016-01-22,22.944292068481445
2016-01-25,20.50823402404785
2016-01-26,20.690784454345703
2016-01-27,20.71596336364746
2016-01-28,20.55230140686035
2016-01-29,21.534276962280273
2016-02-01,21.458742141723633
2016-02-02,21.313962936401367
2016-02-03,21.50910186767578
2016-02-04,22.075624465942383
2016-02-05,22.012680053710938
2016-02-08,21.628700256347656
2016-02-09,22.1133975982666
2016-02-10,21.8930721282959
2016-02-11,21.11528205871582
2016-02-12,21.778318405151367
2016-02-16,22.377607345581055
2016-02-17,22.683626174926758
2016-02-18,22.517868041992188
2016-02-19,21.682695388793945
2016-02-22,21.899456024169922
2016-02-23,21.797449111938477
2016-02-24,22.128965377807617
2016-02-25,22.179977416992188
2016-02-26,22.466861724853516
2016-02-29,22.760128021240234
2016-03-01,23.359416961669922
2016-03-02,23.44866943359375
2016-03-03,24.424108505249023
2016-03-04,24.69187355041504
2016-03-07,24.813007354736328
2016-03-08,24.118085861206055
2016-03-09,24.577117919921875
2016-03-10,25.023391723632812
2016-03-11,25.43779754638672
2016-03-14,25.50792121887207
2016-03-15,25.163650512695312
2016-03-16,25.750185012817383
2016-03-17,26.311229705810547
2016-03-18,26.100833892822266
2016-03-21,26.432357788085938
2016-03-22,26.317594528198242
2016-03-23,25.954200744628906
2016-03-24,26.005199432373047
2016-03-28,26.04983139038086
2016-03-29,26.355850219726562
2016-03-30,26.13908576965332
2016-03-31,26.164588928222656
2016-04-01,26.119956970214844
2016-04-04,25.858570098876953
2016-04-05,25.41866683959961
2016-04-06,25.629053115844727
2016-04-07,25.24653434753418
2016-04-08,25.641813278198242
2016-04-11,25.61630630493164
2016-04-12,25.83306884765625
2016-04-13,26.343101501464844
2016-04-14,26.13271141052246
2016-04-15,26.598112106323242
2016-04-18,26.78937530517578
2016-04-19,27.363155364990234
2016-04-20,27.127275466918945
2016-04-21,27.140026092529297
2016-04-22,27.6436767578125
2016-04-25,27.318532943725586
2016-04-26,27.650054931640625
2016-04-27,28.16645622253418
