Date,RAJESHEXPO.NS
2015-08-21,558.4216918945312
2015-08-24,464.2989807128906
2015-08-25,503.2701110839844
2015-08-26,498.7317199707031
2015-08-27,510.5217590332031
2015-08-28,510.3243713378906
2015-08-31,499.71832275390625
2015-09-01,473.9677734375
2015-09-02,481.614013671875
2015-09-03,486.3004150390625
2015-09-04,463.85498046875
2015-09-07,453.1502990722656
2015-09-08,455.6661376953125
2015-09-09,468.1467590332031
2015-09-10,453.9889221191406
2015-09-11,453.8902587890625
2015-09-14,444.66546630859375
2015-09-15,418.81622314453125
2015-09-16,377.97052001953125
2015-09-18,396.17352294921875
2015-09-21,413.5872497558594
2015-09-22,424.7359619140625
2015-09-23,453.6120300292969
2015-09-24,483.0320129394531
2015-09-28,544.4925537109375
2015-09-29,549.0416259765625
2015-09-30,556.3595581054688
2015-10-01,548.4482421875
2015-10-05,574.7532348632812
2015-10-06,619.3529663085938
2015-10-07,627.80810546875
2015-10-08,640.9606323242188
2015-10-09,633.0987548828125
2015-10-12,635.4226684570312
2015-10-13,620.0946044921875
2015-10-14,626.9675903320312
2015-10-15,627.9564208984375
2015-10-16,620.5396728515625
2015-10-19,617.5728759765625
2015-10-20,624.149169921875
2015-10-21,637.4004516601562
2015-10-23,638.5377197265625
2015-10-26,633.1482543945312
2015-10-27,627.3136596679688
2015-10-28,628.89599609375
2015-10-29,630.3298950195312
2015-10-30,637.6970825195312
2015-11-02,634.2359619140625
2015-11-03,633.296630859375
2015-11-04,639.328857421875
2015-11-05,629.588134765625
2015-11-06,635.8677368164062
2015-11-09,681.5552978515625
2015-11-10,681.1597290039062
2015-11-13,690.1092529296875
2015-11-16,679.7752685546875
2015-11-17,665.0404663085938
2015-11-18,666.5733032226562
2015-11-19,675.671142578125
2015-11-20,670.67724609375
2015-11-23,681.6541748046875
2015-11-24,683.7308349609375
2015-11-26,681.9013671875
2015-11-27,673.1495361328125
2015-11-30,697.1800537109375
2015-12-01,698.4655151367188
2015-12-02,703.9540405273438
2015-12-03,680.8135986328125
2015-12-04,676.3140869140625
2015-12-07,677.7479248046875
2015-12-08,663.95263671875
2015-12-09,676.5613403320312
2015-12-10,677.2039794921875
2015-12-11,673.8912353515625
2015-12-14,676.0668334960938
2015-12-15,673.7922973632812
2015-12-16,674.138427734375
2015-12-17,673.5450439453125
2015-12-18,676.4129028320312
2015-12-21,669.7871704101562
2015-12-22,671.5672607421875
2015-12-23,671.864013671875
2015-12-24,669.5894165039062
2015-12-28,667.9083251953125
2015-12-29,669.5400390625
2015-12-30,673.9901123046875
2015-12-31,674.4844970703125
2016-01-01,671.0233764648438
2016-01-04,673.2979125976562
2016-01-05,697.1800537109375
2016-01-06,698.267822265625
2016-01-07,696.8338623046875
2016-01-08,696.784423828125
2016-01-11,701.7784423828125
2016-01-12,702.223388671875
2016-01-13,703.0145263671875
2016-01-14,703.06396484375
2016-01-15,702.371826171875
2016-01-18,700.9378051757812
2016-01-19,703.1134643554688
2016-01-20,704.1023559570312
2016-01-21,703.0145263671875
2016-01-22,706.6240234375
2016-01-25,711.8652954101562
2016-01-27,714.6837158203125
2016-01-28,715.128662109375
2016-01-29,716.1176147460938
2016-02-01,720.8643188476562
2016-02-02,721.1115112304688
2016-02-03,717.5020141601562
2016-02-04,718.1448974609375
2016-02-05,719.0348510742188
2016-02-08,718.8865356445312
2016-02-09,716.1176147460938
2016-02-10,713.6947631835938
2016-02-11,689.2687377929688
2016-02-12,702.421142578125
2016-02-15,712.4091796875
2016-02-16,711.964111328125
2016-02-17,715.0792236328125
2016-02-18,716.809814453125
2016-02-19,715.8208618164062
2016-02-22,708.7008056640625
2016-02-23,701.9761962890625
2016-02-24,696.784423828125
2016-02-25,701.3828735351562
2016-02-26,699.2566528320312
2016-02-29,700.0972900390625
2016-03-01,697.4766845703125
2016-03-02,695.94384765625
2016-03-03,691.147705078125
2016-03-04,691.147705078125
2016-03-08,687.73583984375
2016-03-09,674.682373046875
2016-03-10,680.2695922851562
2016-03-11,658.414794921875
2016-03-14,651.9373779296875
2016-03-15,641.7022094726562
2016-03-16,563.3314208984375
2016-03-17,570.1053466796875
2016-03-18,595.2237548828125
2016-03-21,603.3326416015625
2016-03-22,604.4698486328125
2016-03-23,595.81689453125
2016-03-28,589.7846069335938
2016-03-29,584.882080078125
2016-03-30,598.3020629882812
2016-03-31,615.138916015625
2016-04-01,615.2874755859375
2016-04-04,617.5159301757812
2016-04-05,628.4103393554688
2016-04-06,618.0606079101562
2016-04-07,594.0928955078125
2016-04-08,585.9219970703125
2016-04-11,599.7379760742188
2016-04-12,587.5562744140625
2016-04-13,589.1408081054688
2016-04-18,589.6856079101562
2016-04-20,582.4556274414062
2016-04-21,581.2176513671875
