Date,MIDCAP.NS
2024-03-12,139.35000610351562
2024-03-13,133.86000061035156
2024-03-14,136.14999389648438
2024-03-15,135.6300048828125
2024-03-18,134.50999450683594
2024-03-19,132.6199951171875
2024-03-20,131.85000610351562
2024-03-21,135.22999572753906
2024-03-22,135.7899932861328
2024-03-26,136.1300048828125
2024-03-27,136.89999389648438
2024-03-28,136.02999877929688
2024-04-01,139.17999267578125
2024-04-02,140.58999633789062
2024-04-03,141.25999450683594
2024-04-04,141.44000244140625
2024-04-05,141.39999389648438
2024-04-08,141.3800048828125
2024-04-09,141.47000122070312
2024-04-10,142.50999450683594
2024-04-12,142.5500030517578
2024-04-15,140.5
2024-04-16,139.77000427246094
2024-04-18,139.5800018310547
2024-04-19,138.44000244140625
2024-04-22,139.10000610351562
2024-04-23,139.47000122070312
2024-04-24,140.3699951171875
2024-04-25,140.72999572753906
2024-04-26,143.25
2024-04-29,143.08999633789062
2024-04-30,143.88999938964844
2024-05-02,144.07000732421875
2024-05-03,143.5
2024-05-06,143.52999877929688
2024-05-07,141.0800018310547
2024-05-08,143.22999572753906
2024-05-09,140.3300018310547
2024-05-10,141.10000610351562
2024-05-13,142.1999969482422
2024-05-14,142.99000549316406
2024-05-15,144.11000061035156
2024-05-16,145.0800018310547
2024-05-17,146.5500030517578
2024-05-21,147.74000549316406
2024-05-22,147.77999877929688
2024-05-23,148.30999755859375
2024-05-24,149.0
2024-05-27,150.07000732421875
2024-05-28,149.55999755859375
2024-05-29,148.8699951171875
2024-05-30,147.22000122070312
2024-05-31,146.8699951171875
2024-06-03,150.8000030517578
2024-06-04,150.3300018310547
2024-06-05,147.11000061035156
2024-06-06,149.17999267578125
2024-06-07,150.75999450683594
2024-06-10,151.6199951171875
2024-06-11,152.83999633789062
2024-06-12,154.32000732421875
2024-06-13,155.44000244140625
2024-06-14,157.0
2024-06-18,158.5399932861328
2024-06-19,157.32000732421875
2024-06-20,158.4199981689453
2024-06-21,157.5500030517578
2024-06-24,158.44000244140625
2024-06-25,159.10000610351562
2024-06-26,158.67999267578125
2024-06-27,158.72999572753906
2024-06-28,158.97999572753906
2024-07-01,160.8699951171875
2024-07-02,159.7899932861328
2024-07-03,160.8300018310547
2024-07-04,161.55999755859375
2024-07-05,163.0800018310547
2024-07-08,162.77999877929688
2024-07-09,162.8699951171875
2024-07-10,162.1699981689453
2024-07-11,161.8300018310547
2024-07-12,162.14999389648438
2024-07-15,162.83999633789062
2024-07-16,163.11000061035156
2024-07-18,162.52000427246094
2024-07-19,158.9199981689453
2024-07-22,161.0
2024-07-23,161.39999389648438
2024-07-24,162.3000030517578
2024-07-25,161.86000061035156
2024-07-26,164.7899932861328
2024-07-29,167.1300048828125
2024-07-30,167.9499969482422
2024-07-31,168.85000610351562
2024-08-01,168.02000427246094
2024-08-02,165.8800048828125
2024-08-05,161.08999633789062
2024-08-06,159.3300018310547
2024-08-07,163.42999267578125
2024-08-08,163.55999755859375
2024-08-09,164.61000061035156
2024-08-12,164.41000366210938
2024-08-13,163.6699981689453
2024-08-14,162.13999938964844
2024-08-16,164.60000610351562
2024-08-19,165.63999938964844
2024-08-20,166.83999633789062
2024-08-21,167.77000427246094
2024-08-22,169.9600067138672
2024-08-23,167.83999633789062
2024-08-26,167.97999572753906
2024-08-28,168.0399932861328
2024-08-29,168.19000244140625
2024-08-30,168.67999267578125
2024-09-02,168.75999450683594
2024-09-03,168.86000061035156
2024-09-04,168.80999755859375
2024-09-05,169.19000244140625
2024-09-06,167.2899932861328
2024-09-09,167.44000244140625
2024-09-10,167.92999267578125
2024-09-11,168.8300018310547
2024-09-12,169.4199981689453
2024-09-13,171.1699981689453
2024-09-16,171.1999969482422
2024-09-17,171.02999877929688
2024-09-18,170.0399932861328
2024-09-19,168.52999877929688
2024-09-20,169.5
2024-09-23,171.19000244140625
2024-09-24,171.42999267578125
2024-09-25,171.6699981689453
2024-09-26,171.47999572753906
2024-09-27,172.4499969482422
2024-09-30,172.14999389648438
2024-10-01,172.02000427246094
2024-10-03,168.57000732421875
2024-10-04,167.9600067138672
2024-10-07,164.6300048828125
2024-10-08,170.08999633789062
2024-10-09,168.99000549316406
2024-10-10,167.6999969482422
2024-10-11,167.89999389648438
2024-10-14,168.30999755859375
2024-10-15,168.8800048828125
2024-10-16,169.6199951171875
2024-10-17,168.83999633789062
2024-10-18,167.67999267578125
2024-10-21,165.3300018310547
2024-10-22,162.35000610351562
2024-10-23,162.02999877929688
2024-10-24,159.6699981689453
2024-10-25,158.8300018310547
2024-10-28,158.35000610351562
2024-10-29,158.7899932861328
2024-10-31,158.11000061035156
